"Game ID";"Game Name"
"429080";"3-D Tic-Tac-Toe (Atari 8bit conversion)"
"38966";"A.E."
"429083";"Abracadabra (Atari 8bit conversion)"
"37916";"Adventure 2"
"429086";"ANALOG Classics 1 (Atari 8bit conversion)"
"190894";"Archon (Atari 8bit conversion)"
"38967";"Asteroids"
"37917";"Astro Chase"
"360229";"Astro-Grover"
"429089";"Atlantis (Atari 8bit conversion)"
"429143";"Attack of the Mutant Camels (Atari 8bit conversion)"
"418983";"Bacterion 5200"
"37918";"Ballblazer"
"38971";"Barroom Baseball"
"38972";"Battlezone"
"429092";"Batty Builders (Atari 8bit conversion)"
"190902";"BC's Quest For Tires (Atari 8bit conversion)"
"37919";"Beamrider"
"190908";"Beef Drop"
"37921";"Berzerk"
"44441";"Black Belt"
"44442";"Blaster"
"37922";"Blueprint"
"415876";"Bosconian 5200 - Ultimate Version"
"37924";"Bounty Bob Strikes Back!"
"37926";"Buck Rogers - Planet Of Zoom"
"190776";"Buried Bucks"
"429029";"Captain Beeble (Atari 8bit conversion)"
"367042";"Capture the Flag"
"37978";"River Raid"
"37927";"Castle Blast"
"37928";"Castle Crisis"
"190903";"Caverns Of Mars"
"37929";"Centipede"
"190774";"Chess"
"429095";"Chicken (Atari 8bit conversion)"
"368648";"Chop Suey"
"37930";"Choplifter!"
"368608";"Claim Jumper"
"429098";"Clowns & Balloons (Atari 8bit conversion)"
"37931";"Combat 2 Advanced"
"37932";"Congo Bongo"
"37933";"Countermeasure"
"429101";"Crossfire (Atari 8bit conversion)"
"429032";"Crystal Castles (Atari 8bit conversion)"
"37967";"Pitfall 2 - Lost Caverns"
"37934";"Defender"
"415882";"Deluxe Invaders (Atari 8bit conversion)"
"429104";"Demon Attack (Atari 8bit conversion)"
"429107";"Desmond's Dungeon (Atari 8bit conversion)"
"429110";"Diamond Mine (Atari 8bit conversion)"
"37935";"Dig Dug"
"190898";"Donkey Kong"
"190775";"Donkey Kong Jr"
"416251";"E.T. Phone Home! (Atari 8bit conversion)"
"429113";"Fast Eddie (Atari 8bit conversion)"
"44444";"Final Legacy"
"190895";"Forbidden Forest - Slinky"
"416014";"Fort Apocalypse"
"190773";"Freecell Xe (Atari 8bit conversion)"
"44445";"Frisky Tom"
"37937";"Frogger"
"37938";"Frogger 2 - Threeedeep!"
"366760";"Galactic Chase"
"37939";"Galaxian"
"190906";"Gateway To Apshai"
"37940";"Gorf"
"37941";"Gremlins"
"37942";"Gyruss"
"37944";"H.E.R.O. - Helicopter Emergency Rescue Operation"
"415993";"Intellidiscs"
"429116";"Ixion (Atari 8bit conversion)"
"37945";"James Bond 007"
"429119";"Jaw Breaker (Atari 8bit conversion)"
"368604";"Journey to the Planets (Atari 8bit conversion)"
"37946";"Joust"
"44446";"Jr. Pac-man"
"190907";"Jumpman Jr (Atari 8bit conversion)"
"37947";"Jungle Hunt"
"37953";"K-razy Shoot-out"
"429122";"K-Star Patrol (Atari 8bit conversion)"
"37948";"Kaboom!"
"37949";"Kangaroo"
"37950";"Keystone Kapers"
"367039";"Kid Grid (Atari 8bit conversion)"
"37952";"Koffi - Yellow Kopter"
"366763";"Laser Gates (Atari 8bit conversion)"
"44448";"Looney Tunes Hotel"
"366814";"Magical Fairy Force"
"37954";"Mario Bros."
"44449";"Meebzork (Prototype)"
"37955";"Megamania"
"37956";"Meteorites"
"44450";"Microgammon SB"
"44451";"Millipede (Prototype)"
"37957";"Miner 2049er"
"44452";"Miniature Golf (Prototype)"
"37958";"Missile Command"
"37959";"Montezuma's Revenge"
"37960";"Moon Patrol"
"37961";"Mountain King"
"429125";"Mr. Cool (Atari 8bit conversion)"
"37962";"Mr. Do!'s Castle"
"37963";"Ms. Pac-man"
"364561";"Necromancer (Atari 8bit conversion)"
"429128";"O'Riley's Mine (Atari 8bit conversion)"
"37964";"Pac-man"
"429149";"Pac-Man Arcade (Atari 8bit conversion)"
"429131";"Pacific Coast Highway (Atari 8bit conversion)"
