"Game ID";"Game Name"
"14175";"Aircars"
"14145";"Aliens Versus Predator"
"200237";"Arena Football '95"
"14160";"Atari Karts"
"14162";"Attack Of The Mutant Penguins"
"200235";"Barkley Shut Up and Jam"
"46477";"Battlesphere Gold"
"14197";"Breakout 2000"
"200233";"Brett Hull NHL Hockey"
"14153";"Brutal Sports Football"
"14158";"Bubsy In - Fractured Furry Tales"
"14155";"Cannon Fodder"
"14177";"Checkered Flag"
"14148";"Club Drive"
"14168";"Cybermorph"
"14201";"Defender 2000"
"14140";"Doom"
"14163";"Double Dragon 5 - The Shadow Falls"
"14149";"Dragon - The Bruce Lee Story"
"14182";"Evolution - Dino Dudes"
"14166";"Fever Pitch Soccer"
"14190";"Fight For Life"
"14142";"Flashback"
"14198";"Flipout!"
"117314";"Gorf 2000"
"14191";"Hover Strike"
"14204";"Hyper Force"
"14183";"I-war"
"14170";"Iron Soldier"
"14167";"Iron Soldier 2"
"200229";"Jack Nicklaus Cyber Golf"
"117320";"Jaguar Tetris"
"14151";"Kasumi Ninja"
"14192";"Missile Command 3d"
"200239";"Native"
"14152";"Nba Jam - Tournament Edition"
"117321";"Phase Zero"
"14178";"Pinball Fantasies"
"14154";"Pitfall - The Mayan Adventure"
"200241";"Plucky Duck in Hollywood Hijinks"
"14165";"Power Drive Rally"
"46478";"Protector - Special Edition"
"14172";"Raiden"
"14141";"Rayman"
"14179";"Ruiner Pinball"
"14195";"Sensible Soccer - International Edition"
"14205";"Skyhammer"
"200243";"Slam Racer"
"14174";"Soccer Kid"
"46479";"Space War 2000"
"14146";"Super Burnout"
"14180";"Supercross 3d"
"14159";"Syndicate"
"14176";"Tempest 2000"
"200245";"Thea Realm Fighters"
"14139";"Theme Park"
"200247";"Tiny Toon Adventures"
"14194";"Total Carnage"
"14185";"Towers 2 - Plight Of The Stargazer"
"14186";"Trevor Mcfur In The Crescent Galaxy"
"14187";"Troy Aikman Nfl Football"
"14206";"Ultra Vortek"
"14193";"Val D'isere Skiing And Snowboarding"
"200249";"Virtual VCS"
"46480";"White Men Can't Jump"
"14143";"Wolfenstein 3d"
"14144";"Worms"
"14207";"Zero 5"
"14181";"Zool 2"
"14189";"Zoop"
