"Game ID";"Game Name"
"456917";"2048"
"456941";"4Ttude"
"461150";"8bit-Dungeon"
"461129";"8bit-Slicks"
"461123";"A Bug's Trip Redux"
"14215";"Apb"
"456236";"Alien"
"58770";"Alien vs Predator"
"456770";"Always Winter, Never Christmas"
"456842";"Angry Motes"
"456881";"Anti A-Bomb Aircraft Artillery"
"364657";"Assembloids"
"423341";"Asteroids Chasers"
"461195";"Atari Lynx Pong"
"460850";"Atari Tabletops Collection"
"14243";"Awesome Golf"
"461003";"Banana Ghost"
"14254";"Baseball Heroes"
"14253";"Basketbrawl"
"461117";"Bastion"
"423347";"Bathman"
"14212";"Batman Returns"
"461165";"Battlespace"
"14268";"BattleWheels"
"14255";"Battlezone 2000"
"14248";"Bill And Ted's Excellent Adventure"
"460859";"Biniax"
"456872";"Bitchy"
"14232";"Block Out"
"14213";"Blue Lightning"
"461108";"Booster"
"461096";"Booster - Xmas Edition"
"461174";"Bowling Beast"
"14233";"Bubble Trouble"
"256423";"Bug's Lynx, A"
"456779";"C-Gull"
"433145";"Cabal"
"14218";"California Games"
"461177";"Captain Harlynx"
"456800";"Catkanoid"
"58771";"Centipede"
"456242";"Championship Rally"
"456749";"Chase"
"14238";"Checkered Flag"
"14222";"Chip's Challenge"
"460853";"Conquistador"
"456926";"Crate Challenge"
"456245";"Critter Championship"
"456791";"Cross Bomber"
"460856";"Cross Chase"
"456827";"Cross Horde"
"456743";"Cross Shoot"
"456797";"Cross Snake"
"456833";"Cross Stinger"
"14267";"Crystal Mines II"
"461168";"CSS - Traffic Regulation"
"461087";"Cyberpunk Experiment 2037"
"58773";"Daemonsgate"
"14211";"Desert Strike"
"463736";"Dice - Board Game"
"14270";"Dinolympics"
"14234";"Dirty Larry - Renegade Cop"
"461102";"Doom"
"14210";"Double Dragon"
"14244";"Dracula The Undead"
"456785";"DrunkWitch"
"456914";"Dungeddon"
"141563";"Dungeon, The"
"461153";"Dynalynx"
"456899";"Eggsavier's Cackleberry Rescue"
"14269";"Electrocop"
"14272";"European Soccer Challenge"
"58774";"Eye Of The Beholder"
"14273";"Fat Bobby"
"456932";"Final Melee"
"456836";"Find a Way to My Heart"
"456821";"Fishing for Atari"
"432953";"Full Court Press"
"461114";"Game of Life"
"14257";"Gates Of Zendocon"
"14227";"Gauntlet - The Third Encounter"
"433148";"Geoduel"
"456776";"Gift Catcher"
"460826";"Glob Shoot"
"461000";"Gnop!"
"460844";"Gomoku"
"14274";"Gordo 106"
"461111";"Grime 6502"
"456920";"Grogger"
"456830";"Growing Ties"
"14275";"Hard Drivin'"
"14258";"Hockey"
"463742";"Hotdog"
"456908";"Hungry Monsters"
"14276";"Hydra"
"423353";"Inside World, The"
"461141";"Invaders"
"14245";"Ishido - The Way Of Stones"
"461180";"Jelly Beans"
"58775";"Jimmy Connors' Tennis"
"14240";"Joust"
"456767";"Jungle Jack"
"461105";"Karateboy"
"14249";"Klax"
"460979";"Klondike"
"456755";"Knight Moves"
"14230";"Krazy Ace Miniature Golf"
"461126";"Krow"
"14250";"Kung Food"
"456938";"Lawnmower"
"14208";"Lemmings"
"58776";"Lexis"
"461138";"Limny"
"124349";"Lode Runner"
"58777";"Loopz"
"256429";"Luchsenstein 3D"
"461156";"Lynx Blast"
"14251";"Lynx Casino"
"456896";"Lynx Othello"
"364645";"Lynx Quest"
"461201";"Lynx Sketch"
"456812";"Lynx Tris"
"456905";"Lynxopoly"
"14229";"Malibu Bikini Volleyball"
"108861";"Marble Madness"
"58779";"Marlboro Go!"
"456809";"MegaPak Vol. 1"
"460313";"Mines 2"
"456890";"Mortal Kombat"
"14223";"Ms. Pac-man"
"456884";"MultiPong 1k"
"461207";"Naughty"
"460892";"Nezumi-kun to Poker Shiyouyo"
"14246";"Nfl Football"
"14224";"Ninja Gaiden"
"14221";"Ninja Gaiden 3 - The Ancient Ship Of Doom"
"433151";"Ninja Nerd"
"461159";"No Time"
"463739";"Nomad Rally 2018"
"423344";"On Duty"
"456839";"Othello"
"256420";"Ouragan"
"14220";"Pac-land"
"14214";"Paperboy"
"141564";"Para Lemi!"
"461162";"Paraply"
"456878";"Peg Solitaire"
"14277";"Pinball Jam"
"14219";"Pit-fighter"
"461048";"Poachin' Jeff"
"433142";"Poker"
"462014";"Pong"
"124350";"Pong 5"
"432956";"Pounce!"
"14252";"Power Factor"
"461171";"Push Around the World"
"141594";"Puzzler 2000"
"14260";"Qix"
"461147";"Raid on TriCity"
"456947";"Raid on TriCity - First Impact"
"456923";"Raid on TriCity - Second Wave"
"14231";"Raiden"
"14235";"Rampage"
"14266";"Rampart"
"461186";"Rapid Racer"
"461144";"RED Against the Machines"
"460847";"Red Square"
"141596";"Remnant Planar Wars 3d"
"461120";"Return of the Space Coyote"
"461189";"Reussite"
"58780";"Road Riot 4wd"
"14259";"Roadblasters"
"14278";"Robo-squash"
"14247";"Robotron - 2084"
"432965";"Rolling Thunder"
"456887";"Running Knight"
"14225";"Rygar"
"14236";"S.t.u.n. Runner"
"456818";"Santa Factory"
"456794";"Santa's Empty Sack"
"456824";"Saving Santa Tree"
"455879";"Scooternia"
"14228";"Scrapyard Dog"
"456761";"Scroll of the Time Lords - Lovejoy Prologue"
"14226";"Shadow Of The Beast"
"456893";"Shaken, Not Stirred"
"14261";"Shanghai"
"456788";"Shuriken"
"204415";"SiIas Adventure"
"456746";"Silly Archery"
"456764";"Silly Blaster"
"456773";"SillySis"
"423350";"Sky Raider"
"141598";"Snakebyte"
"456803";"Snow Ball"
"456911";"Solitaire"
"456815";"Space Domino"
"461021";"Space Lock & Space Shoot"
"433154";"Spacewar"
"461210";"Springtime Is Here"
"461099";"Star Raiders"
"108862";"Stardreamer"
"14262";"Steel Talons"
"14279";"Super Asteroids And Missile Command"
"200100";"Super Nutmeg"
"14217";"Super Off Road"
"14280";"Super Skweek"
"14281";"Switchblade 2"
"461033";"Sybil's Nightmare Run"
"122994";"T-tris"
"456935";"Teen Dance"
"122997";"Tetris"
"461072";"Tetris Raiden"
"461204";"The Castle of Khon-gis"
"461198";"The Devil's Show"
"14256";"Fidelity Ultimate Chess Challenge"
"432959";"The Guardians - Storm Over Doria"
"256426";"Tiny Lynx Adventure"
"422988";"Titan"
"14241";"Todd's Adventures In Slime World"
"14209";"Toki"
"14282";"Tournament Cyberball 2072"
"14263";"Turbo Sub"
"461192";"Undergrounders"
"456758";"Verbix"
"14237";"Viking Child"
"432962";"Vindicators"
"14264";"Warbirds"
"461183";"Weltenschlacht"
"461213";"Wolfenstein 3D"
"14265";"World Class Fussball/Soccer"
"14216";"Xenophobe"
"366835";"Xump - The Final Run"
"456239";"Xump 2 Back to Space"
"14283";"Xybots"
"433321";"Yastuna Volume 1 - The Alchemy of Cubes"
"433294";"Yastuna Volume 2 - The Space Incident"
"423356";"YNXA"
"461132";"YNXA - Leaf and the Guardians of Time"
"456752";"Z.A.P."
"192324";"Zaku"
"461216";"Zaku Puzzle"
"14242";"Zarlor Mercenary"
