"Game ID";"Game Name"
"181909";"$1,000,000"
"109636";"'twas The Night Before Christmas"
"181908";"...sein Letzter Trick"
"126880";"0 And X"
"181907";"0 Grad Nord"
"36153";"007 - Licence To Kill"
"109364";"007 Car Chase"
"181906";"1 X 1 Kampf"
"181905";"1, 2, 3"
"109363";"1,000 Kung-fu Maniacs!"
"181903";"1-3-5-7"
"122865";"1.000 Miles"
"109369";"10 Pin"
"121971";"10 Top Classics"
"109365";"10... Knockout!"
"109367";"100 Meter Dash"
"122863";"100 Meter Slith"
"123503";"100 Mile Race"
"115443";"100% Dynamite"
"109366";"1000 Miglia"
"183422";"1000 Miler"
"109368";"10000 Meters"
"106813";"10th Frame"
"121973";"11-a-side Soccer"
"122864";"12 O'clock"
"122866";"15 Pietnastka"
"122867";"15 Solitaire"
"122868";"15-puzzle, The"
"122873";"17 Und 04"
"183420";"1789"
"122874";"18 Uhren"
"109370";"19 Part One - Boot Camp"
"121974";"1917"
"110433";"1941 - The Secret Conflict"
"35861";"1942"
"106815";"1943 - One Year After"
"36101";"1943 - The Battle Of Midway"
"181900";"1944"
"181899";"1948"
"179553";"1984, La"
"181898";"1985"
"36057";"1985 - The Day After"
"109374";"1991 World Cup Knockout, The"
"106821";"1994 - Ten Years After"
"110434";"1k-mini-bdash"
"126881";"1st Bonus Game"
"109372";"1st Division Manager"
"106820";"2 On 1"
"116804";"2 Player Soccer Squad"
"123523";"2 Worms War"
"109371";"2,000 Kung-fu Maniacs!"
"126883";"2-d Cube"
"126884";"20 Tons"
"181897";"20.000 Meilen Unter Dem Meer"
"123524";"2001"
"181896";"2010"
"126885";"21"
"126886";"2112 - The Battle For Planet Earth"
"106822";"221B Baker St."
"123688";"23 Matches"
"109376";"2d Tennis Game"
"123527";"2K Sweeper Of Mine"
"109377";"2k-fighter"
"181894";"2pac"
"181893";"2sgin1"
"191968";"3 Board Games"
"126887";"3 D Maze"
"123689";"3 D Oxo"
"181892";"3 Days In Carpathia"
"126888";"3 Dimension Maze"
"109378";"3 In 1 College And Pro Football"
"126889";"3 In Einer Reihe"
"124658";"3 Voice Music"
"126890";"3 Wild Balls"
"126891";"3 X 3"
"181891";"3-ball Deluxe"
"181890";"3-d Adventure"
"109379";"3-d Glooper"
"431153";"3-D Labyrinth (Compute mit)"
"109381";"3-d Man"
"126892";"3-d Noughts And Crosses"
"109384";"3-d Skramble"
"109380";"3-d Tic Tac Toe"
"123690";"3-gewinnt"
"126893";"31"
"123682";"3d Breakout"
"36141";"3d Construction Kit"
"123600";"3d Cubert 64"
"106823";"3d Golf"
"110435";"3d Hypermaths"
"126895";"3d Labyrinth"
"126896";"3d Labyrinttii"
"126897";"3d Maze"
"126898";"3d Morris - 3d Muhle"
"132924";"3d Pac-man"
"109382";"3D Pinball"
"106824";"3d Pool"
"126899";"3d Reversi"
"109392";"3d Scacchi Simulator"
"126900";"3d Soccer"
"126901";"3d Spacewar, The"
"110436";"3d Speed Duel"
"126902";"3d Speedway"
"126904";"3d Starintruder"
"109388";"3d Stock Cars 2"
"126638";"3d Tank Assault"
"110437";"3d Tanx"
"109386";"3d Time Trek"
"110438";"3d Tunnel"
"110439";"3d-beee"
"126903";"3d-lab"
"110440";"3d-roam"
"126905";"3d-zoom"
"115601";"3er Reihe, Die"
"181889";"4 Aces Pinball"
"126906";"4 By 4"
"109387";"4 Fathoms"
"181888";"4 Games For Children"
"126907";"4 Gewinnt"
"126908";"4 Gewinnt 2002"
"126909";"4 Gewinnt In 3 Dimensionen"
"126910";"4 In Einer Reihe"
"109391";"4 Soccer Simulators"
"110441";"4. Times Revlex"
"126911";"45 - Fourty Five"
"181887";"48 Hours"
"126912";"4k Smash"
"106825";"4th And Inches"
"181886";"4th And Inches Season Maker"
"122191";"4th Dimension Pack - Cyberdine Warrior"
"126913";"4x4 Level Editor"
"110442";"4x4 Off-road Racing"
"181885";"5 Buecher Von Tronje, Die"
"126914";"5 Card Draw Poker"
"181884";"5 En Linea"
"181883";"5 Iron"
"181882";"5 Mal 5"
"110443";"5-pin Bowling"
"112058";"50 Mission Crush"
"126915";"500 M"
"123575";"5000"
"109385";"500cc Grand Prix"
"109390";"500cc. Motomanager"
"126916";"51"
"109389";"5th Gear"
"126917";"5x5"
"126919";"6 Aus 49"
"181881";"64 And 128 Typing Tutor"
"123683";"64 Breakout"
"126920";"64 Dragonmaster"
"183326";"64 French Tutorial"
"126921";"64 Luff"
"109398";"64 Mastermind - A Game Of Logic"
"126922";"64 Money Monger"
"126637";"64 Nuclear Power Plant"
"126923";"64 Pejling"
"123504";"64 Potholes"
"126924";"64 Rescue Run"
"126925";"64 Scene Adventure, The"
"123505";"64 Sea Battle"
"126926";"64 Shuffle"
"126927";"64 Speller, The"
"123506";"64 Timetrial"
"126928";"64 Valley Of Death"
"126929";"64'er Game, The"
"126930";"64-dimensions Tic-tac-toe"
"126931";"64-driver"
"109397";"64luff"
"126932";"6510"
"121935";"7 X Pinball"
"109402";"720 Degrees (US Gold)"
"115602";"720 Degrees Part 2"
"36214";"720 Degrees (Mindscape)"
"110444";"747"
"109403";"747 Flight Simulator"
"181880";"8-ball"
"181879";"9 Men's Morris"
"110445";"9 To 5 Typing"
"126933";"911 Tiger Shark"
"126934";"99 Luftballons"
"133441";"A  ap   a"
"115677";"Nightmare On Elm Street, A"
"116570";"Question Of Sport, A"
"106818";"A View to a Kill - The Computer Game"
"181876";"A, V Or M"
"109448";"A-boulder 64"
"133168";"A-maze-ing"
"109449";"A-team, The"
"183318";"A-z - Spiel"
"183319";"A-z Quiz"
"110879";"Slap Fight"
"36054";"A.m.c. - Astro Marine Corps"
"35972";"Aaargh!"
"109451";"Aaargh! Condor"
