"Game ID";"Game Name"
"46531";"Demonstration Cartridge"
"46532";"Demonstration Cartridge 2"
"192444";"F8 Of Nations"
"191771";"Hockey And Tennis"
"257983";"International Karate"
"191773";"Lights Out"
"191772";"Pac-man"
"46536";"Schach"
"191774";"Tetris"
"46502";"Videocart-10 - Maze, Jailbreak"
"46503";"Videocart-11 - Backgammon, Acey-deucey"
"46504";"Videocart-12 - Baseball"
"46505";"Videocart-13 - Robot War, Torpedo Alley"
"46506";"Videocart-14 - Sonar Search"
"46507";"Videocart-15 - Memory Match"
"46508";"Videocart-16 - Dodge-it"
"46509";"Videocart-17 - Pinball Challenge"
"46510";"Videocart-18 - Hangman"
"46511";"Videocart-19 - Checkers"
"46512";"Videocart-1 - Tic-tac-toe, Shooting Gallery, Doodle, Quadra-doodle"
"46513";"Videocart-20 - Video Whizball"
"46514";"Videocart-21 - Bowling"
"46515";"Videocart-22 - Slot Machine"
"46516";"Videocart-23 - Galactic Space Wars"
"46517";"Videocart-24 - Pro Football"
"46518";"Videocart-25 - Casino Poker"
"46519";"Videocart-26 - Alien Invasion"
"46520";"Videocart-2 - Desert Fox, Shooting Gallery"
"46521";"Videocart-3 - Video Blackjack"
"46522";"Videocart-4 - Spitfire"
"46523";"Videocart-5 - Space War"
"46524";"Videocart-6 - Math Quiz I - Addition, Subtraction"
"46525";"Videocart-7 - Math Quiz 2 - Multiplication, Division"
"46526";"Videocart-8 - Magic Numbers"
"46527";"Videocart-9 - Drag Strip"
"423415";"Wrdl-F"
