"Game ID";"Game Name"
"39873";"1941 - Counter Attack"
"40781";"Adventure Quiz Capcom World 2"
"37360";"Cadillacs And Dinosaurs"
"37358";"Captain Commando"
"37359";"Carrier Air Wing"
"41078";"Dynasty Wars"
"37362";"Final Fight"
"37363";"Forgotten Worlds"
"122981";"Frog Feast"
"41385";"Ganbare! Marine Kun"
"41441";"Ghouls'n Ghosts"
"204360";"Gulun.Pa"
"464714";"Hello Kitty Magical Pumpkin"
"37366";"King Of Dragons, The"
"42020";"Knights Of The Round"
"57920";"Magic Sword - Heroic Fantasy"
"78892";"Mega Man - The Power Battle"
"37371";"Mega Twins"
"78903";"Mercs"
"37367";"Muscle Bomber Duo - Ultimate Team Battle"
"37372";"Nemo"
"37373";"Pang! 3"
"37374";"Pnickies"
"120706";"Pokonyan! Balloon"
"37375";"Punisher, The"
"42583";"Quiz And Dragons - Capcom Quiz Game"
"42606";"Quiz Tonosama No Yabou 2 - Zenkoku-ban"
"37379";"Saturday Night Slam Masters"
"37378";"Street Fighter 2 - Hyper Fighting"
"42982";"Street Fighter 2 - The World Warrior"
"37377";"Street Fighter 2' - Champion Edition"
"64254";"Street Fighter Alpha - Warriors' Dreams"
"37380";"Strider"
"37357";"Three Wonders"
"43837";"U.n. Squadron"
"37382";"Varth - Operation Thunderstorm"
"44111";"Warriors Of Fate"
"37383";"Willow"
