"Game ID";"Game Name"
"13616";"18 Wheeler - American Pro Trucker"
"153213";"21 - Two One"
"13550";"Mans 24 Hours, Le"
"190872";"2D House Of Terror"
"13636";"4 Wheel Thunder"
"13603";"4x4 Evolution"
"250885";"4x4 Jam"
"13696";"90 Minutes - Sega Championship Football"
"190883";"Advanced Daisenryaku - Sturm Uber Europa - Der Deutsche Blitzkrieg"
"153629";"Advanced Daisenryaku 2001"
"214514";"Aero Dancing F - Todoroki Tsubasa no Hatsu Hikou"
"153203";"Aero Dancing i"
"153199";"Aero Dancing i Jikai Saku Made Matemasen"
"153200";"Aero Dancing Todoroki Taichou no Himitsu Disc"
"13634";"AeroWings"
"13738";"AeroWings 2 - Airstrike"
"153586";"After... - Wasureenu Kizuna"
"255550";"Agartha"
"153198";"Aikagi - Hidamari to Kanojo no Heyagi"
"13775";"Air"
"13618";"Deadly Skies"
"153212";"Akihabara Dennou-gumi Peta Pies!"
"214544";"Alice Dreams Tournament"
"360064";"Alice Sisters"
"190870";"Alice's Moms Rescue"
"13737";"Alien Front Online"
"13506";"Alone In the Dark - The New Nightmare"
"434068";"Andro Dunos 2"
"153196";"Angel Present"
"153207";"Angel Wish - Kimi no Egao ni Chu!"
"13803";"Animastar"
"357286";"Another World HD"
"153210";"Ao no 6-go Saigetsufutai Hito - Time and Tide"
"13648";"Aqua GT"
"357894";"Arcade Racing Legends"
"13726";"Armada"
"357880";"Armed Seven"
"13669";"Army Men - Sarge's Heroes"
"78466";"Atari Anniversary Edition"
"153197";"Atsumare! Guru Guru Onsen"
"357874";"Atsumare! Guru Guru Onsen BB"
"153188";"Baldr Force EXE"
"78468";"Bang! Gunship Elite"
"13681";"Bangai-O"
"357896";"Bang² Busters"
"153209";"Bass Rush Dream - EcoGear PowerWorm Championship"
"153201";"Battle Beaster"
"269100";"Battle Crust"
"191356";"Beneath a Steel Sky"
"106455";"Bikkuriman 2000 Viva! Festival!"
"106456";"Biohazard Code - Veronica Kanzenban"
"13716";"Black/Matrix Advanced"
"13511";"Blue Stinger"
"153202";"Blue-Sky-Blue - Sora o Mau Tsubasa"
"153206";"Bokomu no Tatsujin"
"13793";"Boku Doraemon"
"153208";"Boku no Tennis Jinsei"
"153186";"Boku to, Bokura no Natsu"
"153211";"Bomber Hehhe!"
"13677";"Bomberman Online"
"13627";"Border Down"
"153187";"Bounty Hunter Sara - Holy Mountain no Teiou"
"356712";"Breaker's"
