"Game ID";"Game Name"
"46279";"5 In One Fun Pak"
"59546";"Aa Harimanada"
"12983";"Aerial Assault"
"12885";"Alien 3"
"12932";"Alien Syndrome"
"12887";"Andre Agassi Tennis"
"65246";"Arcade Classics"
"13015";"Arch Rivals"
"46283";"Arena"
"12943";"Disney's Ariel The Little Mermaid"
"12890";"Astérix And The Great Rescue"
"12936";"Astérix And The Secret Mission"
"12894";"Ax Battler - Golden Axe Densetsu"
"12900";"Ayrton Senna's Super Monaco Gp 2"
"12972";"Baku Baku"
"65818";"Barbie Super Model"
"12879";"Batman Forever"
"12898";"Batman Returns"
"65658";"Batter Up"
"46284";"Battleship - The Classic Naval Combat Game"
"12852";"Battletoads"
"65820";"Beavis And Butt-head"
"12996";"Berlin No Kabe"
"452063";"Bishoujo Majan Pazuru"
"12918";"Bishoujo Senshi Sailor Moon S"
"455798";"Black Castle"
"13032";"Bonkers Wax Up!"
"12924";"Bram Stoker's Dracula"
"360235";"BreakThru!"
"46285";"Bubble Bobble"
"12955";"Bugs Bunny In Double Trouble"
"423778";"Burger Kitchen"
"12998";"Puzzle Bobble"
"88418";"Buster Ball"
"88419";"Buster Fight"
"88420";"Caesars Palace"
"13030";"Captain America And The Avengers"
"88421";"Car Licence"
"13038";"Casino Funpak"
"12857";"Castle of Illusion starring Mickey Mouse"
"99400";"Cave Dude"
"46286";"Chakan"
"88422";"Championship Hockey"
"13031";"Cheese Cat-astrophe Starring Speedy Gonzales"
"46287";"Chicago Syndicate"
"12973";"Choplifter 3"
"12999";"Chuck Rock"
"12947";"Chuck Rock 2"
"88423";"Cj Elephant Fugitive"
"88424";"Cliffhanger"
"13039";"Clutch Hitter"
"46288";"Coca-cola Kid"
"455894";"Color Lines"
"12952";"Columns"
"12892";"Cool Spot"
"13061";"Cosmic Spacehead"
"88425";"Crayon Shin-chan - Taiketsu! Quantum Panic!!"
"88426";"Crazy Faces"
"455816";"Cross Bomber"
"455900";"Cross Chase"
"455807";"Cross Horde"
"455804";"Cross Shoot"
"455801";"Cross Snake"
"12968";"Crystal Warriors"
"13016";"Cutthroat Island"
"88427";"Daffy Duck In Hollywood"
"464855";"Damojie Cun"
"254319";"Dangerous Demolition"
"140720";"David Robinson's Supreme Court"
"12877";"Deep Duck Trouble Starring Donald Duck"
"12928";"Defenders Of Oasis"
"12990";"Desert Speedtrap Starring Road Runner And Wile E. Coyote"
"12881";"Desert Strike"
"12937";"Devilish"
"250249";"Dinobasher Starring Bignose the Caveman"
"12860";"Disney's Aladdin"
"88428";"Donald No Magical World"
"456524";"Donkey.GG"
"71579";"Doraemon - Nora No Suke No Yabou"
"88429";"Doraemon - Waku Waku Pocket Paradise"
"88430";"Double Dragon - The Revenge of Billy Lee"
"102112";"Dr. Franken"
"12883";"Dr. Robotnik's Mean Bean Machine"
"368624";"Dracula no Shiro"
"12914";"Dragon - The Bruce Lee Story"
"12920";"Dragon Crystal"
"13063";"Dropzone"
"88431";"Dunk Kids"
"13008";"Dynamite Headdy"
"12876";"Earthworm Jim"
"12901";"Ecco - The Tides Of Time"
"12872";"Ecco The Dolphin"
"46315";"Ernie Els Golf"
