"Game ID";"Game Name"
"150965";"16-in-1 Super Card"
"109177";"2nd Space"
"46492";"3 Choume No Tama - Tama And Friends - 3 Choume Obake Panic!!"
"46493";"3-pun Yosou - Umaban Club"
"46495";"4-in-1 Fun Pak"
"59620";"4-in-1 Funpak Volume 2"
"109044";"A-force"
"59623";"Aa Harimanada"
"3125";"Adventure Island"
"3254";"Adventure Island 2"
"3304";"Adventures Of Lolo"
"59625";"Aerostar"
"3597";"After Burst"
"70699";"Aguri Suzuki F-1 Super Driving"
"88768";"Akazukin Chacha"
"3025";"Aladdin"
"59723";"Alfred Chicken"
"59724";"Alien 3"
"59725";"Alien Olympics"
"3165";"Aliens Versus Predator - The Last of His Clan"
"59626";"All-star Baseball 99"
"3200";"Alleyway"
"59726";"Altered Space - A 3-d Alien Adventure"
"3425";"Amazing Penguin"
"3494";"Amazing Tater"
"59727";"America Oudan Ultra Quiz"
"59728";"America Oudan Ultra Quiz Part 2"
"59729";"America Oudan Ultra Quiz Part 3 - Champion Taikai"
"59730";"America Oudan Ultra Quiz Part 4"
"3507";"Amida"
"59731";"Animal Breeder"
"59732";"Animal Breeder 2"
"59733";"Animaniacs"
"3506";"Another Bible"
"109192";"Ant Soldiers"
"59735";"Aoki Densetsu Shoot!"
"59736";"Arcade Classic No. 1 - Asteroids And Missile Command"
"59737";"Arcade Classic No. 2 - Centipede And Millipede"
"59738";"Arcade Classic No. 3 - Galaga And Galaxian"
"59739";"Arcade Classic No. 4 - Defender And Joust"
"59740";"Arcade Classics - Battlezone And Super Breakout"
"59741";"Aretha"
"59742";"Aretha 2"
"59743";"Aretha 3"
"109193";"Artic Zone"
"59744";"Asmik-kun World 2"
"3054";"Astérix"
"3009";"Astérix And Obélix"
"3259";"Asteroids"
"59745";"Astro Rabby"
"3393";"Dynablaster"
"59746";"Attack Of The Killer Tomatoes"
"3359";"Avenging Spirit"
"59747";"Ayakashi No Shiro"
"59722";"Baby T-rex"
"65200";"Bakenou Tv '94"
"65201";"Bakenou V3"
"65202";"Bakuchou Retrieve Master"
"65203";"Bakuchou Retsuden Shou - Hyper Fishing"
"3321";"Balloon Kid"
"65204";"Banishing Racer"
"3523";"Barbie - Game Girl"
"3170";"Bart Simpson's Escape From Camp Deadly"
"3527";"Baseball"
"65205";"Bases Loaded"
"65206";"Bass Fishing Tatsujin Techou"
"70328";"Sea Battle"
"3176";"Batman - Return Of The Joker"
"3218";"Batman - The Animated Series"
"3035";"Batman - The Video Game"
"3093";"Batman Forever"
"3221";"Battle Arena Toshinden"
"3678";"Battle Bull"
"3567";"Battle City"
"65208";"Battle Crusher"
"65209";"Battle Dodge Ball"
"65210";"Battle Of Kingdom"
"3460";"Battle Ping Pong"
"368356";"Battle Ships"
"65211";"Battle Space"
"65212";"Battle Unit Zeoth"
"3465";"Battleship"
"2956";"Battletoads"
"2957";"Battletoads Double Dragon"
"3078";"Battletoads In Ragnarok's World"
"65213";"Beast Fighter"
"3398";"Beavis And Butt-head"
"65214";"Beethoven"
"3490";"Beetlejuice"
"3378";"Best Of The Best - Championship Karate"
"65215";"Bikkuri Nekketsu Shin Kiroku! - Dokodemo Kin Medal"
"3568";"Bill And Ted's Excellent Adventure"
"65216";"Bill Elliott's Nascar Fast Tracks"
"65217";"Bionic Battler"
"3120";"Bionic Commando"
"65218";"Bishoujo Senshi Sailor Moon"
"65219";"Bishoujo Senshi Sailor Moon R"
"3702";"Black Bass - Lure Fishing, The"
"109043";"Black Forest Tale"
"3446";"Blades Of Steel"
"3569";"Blast Master Boy"
"65220";"Block Kuzushi Gb"
"3623";"Blodia"
"65221";"Bo Jackson - Two Games In One"
"65222";"Boggle Plus"
"109047";"Bomb Disposer"
"3561";"Bomb Jack"
"65223";"Bomber Man Collection"
"65225";"Bomber Man Gb 3"
"65224";"Bomber Man Gb 2"
"3476";"B.c. Kid"
"65199";"B.c. Kid 2"
"65226";"Booby Boys"
"3598";"Boomer's Adventure In Asmik World"
"3219";"Boulder Dash"
"3222";"Boxxle"
"3480";"Boxxle 2"
"3299";"Brain Drain"
"3679";"Brainbender"
"3115";"Bram Stoker's Dracula"
"3526";"Breakthru!"
"3059";"Bubble Bobble"
"3664";"Bubble Bobble - Part 2"
"3327";"Bubble Ghost"
"65228";"Bubsy 2"
"65229";"Bugs Bunny Collection"
"3246";"Burai Fighter Deluxe"
"3491";"Burgertime Deluxe"
"65230";"Burning Paper"
"3333";"Bust-a-move 2 Arcade Edition"
"65231";"Bust-a-move 3 Dx"
"153150";"Bust-a-move 4"
"65232";"Buster Bros. / Pang"
"65234";"Caesars Palace"
"65235";"Capcom Quiz - Hatena No Daibouken"
"3537";"Captain America And The Avengers"
"109048";"Captain Knick-knack"
"65236";"Captain Tsubasa J - Zenkoku Seiha E No Chousen"
"66171";"Captain Tsubasa Vs"
"66174";"Card Game"
"3699";"Casino Funpak"
"3098";"Casper"
"68933";"Castelian"
"66198";"Castle Quest"
"3021";"Castlevania - The Adventure"
"3048";"Castlevania 2 - Belmont's Revenge"
"3004";"Castlevania Legends"
"3280";"Cat Rap"
"66209";"Cave Noire"
"66210";"Centipede"
"66212";"Chachamaru Boukenki 3 - Abyss No Tou"
"66214";"Chachamaru Panic"
"66217";"Chalvo 55 - Super Puzzle Action"
"66219";"Championship Pool"
"3415";"Chase H.q."
"3209";"Chessmaster"
"66234";"Chibi Maruko-chan - Maruko Deluxe Gekijou"
"66237";"Chibi Maruko-chan - Okozukai Daisakusen!"
"66228";"Chibi Maruko-chan 2 - Deluxe Maruko World"
"66230";"Chibi Maruko-chan 3 - Mezase! Game Taishou No Maki"
"66231";"Chibi Maruko-chan 4 - Kore Ga Nihon Da Yo! Ouji-sama"
"66239";"Chiki Chiki Machine Mou Race"
"66240";"Chiki Chiki Tengoku"
"66242";"Chikyuu Kaihou Gun Zas"
"66250";"Choplifter 2 - Rescue And Survive"
"3463";"Choplifter 3"
"66255";"Chou Majin Eiyuuden - Wataru Mazekko Monster"
"66256";"Chou Majin Eiyuuden - Wataru Mazekko Monster 2"
"66257";"Chousoku Spinner"
