"Game ID";"Game Name"
"3869";"007 - Nightfire"
"3949";"007 - Everything Or Nothing"
"83011";"2 Disney Games - Disney Sports - Football + Disney Sports - Skateboarding"
"83012";"2 Disney Games - Lilo And Stitch 2 + Peter Pan - Return To Neverland"
"83013";"2 Game Pack! - Hot Wheels - Stunt Track Challenge + Hot Wheels - World Race"
"83014";"2 Game Pack! - Matchbox Missions - Emergency Response And Air, Land And Sea Rescue"
"83017";"2 Game Pack! - Uno + Skip-bo"
"83020";"2 Games In 1 - Bionicle + Knights' Kingdom"
"83021";"2 Games In 1 - Brother Bear + The Lion King"
"83026";"2 Games In 1 - Columns Crown + Chuchu Rocket!"
"83033";"2 Games In 1 - Disney Princess + Lizzie Mcguire"
"83075";"2 Games In 1 - Spongebob Squarepants - Battle For Bikini Bottom + The Fairly Oddparents! - Breakin' Da Rules"
"83060";"2 Games In 1 - Double Value! - Monster Trucks + Quad Desert Fury"
"83041";"2 Games In 1 - Dragon Ball Z - The Legacy Of Goku 1 And 2"
"83044";"2 Games In 1 - Finding Nemo + Finding Nemo - The Continuing Adventures"
"83045";"2 Games In 1 - Finding Nemo + The Incredibles"
"83046";"2 Games In 1 - Finding Nemo - The Continuing Adventures + The Incredibles"
"83049";"2 Games In 1 - Hot Wheels - Velocity X + Hot Wheels - World Race"
"83056";"2 Games In 1 - Moto Gp + Gt Advance 3 - Pro Concept Racing"
"83066";"2 Games In 1 - Sonic Advance + Chuchu Rocket!"
"83069";"2 Games In 1 - Sonic Battle + Chuchu Rocket!"
"83070";"2 Games In 1 - Sonic Battle + Sonic Pinball Party"
"83071";"2 Games In 1 - Sonic Pinball Party + Columns Crown"
"83073";"2 Games In 1 - Spongebob Squarepants - Battle For Bikini Bottom + Jimmy Neutron Boy Genius"
"83076";"2 Games In 1 - Spongebob Squarepants - Revenge Of The Flying Dutchman + Spongebob Squarepants - Supersponge"
"83077";"2 Games In 1 - Spongebob Squarepants - Supersponge + Spongebob Squarepants - Battle For Bikini Bottom"
"83079";"2 Games In 1 - The Spongebob Squarepants Movie + Spongebob Squarepants And Friends In Freeze Frame Frenzy"
"83024";"2 Games In 1 - Cartoon Network Block Party + Cartoon Network Speedway"
"83034";"2 Games In 1 - Disney's Brother Bear + Disney Princess"
"83078";"2 Games In 1 - The Lion King + Disney Princess"
"83047";"2 Games In 1 - Golden Nugget Casino + Texas Hold 'em Poker"
"83061";"2 Games In 1 - Spongebob Squarepants - Supersponge + Rugrats Go Wild"
"83052";"2 Games In 1 - Monsters, Inc. + Finding Nemo"
"83058";"2 Games In 1 - Power Rangers - Ninja Storm + Power Rangers - Time Force"
"83063";"2 Games In 1 Double Pack - Scooby-doo + Scooby-doo 2 - Monsters Unleashed"
"83065";"2 Games In 1 - Scooby-doo! - Mystery Mayhem + Scooby-doo And The Cyber Chase"
