"Game ID";"Game Name"
"36846";"007 - The World Is Not Enough"
"46335";"10-pin Bowling"
"36847";"1942"
"368700";"23 in 1"
"82374";"Mans 24 Hours, Le"
"3610";"3d Ultra Pinball - Thrillride"
"82993";"31 In 1"
"368704";"36 in 1"
"46337";"3d Pocket Pool"
"82995";"4 In 1 + 8 In 1"
"36848";"720 Degrees"
"82027";"Bug's Life, A"
"36849";"Action Man - Search For Base X"
"368716";"Adventure Digimon 7 2002"
"82084";"Deadly Skies"
"46343";"Alfred's Adventure"
"37226";"Walt Disney's Alice In Wonderland"
"46344";"Aliens - Thanatos Encounter"
"37030";"All Star Tennis 2000"
"36852";"All-star Baseball 2000"
"37029";"All-star Baseball 2001"
"37031";"Alone In The Dark - The New Nightmare"
"152670";"Amazing Robot"
"79428";"Animal Breeder 3"
"81927";"Animal Breeder 4"
"81928";"Animastar Gb"
"36853";"Animorphs"
"81930";"Aqualife"
"81932";"Arcade Hits - Joust And Defender"
"36855";"Arle No Bouken - Mahou No Jewel"
"81937";"Armada - Fx Racers"
"36856";"Armorines - Project S.w.a.r.m."
"36857";"Army Men"
"81940";"Army Men - Air Combat"
"37035";"Army Men - Sarge's Heroes 2"
"37034";"Army Men 2"
"81942";"Arthur's Absolutely Fun Day!"
"36858";"Asterix And Obelix"
"37036";"Astérix - Sur La Trace D'idéfix"
"81943";"Asterix And Obelix Vs Caesar"
"36859";"Asteroids"
"81946";"Atlantis - The Lost Empire"
"81949";"Atv Racing"
"81950";"Atv Racing And Karate Joe"
"36860";"Austin Powers - Oh Behave!"
"37037";"Austin Powers - Welcome To My Underground Lair"
"81956";"Azarashi Sentai Inazuma - Dokidoki Daisakusen!"
"36861";"Azure Dreams"
"81988";"B-daman Bakugaiden - Victory E No Michi"
"81987";"B-daman Bakugaiden 5 - Final Mega Tune"
"36862";"Babe And Friends"
"81957";"Baby Felix - Halloween"
"81959";"Backgammon"
"81960";"Bad Badtz-maru Robo Battle"
"81961";"Bakukyuu Renpatsu!! Super B-daman - Gekitan! Rising Valkyrie!!"
"81962";"Bakusou Dekotora Densetsu Gb Special - Otoko Dokyou No Tenka Touitsu"
"81964";"Bakuten Shoot Beyblade"
"36863";"Ballistic"
"176631";"Balloon Balloon"
"81965";"Balloon Fight Gb"
"81972";"Barbie - Fashion Pack Games"
"36865";"Barbie - Pet Rescue"
"81969";"Barbie - Chasse Au Tresor Sous-marine"
"81973";"Barbie - Magic Genie Adventure"
"81982";"Barcode Taisen Bardigun"
"36867";"Bass Masters Classic"
"82523";"New Batman Adventures  - Chaos In Gotham, The"
"36868";"Batman Beyond - Return Of The Joker"
"189434";"Battle Of Vietnam, The"
"81986";"Battleship"
"36869";"Battletanx"
"82996";"Beast Fighter"
"81991";"Beatmania Gb"
"81992";"Beatmania Gb - Gotcha Mix 2"
"81993";"Beatmania Gb2 - Gotcha Mix"
"81996";"Benjamin Bluemchen - Ein Verrueckter Tag Im Zoo"
"176632";"Berzerk Legends"
"81997";"Beyblade - Fighting Tournament"
"36870";"Bibi Blocksberg - Im Bann Der Hexenkugel"
"81999";"Bibi Und Tina - Fohlen Felix In Gefahr"
"82000";"Bikkuriman 2000 - Charging Card Gb"
"82001";"Billy Bob's Huntin' 'n' Fishin'"
"368736";"Bing Yuan Li Xian Ji II"
"36871";"Bionic Commando - Elite Forces"
"37040";"Black Bass - Lure Fishing"
"82852";"Black Onyx, The"
"36872";"Blade"
"82759";"Snow White And The Seven Dwarfs"
"167279";"Blastah"
"37041";"Blaster Master - Enemy Below"
"82008";"Blue's Clues - Blue's Alphabet Book"
"82807";"Supreme Snowboarding"
"82009";"Bob Et Bobette - Les Dompteurs Du Temps"
"37197";"Spongebob Squarepants - Legend Of The Lost Spatula"
"82010";"Bob The Builder - Fix It Fun!"
"82012";"Boku No Camp-jou"
"82015";"Bomber Man Max - Ain Version"
"368740";"Bomberman 3"
"36874";"Bomberman Max - Blue Champion"
"37042";"Bomberman Max - Red Challenger"
