"Game ID";"Game Name"
"4932";"007 - From Russia With Love"
"4880";"James Bond 007 - Agent Under Fire"
"4798";"007 - Nightfire"
"4836";"James Bond 007 - Everything Or Nothing"
"4976";"1080° Avalanche"
"5205";"18 Wheeler American Pro Trucker"
"152644";"2 Games In 1 - The Spongebob Squarepants Movie / Battle For Bikini Bottom"
"107072";"2 Games In 1 - Bob L'eponge - Le Film   Tak 2 - Le Sceptre Des Reves"
"107073";"2 Games In 1 - The Incredibles / Finding Nemo"
"78463";"2002 FIFA World Cup"
"5220";"4x4 Evo 2"
"5021";"Aggressive Inline"
"5194";"Alien Hominid"
"5326";"All-star Baseball 2002"
"5268";"All-star Baseball 2003"
"5306";"All-star Baseball 2004"
"5227";"Amazing Island"
"5204";"American Chopper 2 - Full Throttle"
"4772";"Animal Crossing"
"5013";"Animaniacs - The Great Edgar Hunt"
"5150";"Aquaman"
"5287";"Army Men - Air Combat - The Elite Missions"
"5135";"Army Men - Rts"
"5242";"Army Men - Sarge's War"
"4834";"Astérix And Obélix Xxl"
"5097";"Atv Quad Power Racing 2"
"5247";"Auto Modellista"
"4884";"Avatar - The Last Airbender - The Video Game"
"5382";"Backyard Baseball"
"5375";"Backyard Football"
"5368";"Backyard Baseball 2007"
"5153";"Bad Boys 2"
"4833";"Baldur's Gate - Dark Alliance"
"109163";"Baseball 2003 - Battle Ball Park Sengen Perfect Play Pro Yakyuu, The"
"4774";"Baten Kaitos Origins"
"4758";"Baten Kaitos"
"4945";"Batman - Dark Tomorrow"
"4961";"Batman Begins"
"5036";"Batman - Rise Of Sin Tzu"
"4954";"Batman Vengeance"
"4872";"Battalion Wars"
"4840";"Battle Stadium D.o.n"
"5007";"Beach Spikers"
"5010";"Beyblade - Vforce"
"4785";"Beyond Good And Evil"
"4972";"Meet The Robinsons"
"5190";"Big Air Freestyle"
"5224";"Big Mutha Truckers"
"4844";"Hobbit, The"
"4889";"Billy Hatcher And The Giant Egg"
"5090";"Bionicle"
"5141";"Bionicle Heroes"
"5091";"Black And Bruised"
"5012";"Bleach - Tasogare Ni Mamieru Shinigami"
"4909";"Blood Omen 2"
"5079";"Bloodrayne"
"4849";"Bloody Roar - Primal Fury"
"5307";"Blowout"
"4904";"Bmx Xxx"
"5149";"Spongebob Squarepants - Battle For Bikini Bottom"
"5095";"Spongebob Squarepants - Creature From The Krusty Krab"
"4951";"Spongebob Squarepants Movie, The"
"5283";"Spongebob Squarepants - Revenge Of The Flying Dutchman"
"5085";"Spongebob Squarepants - Lights, Camera, Pants"
"65262";"Nicktoons Unite!"
"59893";"Boboboubo Boubobo Dassutsu! Hajike Royale"
"59894";"Bomber Man Land 2"
"4908";"Bomberman Generation"
"5195";"Bomberman Jetters"
"5064";"Italian Job,the"
"5152";"Bratz - Forever Diamondz"
"5169";"Bratz - Rock Angelz"
"4828";"Buffy The Vampire Slayer - Chaos Bleeds"
"5025";"Burnout"
"4935";"Burnout 2 - Point Of Impact"
"5177";"Super Bust-a-move All Stars"
"5269";"Butt-ugly Martians - Zoom Or Doom !"
"59895";"Cabela's Big Game Hunter - 2005 Adventures"
"59896";"Cabela's Dangerous Hunts 2"
"59897";"Cabela's Outdoor Adventures"
"4882";"Call Of Duty 2 - Big Red One"
"4865";"Call Of Duty - Finest Hour"
"5005";"Capcom Vs. Snk 2 Eo - Millionaire Fighting 2001"
"59898";"Captain Tsubasa - Ougon Sedai No Chousen"
"5182";"Carmen Sandiego - The Secret Of The Stolen Drums"
"4911";"Cars"
"5286";"Casper - Spirit Dimensions"
"5327";"Castle Shikigami 2 - War Of The Worlds"
"4958";"Catwoman"
"5032";"Cel Damage"
"5236";"Chaos Field"
"5371";"Charinko Hero"
"5039";"Charlie And The Chocolate Factory"
"5264";"Charlie's Angels"
"4856";"Chibi-robo !"
"5231";"Cocoto - Platform Jumper"
"5244";"Cocoto Funfair"
"5172";"Cocoto Kart Racer"
"5202";"Codename - Kids Next Door - Operation - V.i.d.e.o.g.a.m.e."
"5037";"Conan"
"4925";"Conflict - Desert Storm"
"4938";"Conflict - Desert Storm 2"
"5003";"2006 Fifa World Cup"
"4848";"Crash Bandicoot - The Wrath Of Cortex"
"4950";"Crash Nitro Kart"
"4869";"Crash Tag Team Racing"
"4943";"Crazy Taxi"
"5211";"Cubivore"
"5361";"Cubix Robots Showdown"
"5341";"Curious George"
"5118";"Custom Robo"
"5104";"Dakar 2"
"4999";"Dancing Stage - Mario Mix"
"5119";"Dark Summit"
"5052";"Darkened Skye"
"5045";"Dave Mirra Freestyle Bmx 2"
"5089";"Dead To Rights"
"4763";"Def Jam Fight For Ny"
"4986";"Def Jam Vendetta"
"5332";"Defender - For All Mankind"
"109167";"Derby Tsuku 3 - Derby Uma O Tsukurou!"
"4897";"Die Hard - Vendetta"
"4963";"Digimon - Rumble Arena 2"
"4919";"Digimon World 4"
"59899";"Dinotopia - The Sunstone Odyssey"
