"Game ID";"Game Name"
"18463";"20 Em 1"
"154253";"3 In 1 - The Best Game Collection (a)"
"154264";"3 In 1 - The Best Game Collection (b)"
"154265";"3 In 1 - The Best Game Collection (c)"
"154266";"3 In 1 - The Best Game Collection (d)"
"154267";"3 In 1 - The Best Game Collection (e)"
"154268";"3 In 1 - The Best Game Collection (f)"
"199986";"3D Gunner"
"44241";"4 Pak All Action"
"154254";"8 In 1 - The Best Game Collection (a)"
"154269";"8 In 1 - The Best Game Collection (b)"
"154270";"8 In 1 - The Best Game Collection (c)"
"64888";"94 Super World Cup Soccer"
"914";"Ace Of Aces"
"189099";"Acerte O Alvo"
"799";"Action Fighter"
"926";"Addams Family, The"
"18464";"Aerial Assault"
"832";"After Burner"
"900";"Air Rescue"
"765";"Aladdin"
"855";"Alex Kidd - Bmx Trial"
"152600";"Alex Kidd 3 - Curse In Miracle World"
"763";"Alex Kidd - High-tech World"
"808";"Alex Kidd - The Lost Stars"
"754";"Alex Kidd In Miracle World"
"150972";"Alex Kidd In Miracle World 2"
"778";"Alex Kidd In Shinobi World"
"817";"Alf"
"78353";"Alibaba And 40 Thieves"
"797";"Alien 3"
"911";"Alien Storm"
"852";"Alien Syndrome"
"772";"Altered Beast"
"853";"Andre Agassi Tennis"
"64890";"Antiisda Warrior"
"18465";"Arcade Smash Hits"
"841";"Argos No Juujiken"
"18477";"Ariel - The Little Mermaid"
"64891";"Artillery Master 8k"
"18466";"As Aventuras Da Tv Colosso"
"895";"Assault City"
"769";"Astérix"
"795";"Astérix And The Great Rescue"
"812";"Astérix And The Secret Mission"
"200439";"Astro Force"
"918";"Astro Warrior"
"64911";"Astro Warrior and  Pit Pot"
"890";"Ayrton Senna's Super Monaco Gp 2"
"834";"Aztec Adventure"
"813";"Back To The Future Part 2"
"887";"Back To The Future Part 3"
"18467";"Baku Baku"
"962";"Bank Panic"
"929";"Basketball Nightmare"
"789";"Batman Returns"
"860";"Battle Outrun"
"18468";"Battlemaniacs"
"64892";"Berlin No Kabe"
"821";"Black Belt"
"944";"Blade Eagle 3-d"
"78354";"Block Hole"
"64893";"Blockhead"
"78355";"Bobble Bobble"
"204280";"Bock's Birthday 2003"
"204282";"Bock's Birthday 2004"
"189096";"Bolas E Cores"
"189094";"Bolhas"
"189084";"Bombeiros"
"791";"Bomber Raid"
"952";"Bonanza Bros."
"991";"Bonkers - Wax Up !"
"18469";"Bram Stoker's Dracula"
"186690";"Bruce Lee"
"770";"Bubble Bobble"
"18470";"Buggy Run"
"840";"California Games"
"972";"California Games 2"
"64894";"Canyon Racer"
"869";"Captain Silver"
"946";"Casino Games"
"18471";"Castelo Rá-tim-bum"
"759";"Castle Of Illusion Starring Mickey Mouse"
"189093";"Cava Cava"
"987";"Champions Of Europe"
"18472";"Championship Hockey"
"18473";"Chapolim X Drácula - Um Duelo Assustador"
"995";"Cheese Cat-astrophe Starring Speedy Gonzales"
"115856";"Chip 8"
"838";"Choplifter"
"893";"Chuck Rock"
"934";"Chuck Rock 2 - Son Of Chuck"
"861";"Cloud Master"
"872";"Columns"
"78356";"Comic Bakery"
"44244";"Comical Machine Gun Joe"
"803";"Cool Spot"
"18476";"Cosmic Spacehead"
"189098";"Creature Capture"
"842";"Cyber Shinobi, The"
"854";"Cyborg Hunter"
"44245";"Cyborg Z"
"78357";"C_so!"
"850";"Daffy Duck In Hollywood"
"44246";"Dallyeora Pigu-wang"
"64895";"Damiana"
"888";"Danan The Jungle Fighter"
"880";"Dead Angle"
"779";"Deep Duck Trouble Starring Donald Duck"
"968";"Desert Speedtrap Starring Road Runner And Wile E. Coyote"
"826";"Desert Strike"
"945";"Dick Tracy"
"64896";"Digger Ball"
"64897";"Digger Chan"
"44247";"Dinobasher Starring Bignose The Caveman"
"44248";"Dinosaur Dooley, The"
"189085";"Domino"
"762";"Double Dragon"
"18478";"Double Hawk"
"190926";"Dr. Hello"
"18479";"Dr. Robotnik's Mean Bean Machine"
"864";"Dragon - The Bruce Lee Story"
"820";"Dragon Crystal"
"64898";"Draw Poker"
"64899";"Driar"
"919";"Dynamite Duke"
"868";"Dynamite Düx"
"976";"Dynamite Headdy"
"928";"E-swat - City Under Siege"
"78358";"E.i. - Exa Innova"
"44251";"Eagles 5"
"804";"Earthworm Jim"
"894";"Ecco - The Tides Of Time"
"790";"Ecco The Dolphin"
"844";"Enduro Racer"
"97418";"Excellent Dizzy Collection"
"44256";"F-1 Spirit - The Way To Formula-1"
"989";"F-16 Fighter"
"875";"F1"
"44257";"Fa Tetris"
"189092";"Fabrica De Chocolate"
"990";"Fantastic Dizzy"
"801";"Fantasy Zone"
"964";"Fantasy Zone  - The Maze"
"848";"Fantasy Zone 2"
"18483";"Ferias Frustradas Do Pica-pau"
"896";"Fifa International Soccer"
"961";"Fire And Forget 2"
"18484";"Fire And Ice"
"64900";"Fire Track"
"816";"Flash, The"
"44258";"Flashpoint"
"999";"Flintstones, The"
"903";"Forgotten Worlds"
"64901";"Frogger"
"44259";"Fushigi No Oshiro Pit Pot"
"18493";"G-loc Air Battle"
"44254";"Gaegujangi Ggachi"
"876";"Gain Ground"
"18486";"Galactic Protector"
"200437";"Galactic Revenge"
"64902";"Galaxian"
"863";"Galaxy Force"
"18489";"Game Box Serie Esportes Radicais"
"368280";"Game Mo-eumjip 188 Hap"
"78359";"Gangcheol Robocop"
"885";"Gangster Town"
"851";"Gauntlet"
"189429";"Gekioko Punpun Maru"
"18491";"George Foreman's Ko Boxing"
"18492";"Geraldinho"
"833";"Ghost House"
"807";"Ghostbusters"
"810";"Ghouls'n Ghosts"
"938";"Global Defense"
"954";"Global Gladiators"
"784";"Golden Axe"
"794";"Golden Axe Warrior"
"1002";"Golfamania"
"862";"Golvellius - Valley Of Doom"
"18494";"Gp Rider"
"1007";"Great Baseball"
"172290";"Great Baseball (1985)"
"1008";"Great Basketball"
"983";"Great Football"
"1003";"Great Golf"
"172292";"Great Golf (1986)"
"969";"Great Ice Hockey"
"18495";"Great Soccer"
"978";"Great Volleyball"
"78360";"Gun.smoke"
"845";"Hang-on"
"18496";"Hang-on And Astro Warrior"
"925";"Hang On And Safari Hunt"
"943";"Heroes Of The Lance"
"963";"High School Kimengumi"
"44253";"Home Alone"
"142720";"Hong Kil Dong"
"883";"Hook"
"18498";"Hoshi Wo Sagashite..."
"933";"Impossible Mission"
"955";"Incredible Crash Dummies, The"
"18499";"Incredible Hulk, The"
"798";"Indiana Jones and the Last Crusade - The Action Game"
"984";"Heavyweight Champ"
"846";"James Bond 007 - The Duel"
"953";"James Pond 2 - Codename Robocod"
"141317";"Jang Pung 2"
"44252";"Jang Pung 3"
"97417";"Janggun-ui Adeul"
"18502";"Joe Montana Football"
"782";"Jurassic Park"
"822";"Kenseiden"
"78361";"King And Balloon"
"823";"King's Quest - Quest For The Crown"
"988";"Klax"
"64907";"Knightmare 2 - The Maze Of Galious"
"904";"Krusty's Fun House"
"827";"Kung Fu Kid"
"64903";"Kunkun And Kokokun"
"771";"Land Of Illusion Starring Mickey Mouse"
"189430";"Lander 2"
"970";"Laser Ghost"
"786";"Jungle Book, The"
"776";"Lion King, The"
"912";"Legend Of Illusion Starring Mickey Mouse"
"780";"Lemmings"
"78362";"Lemmings 2 - The Tribes"
"828";"Schtroumpfs, Les"
"18527";"Schtroumpfs Autour Du Monde, Les"
"18503";"Line Of Fire"
"881";"Lord Of The Sword"
"781";"Lucky Dime Caper Starring Donald Duck, The"
"44273";"Mahjong Sengoku Jidai"
"905";"Marble Madness"
"64905";"Marksman Shooting + Trap Shooting"
"64924";"Marksman Shooting + Trap Shooting + Safari Hunt"
"809";"Master Of Darkness"
"44274";"Masters Of Combat"
"921";"Maze Hunter 3-d"
"44275";"Megumi Rescue"
"189097";"Memoria Master"
"932";"Mercs"
"800";"Michael Jackson's Moonwalker"
"829";"Mickey's Ultimate Challenge"
"927";"Micro Machines"
"1009";"Micro Xevious, The"
"189095";"Mina Terrestre"
"189083";"Minerador"
"891";"Miracle Warriors - Seal Of The Dark Lord"
"18505";"Missile Defense 3-d"
"18506";"Mônica No Castelo Do Dragão"
"18507";"Monopoly"
"993";"Montezuma's Revenge"
"78363";"Mopiranger"
"757";"Mortal Kombat"
"18508";"Mortal Kombat 3"
"766";"Mortal Kombat 2"
"899";"Ms. Pac-man"
"922";"My Hero"
"64908";"Nanowars 8k"
"44263";"Nba Jam"
"44264";"Nekkyuu Koushien"
"44265";"Nemesis"
"44266";"Nemesis 2"
"78364";"New Boggle Boggle 2"
"906";"New Zealand Story, The"
"788";"Ninja Gaiden"
"967";"Olympic Gold"
"930";"Operation Wolf"
"189090";"Os 12 Trabalhos De Jongo"
"18509";"Ottifants, The"
"870";"Outrun"
"975";"Out Run Europa"
"1004";"Outrun 3-d"
"64909";"Pac-man"
"942";"Pac-mania"
"189088";"Palhacos"
"865";"Paperboy"
"18510";"Parlour Games"
"44261";"Pat Riley Basketball"
"44262";"Penguin Adventure"
"877";"Penguin Land"
"1010";"Pga Tour Golf"
"768";"Phantasy Star"
"64910";"Picross"
"913";"Pit-fighter"
"64912";"Pong Master"
"64913";"Pong Master 4k"
"78365";"Pooyan"
"64914";"Pop Breaker"
"886";"Populous"
"982";"Poseidon Wars 3-d"
"78366";"Power Boggle Boggle"
"835";"Power Strike"
"957";"Power Strike 2"
"923";"Predator 2"
"806";"Prince Of Persia"
"907";"Pro Wrestling"
"172291";"Pro Yakyuu Pennant Race, The"
"897";"Psychic World"
"785";"Psycho Fox"
"18512";"Putt And Putter"
"78367";"Puznic"
"998";"Quartet"
"1000";"Quest For The Shaven Yak Starring Ren Hoek And Stimpy"
"814";"R-type"
"979";"R.c. Grand Prix"
"873";"Rainbow Islands - Story Of The Bubble Bobble 2"
"793";"Secret Command"
"815";"Rambo 3"
"867";"Rampage"
"986";"Rampart"
"839";"Rastan"
"974";"American Baseball"
"941";"Renegade"
"879";"Rescue Mission"
"64915";"River Strike"
"78368";"Road Fighter"
"892";"Road Rash"
"64916";"Robbyie"
"940";"Robocop 3"
"819";"Robocop Versus The Terminator"
"874";"Rocky"
"44260";"Running Battle"
"18516";"Sagaia"
"44277";"Samgukji 3"
"44278";"Satellite 7"
"18520";"Scramble Spirits"
"18522";"Sega Chess"
"44279";"Sega World Tournament Golf"
"189101";"Senha"
"992";"Sensible Soccer - European Champions"
"825";"Shadow Dancer"
"882";"Shadow Of The Beast"
"973";"Shanghai"
"761";"Shinobi"
"18524";"Shooting Gallery"
"200427";"Silver Valley"
"792";"Simpsons - Bart Vs The Space Mutants, The"
"951";"Simpsons - Bart Vs The World, The"
"18525";"Sítio Do Picapau Amarelo"
"99358";"Sky Fighter"
"44280";"Sky Jaguar"
"917";"Slap Shot"
"115843";"Sms Tetris"
"192477";"Snail Maze"
"64917";"Sokomaster"
"884";"Solomon No Kagi - Oujo Rihita No Namida"
"856";"Sonic Blast"
"775";"Sonic Chaos"
"916";"Sonic Spinball"
"755";"Sonic The Hedgehog"
"756";"Sonic The Hedgehog 2"
"44281";"Sonic's Edusoft"
"985";"Space Gun"
"878";"Space Harrier"
"901";"Space Harrier 3d"
"64918";"Spaceoddity"
"956";"Special Criminal Investigation"
"959";"Speedball"
"843";"Speedball 2"
"18529";"Spellcaster"
"866";"Spider-Man"
"18531";"Spider-man - Return Of The Sinister Six"
"44282";"Sports Pad Football"
"931";"Spy Vs Spy"
"787";"Star Wars"
"802";"Street Fighter 2'"
"44283";"Street Master"
"773";"Streets Of Rage"
"777";"Streets Of Rage 2"
"871";"Strider"
"908";"Strider 2"
"920";"Submarine Attack"
"189100";"Sudoku"
"44284";"Suho Cheonsa"
"44285";"Sukeban Deka 2 - Shoujo Tekkamen Densetsu"
"960";"Summer Games"
"44286";"Super Basketball"
"64920";"Super Bioman 1"
"97416";"Super Boy 2"
"64921";"Super Boy 3"
"88438";"Super Boy 4"
"64922";"Super Boy I"
"78370";"Super Bubble Bobble"
"142719";"Super Columns And Tetris"
"18532";"Super Kick Off"
"837";"Super Monaco Gp"
"44288";"Super Off Road"
"44289";"Super Racing"
"971";"Super Smash T.v."
"44290";"Super Space Invaders"
"760";"Super Tennis"
"143198";"Super Tetris"
"889";"Superman - The Man Of Steel"
"948";"T2 - The Arcade Game"
"859";"Taito Chase H.Q."
"189091";"Tangram"
"18534";"Taz In Escape From Mars"
"836";"Taz-mania"
"18535";"Tecmo World Cup '93"
"830";"Teddy Boy"
"902";"Tennis Ace"
"44268";"Tensai Bakabon"
"18536";"Terminator 2 - Judgment Day"
"811";"Terminator, The"
"64923";"Tetracycline"
"796";"Ninja, The"
"44269";"Three Dragon Story, The"
"849";"Thunder Blade"
"949";"Time Soldiers"
"939";"Tom And Jerry - The Movie"
"44270";"Toto World 3"
"805";"Transbot"
"831";"Trivial Pursuit - Genus Edition"
"18539";"Turma Da Mônica Em - O Resgate"
"818";"Ultima 4 - Quest Of The Avatar"
"64925";"Ultima 3"
"997";"Ultimate Soccer"
"857";"Vigilante"
"18540";"Virtua Fighter Animation"
"1005";"American Pro Football"
"950";"Wanted"
"783";"Where In The World Is Carmen Sandiego"
"192448";"Wimbledon"
"59405";"Wimbledon 2"
"200096";"Wing Warriors"
"980";"Winter Olympics - Lillehammer '94"
"910";"Wolfchild"
"767";"Wonder Boy"
"758";"Wonder Boy 3 - The Dragon's Trap"
"764";"Wonder Boy In Monster Land"
"774";"Wonder Boy In Monster World"
"44255";"Wonsiin"
"18542";"Woody Pop"
"1001";"World Class Leader Board"
"858";"World Cup Italia '90"
"18544";"World Cup Usa 94"
"958";"World Games"
"924";"World Grand Prix"
"898";"World Soccer"
"947";"Wwf Wrestlemania - Steel Cage Challenge"
"18545";"X-men - Mojo World"
"847";"Xenon 2 - Megablast"
"78371";"Xyzolog"
"824";"Ys - The Vanished Omens"
"936";"Zaxxon 3d"
"937";"Zillion"
"915";"Zillion 2 - The Tri Formation"
"977";"Zool - Ninja Of The Nth Dimension"
