"Game ID";"Game Name"
"64827";"12 In 1"
"107165";"13 Tiles Mahjong - 98 Pretty Girl"
"38950";"16 Zhang Mahjong"
"155444";"16 Zhang Mahjong 2"
"213975";"16BIT Rhythm Land"
"1011";"16t"
"107181";"20 In 1 Golden Mega Game"
"574";"3 Ninjas Kick Back"
"64830";"4 In 1"
"18359";"6-pak"
"394";"688 Attack Sub"
"1048";"Dinosaur's Tale, A"
"1012";"Aa Harimanada"
"1013";"Aaahh!!! Real Monsters"
"189651";"Abbaye Des Morts"
"108693";"Abnormal Family - Butt Babies And Tranny Tramps"
"189105";"Academia Do Saber"
"1014";"Action 52"
"195";"Addams Family Values"
"283";"Advanced Busterhawk Gley Lancer"
"38952";"Advanced Daisenryaku - Deutsch Dengeki Sakusen"
"124843";"Adventures Of Stickboy"
"143963";"Adventures Of The Gummi Bears"
"1015";"Adventurous Boy - Mao Xian Xiao Zi"
"129";"Aero The Acro-bat"
"556";"Aero The Acro-bat 2"
"501";"Air Management - Oozora Ni Kakeru"
"537";"Air Management 2 - Koukuuou O Mezase"
"198";"After Burner 2"
"124844";"Agent Hugo - Environment At Risk"
"124845";"Agent Hugo - In The World Of Dinosaurs"
"64831";"Ahriboy So Goood"
"609";"Air Buster"
"510";"Air Diver"
"189104";"Air Hockey"
"124866";"Airstriker"
"200285";"Akira"
"8";"Disney's Aladdin"
"109050";"Aladdin 2"
"34";"Alex Kidd In The Enchanted Castle"
"130";"Alien 3"
"36";"Alien Soldier"
"106";"Alien Storm"
"53";"Alisia Dragoon"
"367924";"Alter Ego"
"15";"Altered Beast"
"512";"American Gladiators"
"189113";"Anaconda"
"422";"Andre Agassi Tennis"
"204320";"Angry Birds"
"143964";"Angry Birds - Star Wars"
"143969";"Angry Birds In Russia"
"156";"Animaniacs"
"189109";"Aniversario"
"38953";"Aq Renkan Awa"
"189108";"Aquaduto"
"289";"Arcade Classics"
"493";"Arch Rivals - The Arcade Game"
"433";"Arcus Odyssey"
"137";"Ariel - The Little Mermaid"
"367928";"Arkagis Revolution"
"487";"Ozaki Naomichi No Super Masters"
"212";"Arrow Flash"
"503";"Art Alive!"
"456";"Ryuuko No Ken"
"189120";"Asa Delta"
"419412";"Astebros"
"86";"Astérix And The Great Rescue"
"100";"Asterix And The Power Of The Gods"
"114413";"Astroduel"
"363";"Atomic Robo-kid"
"272";"Atomic Runner"
"481";"Atp Tour Championship Tennis"
"124867";"Attack Of The Irish Globs"
"1017";"Australian Rugby League"
"528";"Awesome Possum Kicks Dr. Machino's Butt!"
"1018";"Aworg - Hero In The Sky"
"296";"Ayrton Senna's Super Monaco Gp 2"
"184";"Space Funky B.o.b."
"107166";"Baby Boom"
"1019";"Baby's Day Out"
"269";"Back To The Future Part 3"
"18366";"Bahamut Senki"
"563";"Ball Jacks"
"449";"Ballz 3d"
"155462";"Bao Xiao San Guo"
"367932";"Barbarian"
"513";"Barbie Super Model"
"602";"Barbie Vacation Adventure"
"557";"Barkley Shut Up And Jam 2"
"594";"Barkley Shut Up And Jam!"
"627";"Barney's Hide And Seek Game"
"691";"Bass Masters Classic"
"727";"Bass Masters Classic - Pro Edition"
"189117";"Batalha Naval"
"199";"Batman - Revenge Of The Joker"
"62";"Batman"
"92";"Batman Forever"
"103";"Batman Returns"
"124878";"Battle City"
"1021";"Battle Golfer Yui"
"1022";"Battle Mania Daiginjou"
"338";"Battle Squadron"
"1023";"Battlemaster"
"615";"Battletech - A Game Of Armored Combat"
"1";"Battletoads"
"2";"Battletoads And Double Dragon"
"716";"Beast Warriors"
"64832";"Beastball"
"179";"Beauty And The Beast - Belle's Quest"
"181";"Beauty And The Beast - Roar Of The Beast"
"370";"Beavis And Butt-head"
"1024";"Xin Qi Gai Wang Zi"
"124882";"Ben 10 - Alien Force"
"124883";"Berzerk"
"480";"Kick Boxing, The"
"142764";"Beyond Zero Tolerance"
"514";"Bible Adventures"
"124884";"Big Cheese, The"
"747";"Bill Walsh College Football"
"729";"Bill Walsh College Football '95"
"78345";"Bill's Tomato Game"
"1025";"Bimini Run"
"367940";"Bio Evil"
"152";"Crying - Aseimei Sensou"
"143967";"Biohazard 3 - Sars War"
"273";"Bishoujo Senshi Sailor Moon"
"333";"Blades Of Vengeance"
"628";"Blaster Master 2"
"1026";"Blockbuster World Video Game Championship 2"
"1027";"Blockout"
"408";"Bloodshot"
"367944";"Blow'em Out"
"492";"Body Count"
"203806";"Bomb on Basic City - Special Edition"
"64833";"Bomboy"
"334";"Bonanza Bros."
"232";"Bonkers"
"18371";"Boogerman - A Pick And Flick Adventure"
"1028";"Boxing Legends Of The Ring"
"268";"Bram Stoker's Dracula"
