"Game ID";"Game Name"
"5441";"1080 - Teneighty Snowboarding"
"59524";"40 Winks"
"59525";"64 De Hakken!! Tamagotchi - Minna De Tamagotchi World"
"59526";"64 Hanafuda - Tenshi No Yakusoku"
"59527";"64 Oozumou"
"59528";"64 Oozumou 2"
"59529";"64 Trump Collection - Alice No Wakuwaku Trump World"
"5511";"Bug's Life, A"
"5548";"Aero Fighters Assault"
"5597";"Aerogauge"
"59503";"Ai Shougi 3"
"5534";"Aidyn Chronicles - The First Mage"
"5596";"Air Boarder 64"
"5656";"All-star Baseball 2000"
"5673";"All-star Baseball 2001"
"5699";"All-star Baseball 99"
"5546";"Armorines - Project S.w.a.r.m."
"5621";"Army Men - Air Combat"
"5538";"Army Men - Sarge's Heroes"
"5554";"Army Men - Sarge's Heroes 2"
"5671";"Asteroids Hyper 64"
"5549";"Automobili Lamborghini"
"5652";"Bakuretsu Muteki Bangaioh"
"59549";"Bakushou Jinsei 64 - Mezase! Resort Ou"
"268258";"Banjo-Dreamie"
"5405";"Banjo-kazooie"
"5411";"Banjo-tooie"
"59550";"Bass Rush - EcoGear PowerWorm Championship"
"5677";"Bassmasters 2000"
"71667";"Batman of the Future - Return of the Joker"
"5665";"Battletanx"
"5575";"Battletanx - Global Assault"
"5640";"Battlezone - Rise Of The Black Dogs"
"5477";"Beetle Adventure Racing!"
"5680";"Big Mountain 2000"
"5600";"Bio F.r.e.a.k.s."
"5523";"Blast Corps"
"5601";"Blues Brothers 2000"
"5478";"Body Harvest"
"5449";"Bomberman 64"
"113419";"Bomberman 64 - Arcade Edition"
"5516";"Bomberman 64 - The Second Attack!"
"5519";"Bomberman Hero"
"5694";"Bottom Of The 9th"
"5706";"Brunswick Circuit Pro Bowling"
"5525";"Buck Bumble"
"5626";"Bust-a-move 3 Dx"
"5580";"Bust-a-move 2 - Arcade Edition"
"5689";"California Speed"
"5487";"Carmageddon 64"
"5414";"Castlevania"
"5428";"Castlevania - Legacy Of Darkness"
"5558";"Centre Court Tennis"
"5512";"Chameleon Twist"
"5629";"Chameleon Twist 2"
"5625";"Charlie Blast's Territory"
"5567";"Chopper Attack"
"59763";"Choro Q 64 2 - Hacha Mecha Grand Prix Race"
"59858";"Chou Kuukan Nighter Pro Yakyuu King"
"59764";"Chou Kuukan Nighter Pro Yakyuu King 2"
"5522";"Clay Fighter 63 1/3"
"5591";"Clay Fighter - Sculptor's Cut"
"5447";"Command And Conquer"
"5402";"Conker's Bad Fur Day"
"59512";"World Cup 98"
"5674";"Cruis'n Exotica"
"5537";"Cruis'n Usa"
"5550";"Cruis'n World"
"5647";"Custom Robo"
"5648";"Custom Robo V2"
"5672";"Cyber Tiger"
"5501";"Duck Dodgers Starring Daffy Duck"
"71746";"Daikatana"
"5695";"Dance Dance Revolution - Disney Dancing Museum"
"5635";"Dark Rift"
"5678";"G.A.S.P!! Fighters' NEXTream"
"5617";"Magical Tetris Challenge"
"59765";"Densha De Go! 64"
"59766";"Derby Stallion 64"
"5514";"Destruction Derby 64"
"189143";"Dexanoid"
"5696";"Dezaemon 3d"
"5409";"Diddy Kong Racing"
"199970";"Die Hard 64"
"5499";"Donald Duck - Cou@k Att@ck ?*!"
"5404";"Donkey Kong 64"
