"Game ID";"Game Name"
"6216";"Blood Stone 007"
"6021";"007 - Quantum Of Solace"
"6481";"1 Contre 100"
"135877";"10 Voor Taal"
"6415";"100 Classic Games"
"6281";"100 Livres Classiques"
"6404";"1000 Bornes"
"135879";"1001 Crosswords"
"135850";"1001 Touch Games"
"7777";"101 In 1 - Explosive Megamix"
"7146";"101 In 1 - Sports Megamix"
"135880";"11 Card Games"
"58744";"12 Family Games"
"8583";"Sesame Street - Ready, Set, Grover!"
"464018";"1500 DS Spirits - Mahjong V"
"464021";"1500 DS Spirits - Shougi V"
"85084";"1500 Ds Spirits Vol. 1 - Mahjong"
"85085";"1500 Ds Spirits Vol. 10 - Igo"
"85086";"1500 Ds Spirits Vol. 2 - Shogi"
"85087";"1500 Ds Spirits Vol. 3 - Block Kuzushi"
"85088";"1500 Ds Spirits Vol. 4 - Reversi"
"85089";"1500 Ds Spirits Vol. 5 - Hanafuda"
"85090";"1500 Ds Spirits Vol. 6 - Trump"
"85091";"1500 Ds Spirits Vol. 7 - Chess"
"85092";"1500 Ds Spirits Vol. 8 - Darts"
"85093";"1500 Ds Spirits Vol. 9 - 2-nin Uchi Mahjong"
"6609";"18 Card Games"
"135881";"2 Game Pack - My Amusement Park   Digging For Dinosaurs"
"85097";"2 Game Pack! - Monster Trucks Mayhem + Atv - Thunder Ridge Riders"
"135882";"2 Games In 1 - Jewel Master - Cradle Of Egypt   Mahjongg - Ancient Egypt"
"135883";"2 In 1 - Best Of Bibi Blocksberg - Neustadt Im Hex-chaos   Das Gestohlene Hexbuch"
"135884";"2 In 1 - Best Of Bibi Und Tina - Die Grosse Schnitzeljagd   Das Grosse Unwetter"
"135885";"2 In 1 - Mahjong   Mahjong Around The World"
"124657";"2 In 1 - Music For Kids   Englisch Macht Spass - Eine Reise Nach London!"
"135886";"2 In 1 - My Little Baby   My Boyfriend"
"135887";"2 In 1 - My Pet Hotel   My Vet Practice - In The Country"
"123595";"2 In 1 - My Pet School   Best Friends - My Horse"
"126949";"2 In 1 - My Riding Stables   My Riding Stables - Life With Horses"
"135889";"2 In 1 - My Vet Practice   My Pet Hotel 2"
"126971";"2-pack - Pinkalicious - It's Party Time! And Silverlicious - Sweet Adventure"
"135891";"3 Game Pack! - Cradle Of Rome   Cradle Of Athena   Cradle Of Egypt"
"85100";"3 Game Pack! - Uno And Skip-bo And Uno Free Fall"
"135892";"3 In 1 - Animals"
"126950";"3 In 1 - Horses"
"123596";"3 In 1 - My Riding Stables  My Pet School   My Western Horse"
"126952";"3 In 1 - My Vet Practice And Riding Star And My Vet Practice In Australia"
"126996";"3 In 1 - Solitaire, Mahjong And Tangram"
"135851";"4 Game Fun Pack - Monopoly   Boggle   Yahtzee   Battleship"
"85218";"4 Game Pack! - Battleship + Connect Four + Sorry! + Trouble"
"85102";"4 Game Pack! - Clue + Aggravation + Perfection + Mouse Trap"
"135893";"4 In 1 - Meine Tierarztpraxis   Meine Tierpension   Mein Gestuet   Mein Pferd"
"126635";"4 Kyouka Perfect Clear Ds"
"85384";"Clubhouse Games"
"135894";"5-kyuu Kara 1-kyuu Kanzen Taiou Saishin Kako Mondai - Nijishiken Taisaku - Eiken Kanzenban"
"135895";"5-nen Kanji Keisan Nigate Hunter Ds"
"141125";"50 Classic Games"
"135896";"50 More Classic Games"
"135853";"7 Wonders - Treasures Of Seven"
"7459";"7 Wonders 2"
"6626";"7 Wonders Of The Ancient World"
"123572";"700 Mannin No Atama O Yokusuru - Chou Keisan Ds - 13000 Mon   Image Keisan"
"6595";"7th Dragon"
"7447";"8ball Allstars"
"85104";"99 No Namida"
"5831";"999 - Nine Hours Nine Persons Nine Doors"
"5989";"Croisée Des Mondes - La Boussole D'or, A, La"
"85451";"Deal Or No Deal - The Official Nintendo Ds Game"
"6621";"Witch Tale, A"
"204158";"A-Max Boxing"
"204160";"A-Max Tennis"
"5859";"Ace Attorney Investigations - Miles Edgeworth"
"141126";"Active Health With Carol Vorderman"
"85115";"Adi L'entraineur - Mathematiques, Francais 6e And 5e"
"85116";"Adi L'entraineur - Mathematiques, Francais Ce1-ce2"
"85117";"Adi L'entraineur - Mathematiques, Francais Cm1-cm2"
"85114";"Addy - Do You Speak English"
"6321";"Adibou - Je Joue À Lire Et À Compter - 6-7 Ans"
"7184";"Adibou - Je Joue Avec Les Lettres Et Les Nombres"
"6769";"Adibou Aventure - J'explore Le Corps Humain"
"5826";"Advance Wars - Dual Strike"
"85118";"Advance Wars - Days Of Ruin"
"6594";"Adventure Time - Hey Ice King! Why'd You Steal Our Garbage?!"
"58746";"Adventures Of Pinocchio"
"58747";"AFL Mascot Manor"
"141129";"Again - Interactive Crime Novel"
"6261";"Agatha Christie - The Abc Murders"
"5935";"Age Of Empires - Mythologies"
"5914";"Age Of Empires - The Age Of Kings"
"7579";"Aibou Ds"
"85120";"Air Traffic Chaos"
"85122";"Akagawa Jirou Mystery - Tsuki No Hikari - Shizumeru Kane No Satsujin"
"85123";"Akagawa Jirou Mystery - Yasoukyoku - Hon Ni Manekareta Satsujin"
"85124";"Akai Ito Destiny Ds"
"85125";"Akai Ito Ds"
