"Game ID";"Game Name"
"124418";"Adventures Of Gus And Rob, The"
"124419";"Another Day In Hell"
"124420";"Barbarian - The Ultimate Warrior"
"124421";"Barbarian Invaders"
"47070";"Baseball Stars Color"
"51150";"Bikkuriman 2000 - Viva! Pocket Festiva!"
"87600";"Kikou Seiki Unitron"
"47025";"Biomotor Unitron"
"124423";"Bomberman"
"87588";"Puzzle Bobble Mini"
"124424";"Centipede"
"109076";"Chaos 89"
"109077";"Columns By Thor"
"51140";"Cool Boarders Pocket"
"51139";"Cool Cool Jam"
"47027";"Crush Roller"
"47028";"Dark Arms - Beast Buster 1999"
"51151";"Delta Warp"
"47029";"Densetsu No Ogre Battle - Zenobia No Ouji"
"47030";"Densha De Go! 2"
"47031";"Dive Alert - Becky's Version"
"87554";"Dive Alert - Matt's Version"
"87555";"Doko Demo Mahjong"
"124428";"Dynamate"
"87556";"Dynamite Slugger"
"47032";"Evolution - Eternal Dungeon"
"47033";"Fantastic Night Dreams - Cotton"
"124429";"Fantasy World Dizzy Pocket"
"47034";"Faselei!"
"47035";"Fatal Fury - First Contact"
"124431";"Flight Of Ares"
"124432";"Fuztris"
"124433";"Game And Watch"
"47036";"Ganbare Neo Poke-kun"
"87557";"Infinity Cure"
"124434";"Invader"
"124435";"Jim Bagley's Ngpc Game Pack"
"124437";"Joust"
"124436";"Jumpy!"
"124438";"Juno First"
"47038";"King Of Fighters R-2"
"87559";"Koi Koi Mahjong"
"47064";"Last Blade - Beyond The Destiny"
"87560";"Magical Drop Pocket"
"109075";"Manic Miner By Lindon Dodd"
"124440";"Maze"
"87561";"Memories Off - Pure"
"47040";"Metal Slug 1st Mission"
"47041";"Metal Slug 2nd Mission"
"87562";"Mezase! Kanji Ou"
"124441";"Mine"
"87563";"Mizuki Shigeru No Youkai Shashinkan"
"124442";"Mr. Do!"
"109079";"Multi Game Menu"
"87564";"Neo 21 - Real Casino Series"
"87565";"Neo Baccarat - Real Casino Series"
"87566";"Neo Cherry Master Color - Real Casino Series"
"87567";"Neo Derby Champ Daiyosou"
"87568";"Neo Dragon's Wild - Real Casino Series"
"124443";"Neo Fantasy"
"87569";"Neo Mystery Bonus - Real Casino Series"
"87570";"Neo Poke Pro Yakyuu"
"47043";"Neo Turf Masters"
"124444";"Neo Yahtzee"
"124445";"Neodaleks!"
"47042";"Neogeo Cup '98 Plus"
"124446";"Neotris"
"124447";"Neotris - The Grand Carnage"
"124448";"Ngpc War"
"87571";"Nigeronpa"
"124449";"Olaf"
"47044";"Pac-man"
"87573";"Pachi-slot Aruze Oukoku Pocket - Azteca"
"87574";"Pachi-slot Aruze Oukoku Pocket - Dekahel 2"
"87575";"Pachi-slot Aruze Oukoku Pocket - Delsol 2"
"87576";"Pachi-slot Aruze Oukoku Pocket - E-cup"
"87577";"Pachi-slot Aruze Oukoku Pocket - Hanabi"
"87578";"Pachi-slot Aruze Oukoku Pocket - Oohanabi"
"87579";"Pachi-slot Aruze Oukoku Pocket - Porcano 2"
"87580";"Pachi-slot Aruze Oukoku Pocket - Ward Of Lights"
"87581";"Pachinko Hisshou Guide - Pocket Parlor"
"87582";"Party Mail"
"87572";"Oekaki Puzzle"
"124451";"Plink!"
"87583";"Pocket Love If"
"87584";"Pocket Reversi"
"87585";"Pocket Tennis Color - Pocket Sports Series"
"124452";"Pocketrace"
"124453";"Pocketron"
"87586";"Prize Game - Pp-aa01 Pusher Program"
"87587";"Puyo Pop"
"124454";"Puzzle Gems"
"47046";"Puzzle Link"
"47047";"Puzzle Link 2"
"124455";"Robotron - 2084"
"87590";"Rockman Battle And Fighters"
"124456";"Same Game"
"47048";"Samurai Shodown 2"
"47049";"Shanghai Mini"
"87592";"Shougi No Tatsujin Color"
"109080";"Shufflepuck Cafe By Loic Julien"
"109081";"Snake By Ivan Mackintosh"
"47050";"Snk Gals Fighters"
"47051";"Snk Vs. Capcom - Card Fighter's Clash - Capcom Version"
"87593";"Snk Vs. Capcom - Card Fighters 2 - Expand Edition"
"47052";"Snk Vs. Capcom - Card Fighter's Clash - Snk Version"
"47053";"Snk Vs. Capcom - The Match Of The Millennium"
"124457";"Sod Chess"
"124458";"Solitaire"
"47054";"Sonic The Hedgehog - Pocket Adventure"
"87596";"Soreike!! Hanafuda Doujou"
"109082";"Spacies By Jim Bagley"
"109084";"Squall"
"109086";"Super 12 In 1"
"87597";"Super Real Mahjong - Premium Collection"
"124459";"Sykowar"
"87558";"King Of Fighters - Battle De Paradise, The"
"109087";"Thieves By Ivan Mackintosh"
"109348";"Tpaint"
"47071";"Big Bang Pro Wrestling"
