"Game ID";"Game Name"
"269102";"0 and X"
"268950";"007"
"269106";"1000 Miles"
"268356";"15&apos;er Puzzle"
"269104";"17 und 4"
"356818";"1K-Mini-Bdash"
"268358";"2D Maze"
"268360";"3 mal 16"
"268362";"3 of a Kind"
"268364";"3 Vetulet"
"58997";"3-d Glooper"
"268366";"3D Construction Kit Demogame"
"268368";"3D Ghost Chase"
"268370";"3D Grandmaster"
"268372";"3D Irrgarten"
"357042";"3D Pool"
"268374";"3D Quasars"
"268376";"3D Sakk"
"59012";"3d Time Trek"
"268378";"3x16"
"268380";"7up Spot"
"268382";"A Bolcsek Kove"
"268384";"A-07"
"59013";"Aardvark"
"268386";"ABC-Puzzle"
"268388";"Absoluta"
"268340";"ACE  +4"
"59014";"ACE 2"
"268392";"ACE 2 Advanced"
"59015";"Ace - Air Combat Emulator"
"268394";"Acid Flipper"
"268342";"Ack Ack Attack"
"268396";"Action Blob"
"268398";"Action for Two"
"268952";"Admiral"
"356866";"Advanced Pinball Simulator"
"356820";"Adventure"
"268954";"Adventure 1"
"268400";"Adventure 16"
"268956";"Adventure 2"
"268958";"Adventure 3"
"200489";"Adventure Park"
"268402";"Adventures Dream"
"200487";"Adventures in Time"
"268404";"Advinman"
"268940";"Aeroblitz"
"268406";"Affenwurf"
"356822";"AFL Boulderdash"
"268960";"African Adventure"
"356824";"African Safari"
"268408";"Against In The Underground"
"268962";"Agent"
"268410";"Air-Fire"
"268412";"Airfox"
"268414";"Airheroe"
"268964";"Airport"
"59016";"Airwolf"
"59017";"Airwolf 2"
"268416";"Akasztott Ember"
"268418";"Aktien-Hai"
"268420";"Al Ladro"
"268422";"Aladin"
"268966";"Alex"
"356938";"Alien Invasion"
"268424";"Alien Overrun"
"59018";"Aliens - The Computer Game"
"268426";"Alligator Swamp"
"268428";"Almacska"
"268430";"Almatura"
"268432";"Alom Edes Alom"
"268434";"Alpha Jet"
"268436";"Alpha Moonbase"
"356940";"Ambush!"
"268438";"Amerikai Kocka"
"356942";"Amoba"
"268442";"Amoba II"
"268444";"Amoba Professional"
"268446";"Anaconda"
"268968";"Andromeda"
"268448";"Apokalipse"
"268344";"Apollo Mission"
"268942";"Apollo Rescue"
"268970";"Arak"
"268450";"Aranybanya"
"268454";"Arca-Noid"
"268452";"Arcade Video Classic"
"268456";"Arcanoid 2 Sky"
"268458";"Arcanoid 3"
"268460";"Archivum"
"59019";"Arena 3000"
"268462";"Armor"
"268464";"Aromo"
"268466";"Arrow C16"
"268972";"Arrow of Death"
"268468";"Arrow of Death 2"
"268470";"Arrow Shooting"
"268472";"Arthur Noid"
"268474";"Arthur Noid 2"
"268476";"Arthur Noid 98"
"268478";"Arthur Noid Editor"
"268480";"Arthur Noid Pro"
"268482";"Artur Kalandjai"
"268484";"ASCII Chase"
"268486";"Assault of the Cosmic Nipplezipps"
"268488";"Assedio"
"268490";"Asterocks"
"356944";"Astral Attack"
"268492";"Astrapede"
"268494";"Astro Dif"
"59020";"Astro Plumber"
"268496";"Astroid Belt"
"356946";"ATA"
"268498";"Atari Golf"
"268500";"Atlantik Krieg"
"268502";"Atlantik Krieg II"
"356948";"Atlantis"
"268504";"Atom Man"
"268974";"Atomic"
"59002";"Atomic Mission"
"357044";"Atomix"
"356708";"Attack of the Mutant Camels"
"59021";"Auf Wiedersehen Monty"
"356996";"Auriga"
"268506";"Ausweichmanoewer"
"356826";"Auto Mania"
"59022";"Auto Zone"
"268508";"Auto Zone 2"
"268510";"Auto Zone 3"
"268512";"Autobahn"
"268514";"Autozone Editor"
"268302";"Avelanche"
"268516";"Avontuur"
"268518";"Avventura nei Feudi"
"356998";"Awari"
"268520";"Axxon"
"268522";"Az Elveszett Frigylada Fosztogatoja"
"356950";"Aztec Tomb"
"268524";"Aztek"
"268526";"Baby Berks"
"268530";"Ball-X"
"268528";"Balloon Shoot"
"268532";"Bandits At Zero"
"268944";"Bar Shootup"
"356744";"Barbarian"
"268534";"Barbarian 3"
"356746";"Battle Star"
"59023";"Beach-Head"
"268536";"Beamphobia"
"268538";"Berks"
"268540";"Berks III"
"268542";"Bernat A Nyomozo"
"268544";"Big Apple"
"268946";"Big Mac"
"268546";"Bigyulabolt"
"268548";"Bio Invaders"
"269098";"Black Thunder"
"59024";"Blagger"
"356748";"Blaze"
"268550";"Blitz 16"
"268552";"Block Memory"
"268554";"Block Shoot"
"59025";"Blockbusters"
"59026";"Blockbusters - Gold Run"
"357168";"Blockout"
"59027";"Bmx Racers"
"59028";"Bmx Simulator"
"357046";"Bobby Bearing"
"59029";"Bomb Jack"
"59030";"Bomb Jack 2"
"59031";"Bongo"
"268558";"Boogie-Woogie Spiders"
"268556";"Boogieball"
"268560";"Boomber II"
"59032";"Booty"
"356952";"Bosszu, A"
"356874";"Boulder Dash"
"268976";"Boulder Dash 2"
"357000";"Bounder"
"357002";"Bowling"
"268562";"Brainfade"
"268564";"Braintech"
"268948";"Brands Hatch"
"356876";"Break Dance"
"357004";"Break Out Construction Kit"
"59033";"Brian Clough's Football Fortunes"
"268354";"Bridgehead"
"59034";"Bubble Trouble"
"268570";"Bubble Works"
"268978";"Bugs Bunny"
"268572";"Burger House"
"59003";"Calc Plus"
"268574";"Canoe Slalom"
"357006";"Captain Fizz Meets The Blaster-Trons"
"268352";"Car Chase"
"357008";"Carnage"
"356752";"Castle Master"
"268980";"Catacomb"
"356754";"Cave Fighter"
"357010";"Cave Guennie"
"268576";"Championship Chase"
"59035";"Championship Wrestling"
"357012";"Chaos"
"268578";"Chip Factory, The"
"268580";"Chipy"
"356756";"Choplifter"
"268582";"Chopper War"
"268982";"Citadel of Chaos"
"268350";"City-Runner"
"59036";"Classic Snooker"
"268584";"Climb It"
"268348";"Coconut Swamp"
"356954";"Colossus Chess  4"
"356758";"Commando"
"59038";"Cops N' Robbers"
"356760";"Corman"
"268588";"Cosmic Terror"
"268590";"Cowboy Duell"
"268592";"Crackball - The Second Version"
"268984";"Cracks of Fire"
"268594";"Crater"
"268596";"Crazy Factory"
"59039";"Crazy Golf"
"268598";"Crazy Tennis"
"268600";"Creature Crawl"
"59040";"Crillion"
"268602";"Cross Bomber"
"268604";"Cross Chase"
"268606";"Cross Horde"
"268986";"Cross It II"
"268610";"Cross Shoot"
"268616";"Cross Snake v2.0"
"268618";"Cruncher"
"356878";"Crystals"
"268620";"Csillagharcos"
"268622";"Cuthbert Enters the Tombs of Doom"
"59041";"Cuthbert In Space"
"59042";"Cutthroats"
"268624";"Cyber Hordes Gold"
"356762";"Cyborg"
"268626";"Daley Thompson&apos;s Star Events"
"268628";"Danger Diamonds"
"356764";"Danger Zone"
"268634";"Danger-Willi"
"268630";"Dangerous Mission"
"268632";"Dangerous Pyramid"
"59043";"Dark Tower"
"59044";"Death Or Glory"
"59045";"Death Race"
"268636";"Death River"
"268338";"Deathships"
"356956";"DecStone"
"356958";"Decton"
"268638";"Deeper Dungeon"
"357014";"Defender of the Crown"
"268640";"Demonsdom"
"268642";"Destructor"
"268644";"Dex"
"268646";"Dex II"
"356960";"Diagon"
"268648";"Diamantenfieber"
"356962";"Diamond Mine"
"59046";"Diamond Mine 2"
"268650";"Diamond Town"
"268652";"Die Seefahrt"
"200493";"Digiloi"
