"Game ID";"Game Name"
"154864";"2Tax Gold"
"152234";"3 Free Games with Purchase of Sega Saturn"
"97645";"3D Baseball - The Majors"
"13260";"3D Lemmings"
"13211";"3x3 Eyes - Kyuusei Koushu S"
"97646";"6 Inch My Darling"
"433999";"Actua Soccer - Club Edition"
"13330";"Advanced V.G."
"97647";"Advanced World War - Sennen Teikoku no Koubou - Last of the Millennium"
"97648";"AI Igo"
"97649";"AI Shogi"
"153171";"AI Shogi 2"
"126236";"Air Management '96"
"97650";"Airs Adventure"
"97651";"Akumajou Dracula X - Gekka no Yasoukyoku"
"13173";"Albert Odyssey Gaiden - Legend of Eldean"
"154865";"Album Club - Mune Kyun Saint Paulia Jogakuin"
"13102";"Alien Trilogy"
"152235";"All-Star Baseball '97 Featuring Frank Thomas"
"13109";"Alone in the Dark 2 - Jack is Back"
"97652";"Amagi Shien"
"97653";"America Oudan Ultra Quiz"
"13255";"AMOK"
"13219";"Andretti Racing"
"13358";"AnEarth Fantasy Stories - The First Volume"
"97654";"Angel Graffiti S - Anata e no Profile"
"154273";"Angel Paradise Vol. 1 - Sakaki Yuko - Koi no Yokan in Hollywood"
"154274";"Angel Paradise Vol. 2 - Yoshino Kimika - Isshoni I-ta-i in Hawaii"
"153172";"Angelique Duet"
"153173";"Angelique Special"
"153174";"Angelique Special 2"
"97655";"Another Memories"
"153727";"Aqua-World - Umi Monogatari"
"97656";"Aquazone Desktop Life"
"432698";"Aquazone Desktop Life - Option Disc Series 1 - Angel Fish"
"432701";"Aquazone Desktop Life - Option Disc Series 2 - Black Molly"
"432704";"Aquazone Desktop Life - Option Disc Series 3 - Blue Emperor"
"432707";"Aquazone Desktop Life - Option Disc Series 4 - Clown Loach"
"432710";"Aquazone Desktop Life - Option Disc Series 5 - False Rummy-Nose"
"97659";"Arcana Strikes"
"13157";"Area 51"
"361999";"Armed"
"97660";"Arthur to Astaroth no Nazomakaimura - Incredible Toons"
"97661";"Assault Rigs"
"97662";"Assault Suit Leynos 2"
"13116";"Astal"
"97663";"Astra Superstars"
"13355";"Asuka 120% Limited Burning Fest. Limited"
"13098";"Atlantis - The Lost Tales"
"152236";"Atomic Runner Chelnov"
"154866";"Ayakashi Ninden Kunoichiban Plus"
"154867";"BackGuiner - Yomigaeru Yuusha-tachi - Hishou-hen Uragiri no Senjou"
"154868";"BackGuiner - Yomigaeru Yuusha-tachi - Kakusei-hen Guiner Tensei"
"13286";"Baku Baku Animal"
"102115";"Bakuretsu Hunter"
"102116";"Bakuretsu Hunter R"
"154869";"Bakushou!! All Yoshimoto Quiz ou Ketteisen DX"
"13463";"Baldy Land"
"13269";"Baroque"
"154870";"Bases Loaded '96 - Double Header"
"13180";"Batman Forever - The Arcade Game"
"13313";"Batsugun"
"13267";"Battle Arena Toshinden Remix"
"13308";"Battle Arena Toshinden URA - Ultimate Revenge Attack"
"154871";"Battle Athletess Daiundoukai"
"13315";"Battle Garegga"
"13380";"Battle Monsters"
"143865";"Battle Stations"
"13420";"BattleSport"
"102118";"Beach De Reach!"
"248850";"Bedlam"
"102121";"Big Ichigeki! Pachi-slot Daikouryaku - Universal Museum"
"154872";"Big Thanks Super Keirin - Dream with Keirin 50 Years"
"204439";"Bishoujo Hanafuda Kikou Michinoku Hitou Koi Monogatari Special"
"13205";"Bishoujo Senshi Sailor Moon SuperS - Various Emotion"
"102122";"Bishoujo Variety Game - Rapyulus Panic"
"13361";"Black Dawn"
"13395";"Black Fire"
"13236";"Black/Matrix"
"13381";"Blast Chamber"
"102123";"Blast Wind"
"13202";"Blazing Dragons"
"460256";"Blazing Heroes"
"102124";"Blue Breaker - Ken Yori mo Hohoemi o"
"13329";"Blue Seed - Kushinada Hirokuden"
"102126";"Body Special 264 - Girls in Motion Puzzle Vol. 2"
"13226";"Bomberman Wars"
"13389";"Bottom of the 9th"
"102128";"Bouken Katsugeki Monomono"
"102129";"Brain Battle Q"
"13272";"Brain Dead 13"
"143866";"Break Point"
"13371";"BreakThru!"
"13366";"Bubble Bobble also Featuring Rainbow Islands"
"13396";"Bubble Symphony"
"13193";"Bug Too!"
"13112";"Bug!"
"102130";"Bulk Slash"
"13160";"Burning Rangers"
"13186";"Bust-A-Move 2 - Arcade Edition"
"13336";"Bust-A-Move 3"
"102155";"Can Can Bunny Extra"
"256663";"Can Can Bunny Premiere"
"153678";"Can Can Bunny Premiere 2"
"13316";"Capcom Generation - Dai 1 Shuu Gekitsuiou no Jidai"
"13337";"Capcom Generation - Dai 2 Shuu Makai to Kishi"
"102149";"Capcom Generation - Dai 3 Shuu Koko ni Rekishi Hajimaru"
"102148";"Capcom Generation - Dai 4 Shuu Kokou no Eiyuu"
"102147";"Capcom Generation - Dai 5 Shuu Kakutouka-tachi"
"13249";"Casper"
"154917";"Cat the Ripper - 13-Ninme no Tanteishi"
"13430";"Victory Boxing"
"13344";"Chaos Control"
"154918";"Chaos Control Remix"
"155397";"Chibi Maruko-Chan no Taisen Pazuru Dama"
"452087";"Chill"
"13216";"Cho Aniki - Kyukyoku ... Otoko no Gyakushu"
"13427";"Choro Q Park"
"154922";"Chou Jikuu Yousai Macross - Ai Oboete Imasu Ka"
"13240";"Christmas NiGHTS into Dreams..."
"154919";"Cleopatra Fortune"
"154920";"ClockWerx"
"154921";"Clockwork Knight - Pepperouchau no Fukubukuro"
"13200";"Clockwork Knight 2 - Pepperouchau's Adventure"
"13155";"Clockwork Knight - Pepperouchau's Adventure"
"360721";"Clockwork Knight Puzzle - Pengin War"
"102158";"Code R"
"13484";"College Slam"
"480494";"Colliderz"
"13106";"Command and Conquer"
"13372";"Congo - The Movie - The Lost City of Zinj"
"13289";"Contra - Legacy of War"
"126512";"Conveni - The Ano Machi Wo Dokusen Seyo, The"
"102160";"Conveni 2 - Zenkoku Chain Tenkai Da!, The"
"152237";"Corpse Killer - Graveyard Edition"
"13252";"Cotton 2"
"13309";"Cotton Boomerang"
"13356";"Courier Crisis"
"13431";"Creature Shock - Special Edition"
"248859";"Crime Patrol"
"13288";"Crimewave"
"13432";"Criticom - The Critical Combat"
"13124";"Croc! Pau-Pau Island"
"102162";"Cross Romance - Koi to Mahjong to Hanafuda to"
"153716";"Cross Tantei Monogatari - Motsureta Nanatsu no Labyrinth"
"13198";"Crows - The Battle Action for SegaSaturn"
"13131";"Crusader - No Remorse"
"102150";"Crypt Killer"
"102163";"Cube Battler - Anna Mirai-hen"
"155398";"Cube Battler - Debugger Shou-hen"
"102164";"Culdcept"
"102165";"Cyber Doll"
"13350";"Cyber Speedway"
"153735";"Virtual On - Cyber Troopers"
"102166";"Cyberbots - Fullmetal Madness"
"13258";"Cyberia"
"13117";"D"
"13310";"D-Xhird"
"155399";"Daibouken - Great Adventure - St. Elmos no Kiseki"
"102180";"Daikoukai Jidai 2"
"155400";"Daikoukai Jidai Gaiden"
"102193";"Daina Airan"
"153642";"Daina Airan - Yokoku Hen"
"13302";"Daisenryaku - Strong Style"
"155401";"Daisuki"
"155402";"Daitoride"
"13301";"Darius 2"
"13256";"Darius Gaiden"
"153653";"Dark Hunter Ge - Youma no Mori"
"153654";"Dark Hunter Jou - Ijigen Gakuen"
"13299";"Outlaws of the Lost Dynasty"
"13162";"Dark Savior"
"102181";"Dark Seed"
"102182";"Dark Seed 2"
"13303";"Darklight Conflict"
"13122";"Daytona USA"
"434965";"Daytona USA - C.C.E. Net Link Edition"
"13204";"Daytona USA - Championship Circuit Edition"
"13179";"Dead or Alive"
"102183";"Death Crimson"
"455792";"Death Tank Zwei"
"155403";"Death Throttle - Kakuzetsu Toshi Kara no Dasshutsu"
"102184";"DeathMask"
"13194";"Athlete Kings"
"13091";"Deep Fear"
"13321";"Defcon 5"
"155413";"DeJig - Aqua World"
"155414";"DeJig - Lassen Art Collection"
"155415";"DeJig - Mcknight Art Collection"
"102186";"DeJig - Tin Toy"
"155417";"Delisoba Deluxe"
"155409";"Denpa Shounenteki Game"
"13262";"Densetsu no Ogre Battle"
"102187";"Densha de Go! EX"
"153680";"Derby Analyst"
"102188";"Derby Stallion"
"155418";"Dero~n Dero Dero"
"13338";"Desire"
"13178";"Destruction Derby"
"13352";"Detana Twinbee Yahoo! Deluxe Pack"
"155419";"Devicereign"
"13129";"Devil Summoner - Soul Hackers"
"153645";"Devil Summoner Soul Hackers - Akuma Zensho Dainishuu"
"13433";"Dezaemon 2"
"13149";"Die Hard Arcade"
"13134";"Die Hard Trilogy"
"102191";"Digital Ange - Dennou Tenshi SS"
"102192";"Digital Dance Mix Vol.1 Namie Amuro"
"102190";"Digital Monster Ver. S Digimon Tamers"
"434989";"Digital Pinball - Last Gladiators Ver. 9.7"
"153777";"Digital Pinball - Necronomicon"
"153697";"Disc Station Bessatsu - I Miss You."
"13206";"Discworld 2 - Missing Presumed...!?"
"102194";"DJ Wars"
"13218";"DoDonPachi"
"102195";"DonPachi"
"13083";"Doom"
