"Game ID";"Game Name"
"38563";"'96 Zenkoku Koukou Soccer Senshuken"
"422751";"16 BIT XMAS 2012 - Snowball Fight"
"2742";"3 Ninjas Kick Back"
"2773";"3x3 Eyes - Juuma Houkan"
"2643";"3x3 Eyes - Seima Kourinden"
"38566";"4 Nin Shogi"
"2678";"90 Minutes - European Prime Goal"
"38568";"A3 S.v. - A Ressha De Ikou 3 - Super Version"
"2440";"Aaahh!!! Real Monsters"
"18989";"Abc Monday Night Football"
"2777";"Accele Brid"
"18923";"Acme Animation Factory"
"18990";"Acrobat Mission"
"38567";"Action Pachio"
"2212";"Actraiser"
"2236";"Actraiser 2"
"2359";"Addams Family Values"
"2468";"Advanced Dungeons And Dragons - Eye Of The Beholder"
"2194";"Adventures Of Batman And Robin, The"
"18991";"Adventures Of Dr. Franken, The"
"2525";"Adventures Of Mighty Max ,the"
"2886";"Adventures Of Rocky And Bullwinkle And Friends, The"
"2534";"Adventures Of Yogi Bear"
"2443";"Aero Fighters / Sonic Wings"
"2437";"Aero The Acro-bat"
"2627";"Aero The Acro-bat 2"
"2727";"Aerobiz"
"2612";"Aerobiz Supersonic"
"2733";"Ace Wo Nerae !"
"18993";"Air Cavalry"
"38575";"Akagawa Jirou Majo-tachi No Nemuri"
"38576";"Akazukin Chacha"
"18994";"Al Unser Jr.'s Road To The Top"
"2170";"Aladdin"
"268186";"Aladdin 2000"
"2549";"Albert Odyssey"
"2619";"Albert Odyssey 2 - Jashin No Taidô"
"2425";"Alcahest"
"38578";"Alice No Paint Adventure"
"2285";"Alien 3"
"2308";"Alien Versus Predator"
"18995";"Amazing Spider-man - Lethal Foes, The"
"38579";"America Oudan Ultra Quiz"
"38580";"American Battle Dome"
"2666";"American Gladiators"
"18996";"American Tail - Fievel Goes West, An"
"38609";"Ancient Magic - Bazoo! Mahou Sekai"
"2584";"Andre Agassi Tennis"
"2732";"Angelique"
"189690";"Angelique Voice Fantasy"
"2394";"Animaniacs"
"38582";"Aoki Densetsu Shoot!"
"38583";"Apocalypse 2"
"2456";"Appleseed - Prometheus no Shintaku"
"2511";"Arabian Nights - Sabaku No Seirei-o"
"38584";"Araiguma Rascal"
"18997";"Arcade's Greatest Hits - The Atari Collection 1"
"2566";"Arcana"
"2523";"Archer Maclean's Super Dropzone"
"18998";"Arcus Odyssey"
"2279";"Ardy Lightfoot"
"2798";"Aretha"
"2829";"Aretha 2 - Ariel No Fushigi Na Tabi"
"2603";"Arkanoid - Doh It Again"
"19103";"Armored Police Metal Jack"
"2446";"Art Of Fighting"
"38586";"Asahi Shinbun Rensai - Katou Hifumi Kudan Shougi - Shingiryuu"
"38587";"Asameshimae Nyanko"
"38588";"Ashita No Joe"
"2195";"Astérix"
"2192";"Astérix And Obélix"
"268212";"Astrohawk"
"18927";"Atlas - Renaissance Voyager, The"
"199976";"Atmosfear"
"2152";"Axelay"
"2384";"B.o.b."
"2206";"Bahamut Lagoon"
"38591";"Bakukyuu Renpatsu!! Super B-daman"
"19000";"Bakumatsu Kourinden - Oni"
"38593";"Bakutou Dochers"
"38594";"Ball Bullet Gun"
"19001";"Ballz 3d - Fighting At Its Ballziest"
"38595";"Barbarossa"
"2751";"Barbie - Super Model"
"2853";"Barbie - Vacation Adventure"
"2834";"Barkley - Shut Up And Jam!"
"2821";"Bass Masters Classic"
"2712";"Bass Masters Classic - Pro Edition"
"2822";"Bassin's Black Bass With Hank Parker"
"2578";"Bastard!!"
"38596";"Batman"
"2347";"Batman - Revenge Of The Joker"
"2245";"Batman Forever"
"2213";"Batman Returns"
"2792";"Battle Blaze"
"2856";"Battle Cars"
"19002";"Battle Clash"
"38597";"Battle Commander - Hachibushuu, Shura No Heihou"
"38598";"Battle Cross"
"38599";"Battle Dodge Ball - Toukyuu Daigekitotsu!"
"2752";"Battle Dodge Ball 2"
"19003";"Battle Grand Prix"
"38600";"Battle Jockey"
"38601";"Battle Master - Kyuukyoku No Senshi-tachi"
"38602";"Battle Pinball"
"38603";"Battle Racers"
"38604";"Battle Robot Retsuden"
