"Game ID";"Game Name"
"426575";"#Drive"
"195821";"1-2-switch"
"197485";"10 Second Run Returns"
"197293";"12 Orbits"
"197551";"1917 - The Alien Invasion Dx"
"359196";"1971 Project Helios"
"197445";"1979 Revolution - Black Friday"
"197265";"2064 - Read Only Memories Integral"
"197399";"20xx"
"433501";"30 Sport Games in 1"
"359197";"30-in-1 Game Collection"
"427868";"30-in-1 Game Collection Vol. 2"
"196303";"36 Fragments Of Midnight"
"195919";"3d Mini Golf"
"359198";"51 Worldwide Games"
"197267";"60 Seconds!"
"427028";"60-in-1 Game Collection"
"196305";"6180 The Moon"
"425435";"7th Sector"
"425846";"80 Days and Overboard!"
"195889";"88 Heroes - 98 Heroes Edition"
"425576";"8Doors Arum's Afterlife Adventure"
"359199";"9 Monkeys of Shaolin"
"433930";"9 R.I.P."
"426359";"9-nine-"
"428510";"99 Vidas"
"425825";"9th Dawn III - Shadow of Erthil"
"425723";"A Boy and His Blob"
"428903";"A Good Librarian Like a Good Shepherd - Library Party"
"359200";"A Hat in Time"
"359201";"A Hole New World"
"425420";"A Little Golf Journey"
"425816";"A Monster's Expedition and Earlier Adventures"
"426182";"A Short Hike"
"427397";"A Tale of Synapse - The Chaos Theories"
"359202";"A-Train - All Aboard! Tourism"
"426641";"Aaero - Complete Edition"
"359203";"Abarenbo Tengu & Zombie Nation"
"433588";"Absolute Drift"
"426209";"Absolute Drift Zen Edition"
"427799";"Abyss of the Sacrifice"
"427580";"ABZÛ"
"197487";"Aca Neogeo 2020 Super Baseball"
"198645";"Aca Neogeo 3 Count Bout"
"198635";"Aca Neogeo Art Of Fighting"
"198739";"Aca Neogeo Art Of Fighting 2"
"198649";"Aca Neogeo Art Of Fighting 3"
"196311";"Aca Neogeo Aero Fighters 2"
"197447";"Aca Neogeo Aero Fighters 3"
"197645";"Aca Neogeo Aggressors Of Dark Kombat"
"198693";"Aca Neogeo Alpha Mission 2"
"198667";"Aca Neogeo Baseball Stars 2"
"197449";"Aca Neogeo Baseball Stars Professional"
"196313";"Aca Neogeo Blazing Star"
"198629";"Aca Neogeo Blue's Journey"
"198663";"Aca Neogeo Burning Fight"
"197585";"Aca Neogeo Crossed Swords"
"198621";"Aca Neogeo Cyber-lip"
"196315";"Aca Neogeo Fatal Fury"
"198657";"Aca Neogeo Fatal Fury 2"
"198731";"Aca Neogeo Fatal Fury 3"
"198689";"Aca Neogeo Fatal Fury Special"
"197629";"Aca Neogeo Football Frenzy"
"198681";"Aca Neogeo Galaxy Fight - Universal Warriors"
"196317";"Aca Neogeo Garou - Mark Of The Wolves"
"197451";"Aca Neogeo Ghost Pilots"
"198735";"Aca Neogeo Gururin"
"198719";"Aca Neogeo Karnov's Revenge"
"198669";"Aca Neogeo King Of The Monsters"
"198691";"Aca Neogeo Kizuna Encounter"
"197453";"Aca Neogeo Last Resort"
"197587";"Aca Neogeo League Bowling"
"196319";"Aca Neogeo Magical Drop 2"
"198687";"Aca Neogeo Magical Drop 3"
"197455";"Aca Neogeo Magician Lord"
"196325";"Aca Neogeo Metal Slug"
"196321";"Aca Neogeo Metal Slug 2"
"196323";"Aca Neogeo Metal Slug 3"
"197589";"Aca Neogeo Metal Slug 4"
"198737";"Aca Neogeo Metal Slug 5"
"196327";"Aca Neogeo Metal Slug X"
"196329";"Aca Neogeo Money Puzzle Exchanger"
"198675";"Aca Neogeo Mutation Nation"
"198725";"Aca Neogeo Nam-1975"
"197457";"Aca Neogeo Neo Turf Masters"
"197459";"Aca Neogeo Ninja Combat"
"197539";"Aca Neogeo Ninja Commando"
"198631";"Aca Neogeo Ninja Master's"
"196331";"Aca Neogeo Over Top"
"198729";"Aca Neogeo Pleasure Goal - 5 On 5 Mini Soccer"
"198655";"Aca Neogeo Power Spikes 2"
"198637";"Aca Neogeo Prehistoric Isle 2"
"198659";"Aca Neogeo Pulstar"
"198699";"Aca Neogeo Puzzle Bobble"
"198703";"Aca Neogeo Puzzle Bobble 2"
"198701";"Aca Neogeo Puzzled"
"198673";"Aca Neogeo Ragnagard"
"198711";"Aca Neogeo Real Bout Fatal Fury"
"198665";"Aca Neogeo Real Bout Fatal Fury 2"
"197653";"Aca Neogeo Real Bout Fatal Fury Special"
"198625";"Aca Neogeo Riding Hero"
"198683";"Aca Neogeo Robo Army"
"197591";"Aca Neogeo Samurai Shodown"
"198619";"Aca Neogeo Samurai Shodown 5 Special"
"198697";"Aca Neogeo Samurai Shodown 2"
"198705";"Aca Neogeo Samurai Shodown 3"
"196333";"Aca Neogeo Samurai Shodown 4"
"198627";"Aca Neogeo Samurai Shodown 5"
"198639";"Aca Neogeo Savage Reign"
"198685";"Aca Neogeo Sengoku"
"196335";"Aca Neogeo Sengoku 2"
"196337";"Aca Neogeo Sengoku 3"
"196339";"Aca Neogeo Shock Troopers"
"198709";"Aca Neogeo Soccer Brawl"
"196341";"Aca Neogeo Spin Master"
"198715";"Aca Neogeo Stakes Winner"
"198651";"Aca Neogeo Stakes Winner 2"
"198723";"Aca Neogeo Street Hoop"
"198641";"Aca Neogeo Strikers 1945 Plus"
"198677";"Aca Neogeo Super Sidekicks"
"196343";"Aca Neogeo Super Sidekicks 2"
"197593";"Aca Neogeo Super Sidekicks 3 The Next Glory"
"196345";"Aca Neogeo The King Of Fighters '94"
"197461";"Aca Neogeo The King Of Fighters '95"
"197595";"Aca Neogeo The King Of Fighters '96"
"197597";"Aca Neogeo The King Of Fighters '97"
"196349";"Aca Neogeo The King Of Fighters '99"
"197463";"Aca Neogeo The King Of Fighters 2000"
"198727";"Aca Neogeo The King Of Fighters 2001"
"198717";"Aca Neogeo The King Of Fighters 2002"
"198733";"Aca Neogeo The King Of Fighters 2003"
"196347";"Aca Neogeo The King Of Fighters '98"
"198741";"Aca Neogeo The Last Blade"
"197465";"Aca Neogeo The Last Blade 2"
"197467";"Aca Neogeo The Super Spy"
"198633";"Aca Neogeo The Ultimate 11 - Snk Football Championship"
"198671";"Aca Neogeo Thrash Rally"
"198679";"Aca Neogeo Top Hunter Roddy & Cathy"
"198695";"Aca Neogeo Top Player's Golf"
"198623";"Aca Neogeo Twinkle Star Sprites"
"197469";"Aca Neogeo Waku Waku 7"
"198721";"Aca Neogeo World Heroes"
"198643";"Aca Neogeo World Heroes 2"
"198707";"Aca Neogeo World Heroes 2 Jet"
"196351";"Aca Neogeo World Heroes Perfect"
"198713";"Aca Neogeo Zed Blade"
"198653";"Aca Neogeo Zupapa!"
"428552";"Fishing Spirits (Ace Angler)"
"196353";"Ace Of Seafood"
"428720";"Aces of the Luftwaffe - Squadron"
"196357";"ACORN Tactics"
"427337";"Active Life - Outdoor Challenge"
"427982";"Adam's Venture - Origins"
"430583";"Advance Wars 1+2 - Re-Boot Camp"
"428747";"Adventure Pals, The"
"196231";"Adventure Time - Pirates of the Enchiridion"
"197055";"Adventures Of Elena Temple, The"
"196359";"Aegis Defenders"
"426257";"Aerial_Knight's Never Yield"
"425798";"Aeterna Noctis"
"359205";"AeternoBlade 2"
"431300";"AEW - Fight Forever"
"428153";"AFL Evolution 2"
"430574";"Afterimage - Deluxe Edition"
"359204";"Afterparty"
"359208";"Agatha Christie - Hercule Poirot - The First Cases"
"433564";"Agatha Christie - Murder on the Orient Express"
"359209";"Agatha Christie - The ABC Murders"
"433783";"Agatha Christie Hercule Poirot - The London Case"
"197367";"Agatha Knife"
"198567";"Aggelos"
"198493";"AI - THE SOMNIUM FILES"
"426962";"Ai Kiss"
"359589";"Ai Kiss 2"
"426716";"Ai Kiss 3 - Cute"
"426356";"AI - The Somnium Files - Nirvana Initiative"
"359583";"AIR"
"198135";"Air Conflicts Collection"
"197471";"Air Hockey"
"359206";"Air Missions - HIND"
"426035";"Airoheart"
"433561";"Airport Hero - All Stars"
"426353";"Aiyoku no Eustia - Angel's Blessing"
"431384";"Akai Ito & Aoi Shiro HD Remaster"
"425348";"Akatsuki Yureru Koi Akari"
"359584";"Akiba's Trip - Hellbound & Debriefed"
"359585";"Akita Oga Mystery Annai - Kogoeru Ginreika"
"433915";"Akka Arrh"
"427019";"Alba - A Wildlife Adventure"
"431327";"Alchemic Cutie"
"359587";"Aleste Collection"
"359210";"Alex Kidd in Miracle World DX"
"426011";"Alfred Hitchcock - Vertigo - Limited Edition"
"433858";"Alice in the Country of Spades - Wonderful Black World"
"427280";"Alice in the Country of Spades - Wonderful White World"
"425345";"All the World's a Stage, and All the Men and Women Merely Players + To You Like Goddess."
"196209";"All-star Fruit Racing"
"427910";"Alpaca Ball"
"359211";"Alpaca Ball - Allstars"
"425843";"Alphadia Genesis 1 & 2"
"196361";"Alteric"
"197947";"Daedalus - The Awakening Of Golden Jazz"
"426980";"Alwa's Collection"
"430499";"Always Sometimes Monsters"
"196363";"Ambition Of The Slimes"
"359221";"America's Greatest Game Shows - Wheel of Fortune & Jeopardy!"
"197839";"Wheel Of Fortune"
"359212";"American Fugitive"
"425720";"American Hero"
"428687";"American Ninja Warrior"
"198121";"American Ninja Warrior - Challenge"
"198479";"Amnesia Collection"
"198539";"Amnesia Later × Crowd For Nintendo Switch"
"359588";"Amnesia World for Nintendo Switch"
"428486";"Amnesia - Later x Crowd"
"426083";"Amnesia - Memories"
"198319";"Among The Sleep - Enhanced Edition"
"427001";"Among Us - Crewmate Edition"
"359213";"Ancestors Legacy"
"426680";"Andro Dunos 2"
"359590";"Angelique Luminarise"
"197473";"Angels Of Death"
"359207";"Angry Alligator"
"426503";"Angry Video Game Nerd I & II Deluxe"
"196365";"Anima - Gate of Memories"
"428750";"Anima Gate of Memories - Arcane Edition"
"359214";"Animal Crossing - New Horizons"
"196367";"Animal Rivals Switch"
"196369";"Animal Super Squad"
"430649";"Ankora - Lost Days + Deiland Pocket Planet"
"430496";"ANNO - Mutationem"
"426245";"Anonymous;Code"
"196371";"Another Lost Phone - Lauras Story"
"198551";"Another Sight"
"196373";"Another World"
"428168";"Another World + Flashback"
"196375";"Antiquia Lost"
"359591";"AO Tennis 2"
"196133";"Ao No Kanata No Four Rhythm For Nintendo Switch"
"428945";"Aokana - Four Rhythm Across the Blue"
"426821";"Aonatsu Line"
"359215";"Ape Out"
"196377";"Aqua Kitty Udx"
"196129";"Aqua Moto Racing Utopia"
"359592";"Ar Nosurge - Umareizuru Hoshi e Inoru Uta : DX"
"427694";"Ar nosurge DX (Ar nosurge - Ode to an Unborn Star DX)"
"431402";"Ara Fell & Rise of the Third Power"
"198037";"Aragami - Shadow Edition"
"198543";"Arc Of Alchemist"
"197335";"Arcade Archives 10-yard Fight"
"197337";"Arcade Archives City Connection"
"196379";"Arcade Archives Crazy Climber"
"196381";"Arcade Archives Donkey Kong"
"196383";"Arcade Archives Double Dragon"
"197339";"Arcade Archives Heroic Episode"
"197341";"Arcade Archives Ikki"
"197343";"Arcade Archives Kid Niki Radical Ninja"
"197345";"Arcade Archives Kids Horehore Daisakusen"
"196385";"Arcade Archives Mario Bros."
"196387";"Arcade Archives Moon Patrol"
"197347";"Arcade Archives Ninja-kid"
"197349";"Arcade Archives Omega Fighter"
"196389";"Arcade Archives Punch-out!!"
"197351";"Arcade Archives Renegade"
"197631";"Arcade Archives Rygar"
"196391";"Arcade Archives Sky Skipper"
"196393";"Arcade Archives Star Force"
"197353";"Arcade Archives Terra Cresta"
"196395";"Arcade Archives Traverse Usa"
"196397";"Arcade Archives Vs. Super Mario Bros."
"428528";"Arcade Love - Plus Pengo!"
"426200";"Arcade Paradise"
"359216";"Arcade Spirits"
"426287";"Arcade Spirits - The New Challengers"
"427199";"Archetype Arcadia"
"426617";"Archvale"
"426185";"Are You Smarter Than A 5th Grader"
"359222";"Aria Chronicle"
"359217";"Arietta of Spirits"
"197907";"Ark - Survival Evolved"
"425780";"Arkanoid - Eternal Battle"
"195803";"Arms"
"425459";"Art of Rally"
"359218";"Ary and the Secret of Seasons"
"433855";"As Far As The Eye"
"427073";"Asatsugutori"
"426848";"Asdivine Collection"
"359219";"Ash of Gods - Redemption"
"426776";"Ashwalkers"
"426596";"Asonde Mahjong ga Tsuyokunaru! Ginsei Mahjong DX"
"196165";"Asonde Shogi Ga Tsuyoku Naru Ginsei Shogi Dx"
"428969";"Asonde Shogi ga tsuyoku naru! Ginza Shogi DX"
