"Game ID";"Game Name"
"117368";"15-in-1 Mega Collection - Backtracking Ten Years"
"78593";"1943 Kai"
"78594";"21 Emon - Mezase Hotel Ou!!"
"117369";"5-in-1 Fami Collection - Nes Collection Nr 1"
"117370";"6-in-1 Fami Collection - Nes Collection Nr 2"
"125854";"7 Wizards"
"59772";"Aero Blasters"
"14523";"After Burner 2"
"14526";"Pc Denjin - Punkic Cyborgs"
"14543";"Alien Crush"
"59818";"Andre Panza Kick Boxing"
"78597";"Aoi Blink"
"78598";"Appare Gateball"
"78599";"Artist Tool"
"59773";"Atomic Robo-kid Special"
"125847";"Attack Force"
"78600";"Av Poker"
"59774";"Ballistix"
"78601";"Bari Bari Densetsu"
"78602";"Barunba"
"78603";"Batman"
"14566";"Battle Lode Runner"
"59775";"Battle Royale"
"78721";"Benkei Gaiden"
"78606";"Blazing Lazers"
"125848";"Blockos"
"59776";"Bloody Wolf"
"78608";"Body Conquest 2"
"59777";"Bomberman"
"14484";"Bomberman '93"
"190749";"Bomberman '93 Special"
"14481";"Bomberman '94"
"78610";"Bomberman - Users Battle"
"59779";"Pc Genjin 3 - Pithecanthropus Computerurus"
"59780";"Pc Genjin - Pithecanthropus Computerurus"
"78611";"Pc Genjin 2 - Pithecanthropus Computerurus"
"78609";"Bouken Danshaku Don - The Lost Sunheart"
"78612";"Boxyboy"
"78613";"Bravoman"
"14598";"Break In"
"59781";"Bubblegum Crash! - Knight Sabers 2034"
"59782";"Bull Fight - Ring No Haja"
"59783";"Burning Angels"
"78614";"Busou Keiji - Cyber Cross"
"14511";"Cadash"
"78615";"Champion Wrestler"
"78616";"Champions Forever Boxing"
"14520";"Chase H.q."
"14556";"Chew Man Fu"
"78617";"Chibi Maruko Chan - Quiz De Piihyara"
"78618";"Chikudenya Toubei - Kubikiri Yakata Yori"
"78788";"China Warrior"
"78620";"Circus Lido"
"125849";"City Bomber"
"59789";"City Hunter"
"125850";"Collision 8"
"59788";"Columns"
"78621";"Coryoon - Child Of Dragon"
"125886";"Crash"
"14527";"Cratermaze"
"59784";"Cross Wiber - Cyber Combat Police"
"125851";"Cubman"
"59785";"Cyber Core"
"78622";"Cyber Dodge"
"59787";"Cyber Knight"
"78623";"Daichi-kun Crisis - Do Natural"
"78624";"Daisenpuu"
"59790";"Darius Alpha"
"59791";"Darius Plus"
"14487";"Darkwing Duck"
"78625";"Davis Cup Tennis"
"59792";"Dead Moon"
"59793";"Deep Blue"
"14541";"Detana!! Twinbee"
"78626";"Devil's Crush"
"14515";"Die Hard"
"78627";"Digital Champ - Battle Boxing"
"78628";"Don Doko Don!"
"190750";"Doraemon - Meikyuu Daisakusen"
"59795";"Doraemon - Nobita No Dorabian Night"
"78630";"Double Dungeons"
"78631";"Download"
"125905";"Dragon 2 Win Prototype"
"78632";"Dragon Egg!"
"78633";"Dragon Saber - After Story Of Dragon Spirit"
"78634";"Dragon Spirit"
"14468";"Dragon's Curse"
"78635";"Drop Off"
"59794";"Dungeon Explorer"
"125915";"Echo"
"78636";"Energy"
"78640";"F-1 Dream"
"78641";"F-1 Pilot - You're King Of Kings"
"78637";"F1 Circus"
"78638";"F1 Circus '91 - World Championship"
"78639";"F1 Circus '92 - The Speed Of Sound"
"78642";"F1 Triple Battle"
"78643";"Falcon"
"59796";"Fantasy Zone"
"78644";"Fighting Run"
"59797";"Final Blaster"
"14593";"Final Lap Twin"
"14577";"Final Match Tennis"
"14580";"Final Soldier"
"78647";"Fire Pro Wrestling - Combination Tag"
