"Game ID";"Game Name"
"183465";"'o' Level Caper, The"
"47954";"3-d Man"
"47955";"3-deep Space"
"140411";"3d Doolhof"
"47956";"3d Labyrinth"
"47957";"3d Maze"
"47958";"3d Silicon Fish"
"47959";"3d Tic Tac Toe"
"47960";"3d Time Trek"
"140412";"4 Op Een Rij"
"47963";"8 Player Panic"
"48198";"Country Garden, A"
"49161";"World At War, A"
"140410";"A-b-c Legen"
"47964";"A-maz-ing"
"88711";"A.e."
"140416";"Aardvark Attack"
"140415";"Aavelabyrintti"
"47965";"Abductor"
"183617";"Accoppiata, L'"
"47966";"Ace"
"47967";"Acey Ducey"
"140413";"Acrobat"
"140414";"Action Ball"
"47968";"Add'em Up!"
"47969";"Add-sub"
"47970";"Addition Invaders"
"47971";"Adventure"
"47972";"Adventureland"
"140408";"Aerials"
"47973";"African Beads"
"47974";"African Escape"
"47975";"Aggressor"
"140409";"Air Defence"
"140406";"Air Raid"
"124656";"Airplane"
"140407";"Alfabug"
"140404";"Alien 2"
"140405";"Alien Armada"
"47977";"Alien Attack"
"47978";"Alien Blitz"
"47979";"Alien Demon"
"47980";"Alien Hunter"
"47981";"Alien Invasion"
"47982";"Alien Overun"
"47983";"Alien Panic"
"47984";"Alien Plague"
"47985";"Alien Raiders"
"47986";"Alien Rush"
"47987";"Alien Sidestep"
"47988";"Alien Soccer"
"47989";"Alien Trooper"
"47990";"Alien Vortex"
"47991";"Alien Wars"
"47992";"Alien Waster"
"140402";"All Rammer"
"140403";"All Rammer 2"
"47994";"Allied Defense"
"140400";"Alpha Anxiety"
"47995";"Alpha Blaster"
"140398";"Alpha Shoot"
"47996";"Alphabet Zoo"
"47997";"Alphoids"
"47998";"Amazing Maze"
"47999";"Amidar"
"48000";"Amoeba"
"48001";"Amok"
"140399";"Ampumapeli"
"48002";"Andes Attack"
"48003";"Android Attack"
"48004";"Animal Magic"
"48005";"Annihilator"
"126159";"Another Pacman"
"48006";"Another Vic In The Wall"
"123677";"Answer Selection With Joystick"
"48007";"Ant Eater"
"48008";"Ant Raiders"
"48009";"Anti Isda Warrior"
"48010";"Antimatter"
"48011";"Antimatter Splatter"
"48012";"Ape Escape"
"140397";"App Bug"
"48013";"Apple Bug"
"123704";"Apple Hunt"
"48014";"Apple Panic"
"48015";"Apple Tree"
"48016";"Arachnoid"
"48017";"Arcade Football"
"48018";"Arcadia"
"48019";"Arithmevic 1"
"140395";"Arrow"
"48020";"Arrow of Death - Part I"
"48021";"Artillery"
"140396";"Artillery 2 And Turtle Basic"
"48022";"Artillery Duel"
"48023";"Artillery 2"
"48024";"Assault From The Deep"
"48025";"Assteroyd Dodger"
"140394";"Asteroid Attack"
"140421";"Asteroid Belt"
"48026";"Asteroid Patrol"
"48027";"Asteroids"
"48028";"Asteroyds"
"48029";"Astro Command"
"48030";"Astro Fighters"
"48031";"Astro Nell"
"140393";"Astro Panic"
"48032";"Astro Patrol"
"48033";"Astroblitz"
"48034";"Astroiders"
"140420";"Astroshy"
"140392";"Astrostorm"
"48035";"At The Circus"
"48037";"Atlantis"
"140419";"Atom Shoot"
"48038";"Atom Smasher"
"140391";"Attacco Letterale"
"140389";"Attack"
"48039";"Attack Of The Mutant Camels"
"140390";"Attack Of The Slime Creatures, The"
"140388";"Auto Race"
"123686";"Auto-rallye"
"48040";"Autobahn"
"140418";"Autobaun"
