"Game ID";"Game Name"
"419550";"3-D Battlesnake"
"419565";"3D Crosswords"
"4731";"3d Tetris"
"419475";"Advanced Pasta Cooking Simulator"
"172279";"Ballface"
"143416";"Blox"
"420603";"Blox 2"
"44479";"Bound High"
"172272";"Capitan Sevilla 2"
"423892";"Capitan Sevilla 3D"
"172273";"Castle Of Doom"
"419568";"Channel Sweeper"
"172280";"Deathchase"
"423760";"Elevated Speed"
"430355";"F-Zero Racers"
"44480";"Nikochan Battle"
"172278";"Fishbone"
"419553";"Flappy Cheep Cheep"
"422787";"Formula V"
"4740";"Galactic Pinball"
"172264";"Game Hero"
"4741";"Golf"
"419559";"GoSub"
"419541";"GoSub 3D"
"420798";"Hamburgers En Route to Switzerland"
"172276";"Hunter"
"172277";"Hyper Fighting"
"4732";"Insmouse No Yakata"
"423769";"Insecticide"
"4730";"Jack Bros"
"419571";"Lights Out"
"419577";"Mandelbrot Explorer"
"4725";"Mario Clash"
"172268";"Mario Combat"
"172267";"Mario Kart Virtual Cup"
"172266";"Mario Vb"
"4727";"Mario's Tennis"
"4737";"Nester's Funky Bowling"
"4738";"Panic Bomber"
"172265";"Platformer Demo"
"419562";"PongInvaders"
"4734";"Red Alarm"
"423757";"Red Square"
"4735";"Sd Gundam - Dimension War"
"143436";"Simon!"
"172269";"Snatcher"
"423763";"Snowball Wars"
"172270";"Soviet Union 2010"
"172271";"Soviet Union 2011"
"4728";"Space Invaders Virtual Collection"
"4742";"Space Squash"
"423766";"SPONG"
"419547";"Super Bounce"
"4744";"Teleroboxer"
"430373";"The Red Castle"
"143417";"Tic Tac Toe"
"419544";"Tic-Tac-Toe 'Ten"
"145306";"Tron"
"4733";"V-tetris"
"172275";"Vb Racing"
"4736";"Vertical Force"
"3726";"Virtual Bowling"
"4726";"Virtual Boy Wario Land"
"3727";"Virtual Fishing"
"4739";"Virtual Lab"
"4743";"Virtual League Baseball"
"143420";"Virtual Pong"
"172274";"Vue Snake"
"4729";"Waterworld"
"172281";"Zpace Racers"
