"Game ID";"Game Name"
"12223";"007 Legends"
"244742";"1001 Spikes"
"244721";"1080&#xB0; Snowboarding"
"244724";"140"
"244727";"153 Hand Video Poker"
"244730";"360 Breakout"
"244733";"3Souls"
"244736";"6-Hand Video Poker"
"12468";"6180 The Moon"
"244739";"8Bit Hero"
"12536";"99moves"
"12379";"99seconds"
"244757";"A Day at the Carnival"
"12375";"World of Keflings, A"
"244748";"A.C.E. - Alien Cleanup Elite"
"12302";"A.N.N.E"
"244745";"Absolutely Unstoppable MineRun"
"12376";"Abyss"
"244751";"Ace of Seafood"
"244754";"Act It Out! - A Game of Charades"
"12297";"Advance Wars"
"244760";"Advance Wars 2 - Black Hole Rising"
"244763";"Advance Wars - Dual Strike"
"12427";"Adventure Island - The Beginning"
"244766";"Adventure Party - Cats and Caverns"
"12266";"Adventure Time - Explore the Dungeon Because I DON'T KNOW!"
"12610";"Adventure Time - Finn And Jake Investigations"
"12456";"Adventures of Lolo"
"244772";"Adventures of Lolo 2"
"12647";"Adventures of Pip"
"244781";"Aenigma Os"
"12478";"Affordable Space Adventures"
"244787";"Ai Chō Aniki"
"244790";"Air Zonk"
"247409";"Akumajō Dracula"
"244793";"Albert Odyssey"
"244796";"Alice in Wonderland"
"244799";"Alien Crush"
"12573";"Alphadia Genesis"
"12613";"amiibo Touch and Play - Nintendo Classics Highlights"
"12294";"Angry Birds Star Wars"
"12370";"Angry Birds Trilogy"
"12506";"Angry Bunnies - Colossal Carrot Crusade"
"12635";"Animal Crossing - amiibo Festival"
"244811";"Animal Crossing - Wild World"
"244814";"Animal Gods"
"244817";"Annihilation"
"12326";"Another World 20th Anniversary Edition"
"244820";"Antarctic Adventure"
"244823";"Aperion Cyberstorm"
"244826";"Aqua Moto Racing Utopia"
"244829";"Aqua TV"
"244832";"Archery"
"12590";"Armikrog"
"12443";"Armillo"
"244835";"Armored ACORNs - Action Squirrel Squad"
"244838";"Arrow Time U"
"12385";"Art Academy - Atelier"
"244841";"Art Academy - Home Studio"
"12365";"Art Academy - Sketchpad"
"244844";"Art of Balance"
"244850";"Ascent of Kings"
"244853";"Asdivine Hearts"
"12129";"Assassin's Creed 3"
"12122";"Assassin's Creed 4 - Black Flag"
"244874";"Asteroid Quarry"
"244877";"Astral Breakers"
"244880";"Atlantis no Nazo"
"244883";"Ava and Avior Save the Earth"
"244889";"Avoider"
"12562";"Axelay"
"244892";"Axiom Verge"
"244898";"Azure Snake"
"244901";"B3 Game Expo for Bees"
"244904";"Babel no T&#x14D;"
"244907";"Back to Bed"
"12567";"Badland - Game of the Year Edition"
"244910";"Bahamut Lagoon"
"244913";"Baila Latino"
"12516";"Balloon Fight"
"12493";"Ballpoint Universe - Infinite"
"12362";"Barbie Dreamhouse Party"
"12637";"Barbie and her Sisters - Puppy Rescue"
"12520";"Baseball"
