"Game ID";"Game Name"
"46248";"Anchorz Field"
"46249";"Armored Unit"
"38474";"Bakus Dekotora Densetsu"
"38475";"Beatmania"
"38476";"Buffers Evolution"
"46250";"Cardcaptor Sakura - Sakura To Fushigi Na Clow Card"
"38478";"Ch Aniki - Otoko No Tamafuda"
"46251";"Chaos Gear - Michibikareshi Mono"
"38479";"Chocobo No Fushigi Na Dungeon"
"46252";"Chou Denki Card Battle - Youfu Makai"
"38480";"Clock Tower"
"38481";"Crazy Climber"
"38488";"D's Garage 21 - Koubo Game - Tane Wo Maku Tori"
"38482";"Densha De Go!"
"38483";"Densha De Go! 2"
"46253";"Digimon - Ver. Wonderswan"
"38485";"Digimon Adventure - Anode Tamer"
"38486";"Digimon Adventure - Cathode Tamer"
"38484";"Digimon Adventure 02 - Tag Tamers"
"46254";"Digital Partner"
"38487";"Dokodemo Hamster"
"38489";"Engacho! for Wonderswan"
"38490";"Fever - Sankyo Koushiki Pachinko Simulation"
"38491";"Final Lap 2000"
"38492";"Fire Pro Wrestling for WonderSwan"
"38493";"Fishing Freaks - Bassrise For Wonderswan"
"46255";"From Tv Animation One Piece - Mezase Kaizoku Ou!"
"38494";"Ganso Jajamaru-kun"
"46256";"Glocal Hexcite"
"38496";"Gomoku Narabe And Reversi Touryuumon"
"38497";"Goraku Ou Tango!"
"38499";"Gunpey"
"46257";"Hanafuda Shiyouyo"
"46258";"Harobots"
"46259";"Hunter X Hunter - Ishi O Tsugu Mono"
"46260";"Kakutou Ryouri Densetsu Bistro Recipe - Wonder Battle Hen"
"38501";"Kaze No Klonoa - Moonlight Museum"
"46261";"Keiba Yosou Shien Soft - Yosou Shinkaron"
"46262";"Kiss Yori... - Seaside Serenade"
"46263";"Kosodate Quiz Dokodemo - My Angel"
"38502";"Kyousouba Ikusei Simulation - Keiba"
"38503";"Langrisser Millennium"
"46264";"Last Stand"
"38504";"Lode Runner"
"46265";"Macross - True Love Song"
"38505";"Magical Drop"
"46266";"Mahjong Touryuumon"
"46267";"Makai Mura For Wonderswan"
"46268";"Medarot Perfect Edition - Kabuto Version"
"133958";"Medarot Perfect Edition - Kuwagata Version"
"38507";"Meitantei Conan - Majutsushi No Chsenj!"
"38508";"Meitantei Conan - Nishi No Meitantei Saidai No Kiki !?"
"46269";"Metakomi Theraphy - Nee Kiite!"
"38509";"Mingle Magnet"
"46270";"Mobile Suit Gundam Msvs"
"46271";"Mobilewondergate"
"46272";"Moero!! Pro Yakyuu Rookies"
"46273";"Morita Shougi For Wonderswan"
"65787";"Nazo Ou Pocket"
"99357";"Neon Genesis Evangelion - Shito Ikusei"
"38510";"Nice On"
"65788";"Nihon Pro Mahjong Renmei Kounin - Tetsuman"
"65789";"Nobunaga No Yabou For Wonderswan"
"38512";"Ou-chan No Oekaki Logic"
"38513";"Pocket Fighter"
"65790";"Pro Mahjong Kiwame For Wonderswan"
"38514";"Puyo Puyo 2"
"65791";"Puzzle Bobble"
"38515";"Rainbow Islands - Putty's Party"
"65792";"Ring Infinity"
"65793";"Robot Works"
"65794";"Rockman And Forte - Mirai Kara No Chousensha"
"65796";"Sangokushi 2 For Wonderswan"
"65795";"Sangokushi For Wonderswan"
"65797";"Sd Gundam - Emotional Jam"
"65798";"Sd Gundam G Generation - Gather Beat"
"65799";"Sd Gundam Gashapon Senki - Episode 1"
"65800";"Senkaiden - Tv Animation Senkaiden Houshin Engi Yori"
"65801";"Sennou Millennium"
"38518";"Shanghai Pocket"
"38519";"Shin Nihon Pro Wrestling Toukon Retsuden"
"65802";"Shougi Touryuumon"
"38520";"Side Pocket"
"38521";"Slither Link"
"38522";"Soccer Yarou! ~challenge The World~"
"65803";"Sotsugyou For Wonderswan"
"38523";"Space Invaders"
"65804";"Super Robot Taisen Compact"
"65805";"Super Robot Taisen Compact 2 - Dai-1-bu - Chijou Gekidou Hen"
"65806";"Super Robot Taisen Compact 2 - Dai-2-bu - Uchuu Gekishin Hen"
"65807";"Super Robot Taisen Compact 2 - Dai-3-bu - Ginga Kessen Hen"
"65808";"Taikyoku Igo - Heisei Kiin"
"65809";"Tanjou Debut For Wonderswan"
"38524";"Tarepanda No Gunpey"
"38525";"Tekken Card Challenge"
"368656";"Tenori-on"
"65810";"Terrors"
"65811";"Tetsujin 28 Gou"
"65812";"Time Bokan Series - Bokan Densetsu - Butamo Odaterya Doronbou"
"65813";"Tokyo Majin Gakuen - Fuju Houroku"
"65814";"Trump Collection - Bottom-up Teki Trump Seikatsu"
"65815";"Trump Collection 2 - Bottom-up Teki Sekaiisshuu No Tabi"
"65816";"Turntablist - Dj Battle"
"38526";"Umitsuri Ni Ikou!"
"38527";"Uzumaki - Denshi Kaikihen"
"38528";"Uzumaki - Noroi Simulation"
"65817";"Vaitz Blade"
"38531";"Wasabi Produce - Street Dancer"
"38529";"Wonder Stadium"
"38530";"Wonder Stadium '99"
"159511";"Wonderswan Handy Sonar"
