"Game ID";"Game Name"
"38532";"Alchemist Marie And Elie - Futari No Atelier"
"46274";"Another Heaven - Memory Of Those Days"
"38533";"Arc The Lad - Kijin Fukkatsu"
"38534";"Blue Wing Blitz"
"46275";"Dark Eyes - Battle Gate"
"38535";"Dicing Knight."
"38536";"Digimon Adventure 02 - D1 Tamers"
"38537";"Digimon Anode And Cathode Tamer"
"87632";"Digimon Tamers - Battle Spirit"
"87633";"Digimon Tamers - Battle Spirit Ver. 1.5"
"38539";"Digimon Tamers - Brave Tamer"
"38540";"Digimon Tamers - Digimon Medley"
"38538";"Digimon - Battle Spirit"
"46276";"Digital Monster - D-project"
"46277";"Digital Monster Card Game - Ver. Wonderswan Color"
"38541";"Dokodemo Hamster 3 - O-dekake Safuran"
"46278";"Dragon Ball"
"38543";"Final Fantasy"
"38544";"Final Fantasy 2"
"87635";"Final Fantasy 4"
"87637";"Final Lap Special - Gt And Formula Machine"
"87638";"Flash Koibito-kun"
"87665";"From Tv Animation One Piece - Chopper No Daibouken"
"87666";"From Tv Animation One Piece - Grand Battle Swan Colosseum"
"87667";"From Tv Animation One Piece - Niji No Shima Densetsu"
"87668";"From Tv Animation One Piece - Treasure Wars"
"87669";"From Tv Animation One Piece - Treasure Wars 2 - Buggy Land He Youkoso"
"38546";"Front Mission"
"87639";"Gekitou! Crash Gear Turbo - Gear Champion League"
"87640";"Gensou Maden Saiyuuki Retribution - Hi No Ataru Basho De"
"38547";"Golden Axe"
"87641";"Gransta Chronicle"
"38548";"Guilty Gear Petit"
"38549";"Guilty Gear Petit 2"
"38550";"Gunpey Ex"
"38551";"Hanjuku Eiy - Aa Sekai Yo Hanjuku Nare"
"87643";"Hataraku Chocobo"
"87644";"Hunter X Hunter - Greed Island"
"87645";"Hunter X Hunter - Michibikareshi Mono"
"87646";"Hunter X Hunter - Sorezore No Ketsui"
"87648";"Inuyasha - Fuuun Emaki"
"87649";"Inuyasha - Kagome No Sengoku Nikki"
"87650";"Inuyasha - Kagome No Yume Nikki"
"87651";"Judgement Silversword - Rebirth Edition"
"87658";"Kidou Senshi Gundam - Giren No Yabou - Tokubetsu Hen - Aoki Hoshi No Hasha"
"87659";"Kidou Senshi Gundam Seed"
"87660";"Kidou Senshi Gundam Vol. 1 - Side 7"
"87661";"Kidou Senshi Gundam Vol. 2 - Jaburo"
"87662";"Kidou Senshi Gundam Vol. 3 - A Baoa Qu"
"87652";"Kinnikuman 2sei - Choujin Seisenshi"
"87653";"Kinnikuman 2sei - Dream Tag Match"
"87654";"Kurupara!"
"87655";"Last Alive"
"87636";"Makai Toushi Sa-ga"
"87630";"Meitantei Conan - Yuugure No Koujo"
"87656";"Memories Off - Festa"
"87657";"Mikeneko Holmes - Ghost Panic"
"38554";"Mr. Driller"
"87663";"Namco Super Wars"
"87664";"Naruto - Konoha Ninpouchou"
"87634";"Pocket No Naka No Doraemon"
"87670";"Raku Jongg"
"38555";"Rhyme Rider Kerorican"
"87671";"Riviera - Yakusoku No Chi Riviera"
"87672";"Rockman Exe - N1 Battle"
"87673";"Rockman Exe Ws"
"38557";"Romancing Saga"
"87675";"Run=dim - Return To Earth"
"87676";"Saint Seiya - Ougon Densetsu Hen - Perfect Edition"
"87680";"Sd Gundam - Operation U.c."
"87679";"Sd Gundam Eiyuuden - Kishi Densetsu"
"87681";"Sd Gundam Eiyuuden - Musha Densetsu"
"87677";"Sd Gundam G-generation - Gather Beat 2"
"87678";"Sd Gundam G-generation - Mono-eye Gundams"
"87684";"Senkaiden Ni - Tv Animation Senkaiden Houshin Engi Yori"
"87682";"Shaman King - Asu Heno Ishi"
"87683";"Soroban Gu"
"87686";"Star Hearts - Hoshi To Daichi No Shisha"
"87687";"Star Hearts - Hoshi To Daichi No Shisha - Taikenban"
"87689";"Super Robot Taisen Compact 3"
"87688";"Super Robot Taisen Compact For Wonderswan Color"
"38558";"Terrors 2"
"87690";"Tetris"
"87691";"Tonpusou"
"87685";"Uchuu Senkan Yamato"
"87692";"Ultraman - Hikari No Kuni No Shisha"
"38559";"Wild Card"
"38560";"With You - Mitsumete Itai"
"87694";"Wizardry Scenario 1 - Proving Grounds Of The Mad Overlord"
"38562";"Wonder Classic"
"143388";"Wonder Pong"
"129674";"Wondersnake"
"129677";"Wondersnake 2"
"87695";"X - Card Of Fate"
"87696";"Xi [sai] Little"
