path,ssName,ssRegion,ssId,confidence
5200 Menu (USA) (Proto).zip,,,,
[BIOS] Atari 5200 (USA).zip,,,,
A.E. (USA) (Proto).zip,A.E.,us,38966,
"Activision Decathlon, The (USA).zip","Activision Decathlon, The",us,37915,83
Asteroids (USA) (Proto).zip,Asteroids,us,38967,50
Astro Chase (USA).zip,Astro Chase,us,37917,69
Atari PAM - Pete's Test (USA).zip,,,,
Atari PAM Diagnostics (USA) (v2.3).zip,,,,
Atari PAM System Test (USA) (v1.02).zip,,,,
Ballblazer (USA).zip,Ballblazer,us,37918,67
Barroom Baseball (USA) (Proto).zip,Barroom Baseball,us,38971,64
Battlezone (USA) (Proto).zip,Battlezone,us,38972,53
Beamrider (USA).zip,Beamrider,us,37919,64
BerZerk (USA).zip,Berzerk,us,37921,50
Black Belt (USA) (Proto).zip,Black Belt,us,44441,53
Blaster (USA) (Proto).zip,Blaster,us,44442,
Blue Print (USA).zip,Blueprint,us,37922,55
Boogie (USA) (Demo).zip,,,,
Bounty Bob Strikes Back! (USA).zip,Bounty Bob Strikes Back!,us,37924,83
Buck Rogers - Planet of Zoom (USA).zip,Buck Rogers - Planet Of Zoom,us,37926,82
Carol Shaw's River Raid (USA).zip,River Raid,us,37978,47
Castle Blast (USA) (Unl).zip,Castle Blast,us,37927,60
Castle Crisis (USA) (Unl).zip,Castle Crisis,us,37928,62
Centipede (USA).zip,Centipede,us,37929,64
Choplifter! (USA).zip,Choplifter!,us,37930,69
Congo Bongo (USA).zip,Congo Bongo,us,37932,69
Countermeasure (USA).zip,Countermeasure,us,37933,74
David Crane's Pitfall II - Lost Caverns (USA).zip,Pitfall 2 - Lost Caverns,us,37967,63
Defender (USA).zip,Defender,us,37934,62
Dig Dug (USA).zip,Dig Dug,us,37935,58
"Dreadnaught Factor, The (USA).zip","Dreadnaught Factor, The",us,37936,82
Final Legacy (USA) (Proto).zip,Final Legacy,us,44444,57
Frisky Tom (USA) (Proto).zip,Frisky Tom,us,44445,53
Frogger (USA).zip,Frogger,us,37937,58
Frogger II - Threeedeep! (USA).zip,Frogger 2 - Threeedeep!,us,37938,77
Galaxian (USA).zip,Galaxian,us,37939,62
Gorf (USA).zip,Gorf,us,37940,44
Gremlins (USA).zip,Gremlins,us,37941,62
Gyruss (USA).zip,Gyruss,us,37942,55
H.E.R.O. (USA).zip,H.E.R.O. - Helicopter Emergency Rescue Operation,us,37944,33
James Bond 007 (USA).zip,James Bond 007,us,37945,74
Joust (USA).zip,Joust,us,37946,50
Jr. Pac-Man (USA) (Proto).zip,Jr. Pac-man,us,44446,50
Jungle Hunt (USA).zip,Jungle Hunt,us,37947,69
K-Razy Shoot-Out (USA).zip,K-razy Shoot-out,us,37953,67
Kaboom! (USA).zip,Kaboom!,us,37948,58
Kangaroo (USA).zip,Kangaroo,us,37949,62
Keystone Kapers (USA).zip,Keystone Kapers,us,37950,75
Koffi - Yellow Kopter (USA) (Unl).zip,Koffi - Yellow Kopter,us,37952,72
"Last Starfighter, The (USA) (Proto).zip","Last Starfighter, The (Prototype)",us,44447,81
Looney Tunes Hotel (USA) (Proto).zip,Looney Tunes Hotel,us,44448,67
Mario Bros. (USA).zip,Mario Bros.,us,37954,69
Meebzork (USA) (Proto).zip,Meebzork (Prototype),us,44449,70
MegaMania (USA).zip,Megamania,us,37955,57
Meteorites (USA).zip,Meteorites,us,37956,67
Microgammon SB (USA) (Proto).zip,Microgammon SB,us,44450,61
Millipede (USA) (Proto).zip,Millipede (Prototype),us,44451,71
Miner 2049er Starring Bounty Bob (USA).zip,Miner 2049er,us,37957,44
Miniature Golf (USA) (Proto).zip,Miniature Golf (Prototype),us,44452,76
Missile Command (USA).zip,Missile Command,us,37958,75
Montezuma's Revenge featuring Panama Joe (USA).zip,Montezuma's Revenge,us,37959,55
Moon Patrol (USA).zip,Moon Patrol,us,37960,69
Mountain King (USA).zip,Mountain King,us,37961,72
Mr. Do!'s Castle (USA).zip,Mr. Do!'s Castle,us,37962,76
Ms. Pac-Man (USA).zip,Ms. Pac-man,us,37963,62
Pac-Man (USA).zip,Pac-man,us,37964,50
Pengo (USA).zip,Pengo,us,37965,50
Pitfall! (USA).zip,Pitfall!,us,37966,62
Pole Position (USA).zip,Pole Position,us,37968,72
Popeye (USA).zip,Popeye,us,37969,55
Q-bert (USA).zip,Q-bert,us,37970,55
QIX (USA).zip,Qix,us,37971,25
Quest for Quintana Roo (USA).zip,Quest For Quintana Roo,us,37972,78
RealSports Baseball (USA).zip,Realsports Baseball,us,37973,75
RealSports Basketball (USA).zip,Realsports Basketball,us,44453,77
RealSports Football (USA).zip,Realsports Football,us,37974,75
RealSports Soccer (USA).zip,Realsports Soccer,us,37975,73
RealSports Tennis (USA).zip,Realsports Tennis,us,37976,73
Rescue on Fractalus! (USA).zip,Rescue On Fractalus!,us,37977,76
Road Runner (USA) (Proto).zip,Road Runner (Prototype),us,44454,73
Robotron 2084 (USA).zip,Robotron - 2084,us,37979,68
