path,ssName,ssRegion,ssId,confidence
[BIOS] Atari Jaguar (World).zip,,,,
[BIOS] Atari Jaguar CD (World).zip,,,,
[BIOS] Atari Jaguar Developer CD (World).zip,,,,
[BIOS] Atari Jaguar Stubulator '93 (World).zip,,,,
[BIOS] Atari Jaguar Stubulator '94 (World).zip,,,,
Air Cars (World).zip,Aircars,wor,14175,75
Alien vs Predator (World).zip,Aliens Versus Predator,wor,14145,80
Atari Karts (World).zip,Atari Karts,wor,14160,96
Attack of the Mutant Penguins (World).zip,Attack Of The Mutant Penguins,wor,14162,92
Battle Sphere Gold (World).zip,Battlesphere Gold,wor,46477,89
Brutal Sports Football (World).zip,Brutal Sports Football,wor,14153,98
Bubsy in Fractured Furry Tales (World).zip,Bubsy In - Fractured Furry Tales,wor,14158,92
Cannon Fodder (World).zip,Cannon Fodder,wor,14155,96
Checkered Flag (World).zip,Checkered Flag,wor,14177,97
Club Drive (World).zip,Club Drive,wor,14148,95
Cybermorph (World) (Rev 1).zip,,,,
Cybermorph (World) (Rev 2).zip,Cybermorph,wor,14168,91
Defender 2000 (World).zip,Defender 2000,wor,14201,96
Doom (World).zip,Doom,wor,14140,89
Double Dragon V - The Shadow Falls (World).zip,Double Dragon 5 - The Shadow Falls,wor,14163,96
Dragon - The Bruce Lee Story (World).zip,Dragon - The Bruce Lee Story,wor,14149,98
Evolution - Dino Dudes (World).zip,Evolution - Dino Dudes,wor,14182,98
"Fever Pitch Soccer (World) (En,Fr,De,Es,It).zip",Fever Pitch Soccer,wor,14166,95
Fight for Life (World).zip,Fight For Life,wor,14190,90
Fight for Life (World) (Alt 1).zip,,,,
"Flashback - The Quest for Identity (World) (En,Fr).zip",Flashback - The Quest for Identity,wor,14142,46
Flip Out! (World).zip,Flipout!,wor,14198,78
Hover Strike (World).zip,Hover Strike,wor,14191,96
Hyper Force (World).zip,Hyper Force,wor,14204,96
I-War (World).zip,I-war,wor,14183,73
Iron Soldier 2 (World).zip,Iron Soldier 2,wor,14167,97
Iron Soldier (World) (v1.04).zip,Iron Soldier,wor,14170,93
Kasumi Ninja (World).zip,Kasumi Ninja,wor,14151,96
Missile Command 3D (World).zip,Missile Command 3d,wor,14192,92
NBA Jam - Tournament Edition (World).zip,Nba Jam - Tournament Edition,wor,14152,91
Pinball Fantasies (World).zip,Pinball Fantasies,wor,14178,97
Pitfall - The Mayan Adventure (World).zip,Pitfall - The Mayan Adventure,wor,14154,98
Power Drive Rally (World).zip,Power Drive Rally,wor,14165,97
Protector - Special Edition (World).zip,Protector - Special Edition,wor,46478,98
Raiden (World).zip,Raiden,wor,14172,92
Rayman (World).zip,Rayman,wor,14141,92
Ruiner Pinball (World).zip,Ruiner Pinball,wor,14179,97
Sensible Soccer - International Edition (World).zip,Sensible Soccer - International Edition,wor,14195,99
Skyhammer (World).zip,Skyhammer,wor,14205,95
Soccer Kid (World).zip,Soccer Kid,wor,14174,95
Space War 2000 (World).zip,Space War 2000,wor,46479,97
Super Burnout (World).zip,Super Burnout,wor,14146,96
SuperCross 3D (World).zip,Supercross 3d,wor,14180,81
Syndicate (World).zip,Syndicate,wor,14159,95
Tempest 2000 (World).zip,Tempest 2000,wor,14176,96
Theme Park (World).zip,Theme Park,wor,14139,95
Total Carnage (World).zip,Total Carnage,wor,14194,96
Towers II (World).zip,,wor,14185,
Trevor McFur in the Crescent Galaxy (World).zip,Trevor Mcfur In The Crescent Galaxy,wor,14186,90
Troy Aikman NFL Football (World).zip,Troy Aikman Nfl Football,wor,14187,90
Ultra Vortek (World).zip,Ultra Vortek,wor,14206,96
Ultra Vortek (World) (v0.94) (Beta).zip,,,,
Val d'Isere Skiing and Snowboarding (World).zip,Val D'isere Skiing And Snowboarding,wor,14193,90
White Men Can't Jump (World).zip,White Men Can't Jump,wor,46480,98
Wolfenstein 3D (World).zip,Wolfenstein 3d,wor,14143,90
Worms (World).zip,Worms,wor,14144,91
Zero 5 (World).zip,Zero 5,wor,14207,92
Zool 2 (World).zip,Zool 2,wor,14181,92
Zoop! (World).zip,Zoop,wor,14189,80
