path,ssName,ssRegion,ssId,confidence
"[BIOS] Atari Lynx (USA, Europe).zip",,,,
"A.P.B. (USA, Europe).zip",A.P.B.,"us,eu",14215,
Alien vs Predator (USA) (Proto) (1993-12-17).zip,Alien vs Predator,us,58770,52
"Awesome Golf (USA, Europe).zip",Awesome Golf,"us,eu",14243,57
"Baseball Heroes (USA, Europe).zip",Baseball Heroes,"us,eu",14254,62
"Basketbrawl (USA, Europe).zip",Basketbrawl,"us,eu",14253,55
"Batman Returns (USA, Europe).zip",Batman Returns,"us,eu",14212,61
"Battle Wheels (USA, Europe).zip",BattleWheel,"us,eu",14268,52
"Battlezone 2000 (USA, Europe).zip",Battlezone 2000,"us,eu",14255,62
"Bill & Ted's Excellent Adventure (USA, Europe).zip",Bill And Ted's Excellent Adventure,"us,eu",14248,74
"Block Out (USA, Europe).zip",Block Out,"us,eu",14232,50
"Blue Lightning (USA, Europe).zip",Blue Lightning,"us,eu",14213,61
"Bubble Trouble (USA, Europe).zip",Bubble Trouble,"us,eu",14233,61
"California Games (USA, Europe).zip",California Games,"us,eu",14218,64
Centipede (USA) (Proto).zip,Centipede,us,58771,50
"Checkered Flag (USA, Europe).zip",Checkered Flag,"us,eu",14238,61
"Chip's Challenge (USA, Europe).zip",Chip's Challenge,"us,eu",14222,64
"Crystal Mines II (USA, Europe).zip",Crystal Mines II,"us,eu",14267,64
Daemonsgate (USA) (Proto).zip,Daemonsgate,us,58773,55
"Desert Strike - Return to the Gulf (USA, Europe).zip",Desert Strike,"us,eu",14211,40
"Dinolympics (USA, Europe).zip",Dinolympics,"us,eu",14270,55
"Dirty Larry - Renegade Cop (USA, Europe).zip",Dirty Larry - Renegade Cop,"us,eu",14234,74
"Double Dragon (USA, Europe).zip",Double Dragon,"us,eu",14210,59
"Dracula the Undead (USA, Europe).zip",Dracula The Undead,"us,eu",14244,63
"Electrocop (USA, Europe).zip",Electrocop,"us,eu",14269,53
"European Soccer Challenge (USA, Europe).zip",European Soccer Challenge,"us,eu",14272,74
Eye of the Beholder (USA) (Proto).zip,Eye Of The Beholder,us,58774,61
"Fat Bobby (USA, Europe).zip",Fat Bobby,"us,eu",14273,50
"Fidelity Ultimate Chess Challenge, The (USA, Europe).zip",Fidelity Ultimate Chess Challenge,"us,eu",14256,74
"Gates of Zendocon (USA, Europe).zip",Gates Of Zendocon,"us,eu",14257,62
"Gauntlet - The Third Encounter (USA, Europe).zip",Gauntlet - The Third Encounter,"us,eu",14227,77
"Gordo 106 (USA, Europe).zip",Gordo 106,"us,eu",14274,50
"Hard Drivin' (USA, Europe).zip",Hard Drivin',"us,eu",14275,57
"Hockey (USA, Europe).zip",Hockey,"us,eu",14258,40
"Hydra (USA, Europe).zip",Hydra,"us,eu",14276,36
"Ishido - The Way of Stones (USA, Europe).zip",Ishido - The Way Of Stones,"us,eu",14245,71
"Jimmy Connors' Tennis (USA, Europe).zip",Jimmy Connors' Tennis,"us,eu",58775,70
"Joust (USA, Europe).zip",Joust,"us,eu",14240,36
"Klax (USA, Europe).zip",Klax,"us,eu",14249,
"Krazy Ace - Miniature Golf (USA, Europe).zip",Krazy Ace Miniature Golf,"us,eu",14230,71
"Kung Food (USA, Europe).zip",Kung Food,"us,eu",14250,50
"Lemmings (USA, Europe).zip",Lemmings,"us,eu",14208,47
Lexis (USA).zip,Lexis,us,58776,50
Loopz (USA) (Proto).zip,Loopz,us,58777,36
"Lynx Casino (USA, Europe).zip",Lynx Casino,"us,eu",14251,55
Lynx II Production Test Program (USA).zip,,,,
"Malibu Bikini Volleyball (USA, Europe).zip",Malibu Bikini Volleyball,"us,eu",14229,73
Marlboro Go! (Europe) (Proto).zip,Marlboro Go!,eu,58779,53
"Ms. Pac-Man (USA, Europe).zip",Ms. Pac-man,"us,eu",14223,50
"NFL Football (USA, Europe).zip",Nfl Football,"us,eu",14246,48
"Ninja Gaiden (USA, Europe).zip",Ninja Gaiden,"us,eu",14224,57
"Ninja Gaiden III - The Ancient Ship of Doom (USA, Europe).zip",Ninja Gaiden 3 - The Ancient Ship Of Doom,"us,eu",14221,76
"Pac-Land (USA, Europe).zip",Pac-land,"us,eu",14220,41
"Paperboy (USA, Europe).zip",Paperboy,"us,eu",14214,47
"Pinball Jam (USA, Europe).zip",Pinball Jam,"us,eu",14277,55
"Pit-Fighter (USA, Europe).zip",Pit-fighter,"us,eu",14219,50
"Power Factor (USA, Europe).zip",Power Factor,"us,eu",14252,57
"QIX (USA, Europe).zip",Qix,"us,eu",14260,
Raiden (USA).zip,Raiden,us,14231,55
"Rampage (USA, Europe).zip",Rampage,"us,eu",14235,44
"Rampart (USA, Europe).zip",Rampart,"us,eu",14266,44
Road Riot 4WD (USA) (Proto 3).zip,Road Riot 4wd,us,58780,48
"RoadBlasters (USA, Europe).zip",Roadblasters,"us,eu",14259,52
"Robo-Squash (USA, Europe).zip",Robo-squash,"us,eu",14278,50
"Robotron 2084 (USA, Europe).zip",Robotron - 2084,"us,eu",14247,57
"Rygar (USA, Europe).zip",Rygar,"us,eu",14225,36
"S.T.U.N. Runner (USA, Europe).zip",S.t.u.n. Runner,"us,eu",14236,50
"Scrapyard Dog (USA, Europe).zip",Scrapyard Dog,"us,eu",14228,59
"Shadow of the Beast (USA, Europe).zip",Shadow Of The Beast,"us,eu",14226,61
"Shanghai (USA, Europe).zip",Shanghai,"us,eu",14261,47
"Steel Talons (USA, Europe).zip",Steel Talons,"us,eu",14262,57
"Super Asteroids, Missile Command (USA, Europe).zip",Super Asteroids And Missile Command,"us,eu",14279,73
"Super Off-Road (USA, Europe).zip",Super Off Road,"us,eu",14217,57
"Super Skweek (USA, Europe).zip",Super Skweek,"us,eu",14280,57
"Switchblade II (USA, Europe).zip",Switchblade 2,"us,eu",14281,53
"Todd's Adventures in Slime World (USA, Europe).zip",Todd's Adventures In Slime World,"us,eu",14241,76
"Toki (USA, Europe).zip",Toki,"us,eu",14209,
"Tournament Cyberball (USA, Europe).zip",Tournament Cyberball 2072,"us,eu",14282,67
"Turbo Sub (USA, Europe).zip",Turbo Sub,"us,eu",14263,50
"Viking Child (USA, Europe).zip",Viking Child,"us,eu",14237,57
"Warbirds (USA, Europe).zip",Warbirds,"us,eu",14264,47
"World Class Soccer (USA, Europe).zip",World Class Fussball/Soccer,"us,eu",14265,57
"Xenophobe (USA, Europe).zip",Xenophobe,"us,eu",14216,50
"Xybots (USA, Europe).zip",Xybots,"us,eu",14283,40
"Zarlor Mercenary (USA, Europe).zip",Zarlor Mercenary,"us,eu",14242,64
