path,ssName,ssRegion,ssId,confidence
"64 Doctor (USA, Europe) (Program).zip",,,,
"64MON (USA, Europe) (v1.03) (Program).zip",,,,
"128er Quickload (USA, Europe) (Program).zip",,,,
256K-EPROM-System (Germany) (v5) (Program).zip,,,,
[BIOS] Commodore 64 (Sweden) (R2).zip,,,,
[BIOS] Commodore 64 (Sweden) (R3).zip,,,,
"[BIOS] Commodore 64 (USA, Europe) (R1).zip",,,,
"[BIOS] Commodore 64 (USA, Europe) (R2).zip",,,,
"[BIOS] Commodore 64 (USA, Europe) (R3).zip",,,,
"[BIOS] Commodore 64C (USA, Europe).zip",,,,
[BIOS] Commodore 64GS (Europe).zip,,,,
"[BIOS] Commodore 1541 (Japan, USA).zip",,,,
[BIOS] Commodore 1541 (World).zip,,,,
[BIOS] Commodore 1541 (World) (R1).zip,,,,
[BIOS] Commodore 1541 (World) (R2).zip,,,,
[BIOS] Commodore 1541-II (World).zip,,,,
[BIOS] Commodore 1541C (World).zip,,,,
[BIOS] Commodore 1541C (World) (R1).zip,,,,
[BIOS] Commodore 1570 (World).zip,,,,
[BIOS] Commodore 1571 (World).zip,,,,
[BIOS] Commodore 1571 (World) (R1).zip,,,,
[BIOS] Commodore 1571CR (World).zip,,,,
[BIOS] Commodore 1581 (World).zip,,,,
[BIOS] Commodore 1581 (World) (R1).zip,,,,
"[BIOS] Commodore Educator 64 - CBM 4064 - PET 64 (USA, Europe).zip",,,,
"[BIOS] Commodore SX-64 (USA, Europe).zip",,,,
[BIOS] Commodore VIP 64 (Sweden).zip,,,,
Action Cartridge Plus (Germany) (v6.0) (Program).zip,,,,
Action Replay Professional (Europe) (v3) (Program) (Unl).zip,Action Replay Worm,eu,133192,44
Action Replay Professional (Europe) (v4.2) (Program) (Unl).zip,Action Replay Worm,eu,133192,43
Action Replay Professional (Europe) (v6.0) (Program) (Unl).zip,Action Replay Worm,eu,133192,43
Action Replay Professional (USA) (v5.0) (Program) (Unl).zip,Action Replay Worm,us,133192,44
"Activision Decathlon, The (USA, Europe).zip",Decathlon,"us,eu",36493,
"Adventure 1 - The Mutant Spiders (USA, Europe).zip",The Adventure 1 - Mutant Spiders,"us,eu",115411,
"Adventure 3 - The Fourth Sarcophagus (USA, Europe).zip",The Adventure 3 - Fourth Sarcophagus,"us,eu",112194,
"Adventure Creator (USA, Europe).zip",Adventure Creator,"us,eu",109524,65
"Aegean Voyage (USA, Europe).zip",Aegean Voyage,"us,eu",109493,59
"After the War (USA, Europe).zip",After The War,"us,eu",36034,55
"Alf in the Color Caves (USA, Europe).zip",Alf In The Color Caves,"us,eu",109536,65
"Alien Sidestep (USA, Europe).zip",Alien Sidestep,"us,eu",109573,61
"Alpha Build (USA, Europe).zip",Alpha Build,"us,eu",110469,55
"Alphabet Zoo (USA, Europe).zip",Alphabet Zoo,"us,eu",110471,57
"Arnie Armchair's Howzat Cricket Game (USA, Europe).zip",Arnie Armchair's Howzat Cricket Game,"us,eu",109684,80
"Astroblitz (USA, Europe).zip",Astroblitz,"us,eu",109715,53
Attack of the Mutant Camels (USA).zip,Attack of the Mutant Camels (HesWare),us,112701,81
Avenger (Japan) (v02) (MAX).zip,Avenger (Gremlin),jp,36275,46
"Avenger (USA, Europe) (v03) (MAX).zip",Avenger (Gremlin),"us,eu",36275,44
"BadLands (USA, Europe).zip",BadLands,"us,eu",36821,
Batman - The Movie (Europe).zip,Batman - The Movie,eu,35935,73
Battle Command (Europe).zip,Battle Command,eu,115998,68
"Battlezone (USA, Europe).zip",Battlezone,"us,eu",35901,53
"BC's Quest for Tires (USA, Europe).zip",Bc's Quest For Tires,"us,eu",109905,62
"Beamrider (USA, Europe).zip",Beamrider,"us,eu",109912,
"Big Bird's Funhouse (USA, Europe).zip",Big Bird's Funhouse,"us,eu",110543,68
"Big Bird's Special Delivery (USA, Europe).zip",Big Bird's Special Delivery,"us,eu",110544,75
"Black Box (USA, Europe) (v2.0) (Program).zip",,,,
"Blueprint (USA, Europe).zip",Blue Print,"us,eu",110016,
Bowling (Japan) (MAX).zip,,,,
"Bridge 64 (USA, Europe).zip",Bridge 64,"us,eu",110383,
"Bubble Burst (USA, Europe).zip",Bubble Burst,"us,eu",110396,57
"Buck Rogers - Planet of Zoom (USA, Europe).zip",Buck Rogers - Planet Of Zoom,"us,eu",110401,73
"Bug Crusher (USA, Europe).zip",Bug Crusher,"us,eu",110409,
"C64-FORTH (USA, Europe) (Program).zip",,,,
"C-64 Diagnostic (USA, Europe) (Rev 586220) (Program).zip",,,,
"C-64 Import Test Diag (USA, Europe) (Program).zip",,,,
"Calc Result - The Spread Sheet - Advanced (USA, Europe) (Program).zip",,,,
"Calc Result - The Spread Sheet - Easy (USA, Europe) (Alt 1) (Program).zip",,,,
"Calc Result - The Spread Sheet - Easy (USA, Europe) (Program).zip",,,,
"Capture 2 (USA, Europe) (Program).zip",,,,
"Castle Hassle (USA, Europe).zip",Castle Hassle,"us,eu",110999,59
"Centipede (USA, Europe).zip",Centipede,"us,eu",36162,50
Chase H.Q. II - Special Criminal Investigation (Europe).zip,,,,
"Checkers (USA, Europe).zip",Checkers (Compute!),"us,eu",419535,62
"Choplifter! (USA, Europe).zip",Choplifter!,"us,eu",111109,55
"Close Encounters of the Worst Kind (USA, Europe).zip",Close Encounters Of The Worst Kind,"us,eu",111125,74
Clowns (Japan) (v01) (MAX).zip,,,,
Clowns (Japan) (v02) (MAX).zip,Crown (Data Becker),jp,111364,41
Coccinelle cherche dessinateur (France).zip,Coccinelle Cherche Dessinateur,fr,111148,77
"Coco-Notes featuring... the Jazz Scats! (USA, Europe).zip",Coco-Notes,"us,eu",111152,
"Colossus Chess + Silicon Syborgs + International Football (USA, Europe) (Super Games).zip",,,,
"COMAL 80 (USA, Europe) (Program).zip",,,,
"Commodore 64 Diagnostic (USA, Europe) (Program).zip",,,,
"Congo Bongo (USA, Europe).zip",Congo Bongo (1985),"us,eu",212223,60
Conrad Disk Booster (Germany) (Program).zip,,,,
"Cosmic Life (USA, Europe).zip",Cosmic Life,"us,eu",111269,55
"Crisis Mountain (USA, Europe).zip",Crisis Mountain,"us,eu",111348,62
"Crystal Castles (USA, Europe) (Proto).zip",Crystal Castles (Thundervision),"us,eu",116374,61
"Cyberball (USA, Europe).zip",Cyberball,"us,eu",112423,
"Dance Fantasy (USA, Europe).zip",Dance Fantasy,"us,eu",111446,59
"Dancing Feats (USA, Europe).zip",Dancing Feats,"us,eu",111441,59
"Defender (USA, Europe).zip",Defender,"us,eu",36522,
"Dela S-4-Modul (USA, Europe) (Program).zip",,,,
"Delta Drawing (USA, Europe) (Program).zip",Delta Drawing,"us,eu",111537,48
"Designer's Pencil, The (USA, Europe) (Program).zip",,,,
"Diamond Mine (USA, Europe).zip",Diamond Miner,"us,eu",177757,60
