path,ssName,ssRegion,ssId,confidence
[BIOS] Fairchild Channel F (USA) (SL31253).zip,,,,
[BIOS] Fairchild Channel F (USA) (SL31254).zip,,,,
[BIOS] Fairchild Channel F (USA) (SL90025).zip,,,,
Alien Invasion (USA).zip,Videocart-26 - Alien Invasion,us,46519,53
"Backgammon, Acey-Deucey (USA).zip","Videocart-11 - Backgammon, Acey-deucey",us,46503,62
Baseball (USA).zip,Videocart-12 - Baseball,us,46504,39
Bowling (USA).zip,Videocart-21 - Bowling,us,46514,36
Casino Poker (USA).zip,Videocart-25 - Casino Poker,us,46518,49
Checkers (USA).zip,Videocart-19 - Checkers,us,46511,39
Demonstration Cartridge 2 (USA).zip,Demonstration Cartridge 2,us,46532,83
Demonstration Cartridge (USA).zip,Demonstration Cartridge,us,46531,
"Desert Fox, Shooting Gallery (USA).zip","Videocart-2 - Desert Fox, Shooting Gallery",us,46520,70
Dodge It (USA).zip,,,,
Drag Race (USA).zip,,,,
"Galactic Space Wars, Lunar Lander (USA).zip",Videocart-23 - Galactic Space Wars,us,46516,49
Hangman (USA).zip,Videocart-18 - Hangman,us,46510,36
Magic Numbers - Mind Reader + Nim (USA).zip,Videocart-8 - Magic Numbers,us,46526,37
Math Quiz I - Addition + Subtraction (USA).zip,"Videocart-6 - Math Quiz I - Addition, Subtraction",us,46524,72
Math Quiz II - Multiplication + Division (USA).zip,"Videocart-7 - Math Quiz 2 - Multiplication, Division",us,46525,71
"Maze, Jailbreak, Blind-man's-bluff, Trailblazer (USA).zip","Videocart-10 - Maze, Jailbreak",us,46502,34
"Maze, Jailbreak, Blind-man's-bluff, Trailblazer (USA) (Alt 1).zip",,,,
Memory Match 1 & 2 (USA).zip,Videocart-15 - Memory Match,us,46507,44
"Muehle, Tontauben-Schiessen, Kreatives Malspiel, Videoscope (Germany).zip",,,,
Ordtaevling (Sweden).zip,,,,
Pinball Challenge (USA).zip,Videocart-17 - Pinball Challenge,us,46509,58
Pinball Challenge (USA) (Alt 1).zip,,,,
Pro Football (USA).zip,Videocart-24 - Pro Football,us,46517,49
Rat' Mal (Germany).zip,,,,
"Robot War, Torpedo Alley (USA).zip","Videocart-13 - Robot War, Torpedo Alley",us,46505,66
Schach (Germany).zip,Schach,de,46536,46
Slot Machine (USA).zip,Videocart-22 - Slot Machine,us,46515,49
Sonar Search (USA).zip,Videocart-14 - Sonar Search,us,46506,49
Space War (USA).zip,Videocart-5 - Space War,us,46523,43
Spitfire (USA).zip,Videocart-4 - Spitfire,us,46522,40
"Tic-Tac-Toe, Shooting Gallery, Doodle, Quadra-Doodle (USA).zip","Videocart-1 - Tic-tac-toe, Shooting Gallery, Doodle, Quadra-doodle",us,46512,77
Video Blackjack (USA).zip,Videocart-3 - Video Blackjack,us,46521,56
Video Whizball (USA).zip,Videocart-20 - Video Whizball,us,46513,53
