path,ssName,ssRegion,ssId,confidence
5 in One FunPak (USA).zip,5 In One Fun Pak,us,46279,88
[BIOS] Sega Game Gear (USA) (Majesco).zip,,us,,
Aa Harimanada (Japan).zip,Aa Harimanada,jp,59546,96
"Addams Family, The (World).zip","Addams Family, The",wor,12951,97
"Adventures of Batman & Robin, The (USA, Europe).zip","Adventures Of Batman And Robin, The","us,eu",12897,90
Aerial Assault (Japan) (Rev 1).zip,Aerial Assault,jp,12983,93
Aerial Assault (World).zip,Aerial Assault,wor,12983,97
Aladdin (Japan).zip,Disney's Aladdin,jp,12860,
"Aladdin (USA, Europe, Brazil).zip",Disney's Aladdin,,12860,
Alien 3 (Japan).zip,Alien 3,jp,12885,93
"Alien 3 (USA, Europe).zip",Alien 3,"us,eu",12885,93
Alien Syndrome (Europe).zip,Alien Syndrome,eu,12932,97
Alien Syndrome (Japan).zip,Alien Syndrome,jp,12932,97
Andre Agassi Tennis (USA).zip,Andre Agassi Tennis,us,12887,97
Andre Agassi Tennis (USA) (Beta).zip,Andre Agassi Tennis,us,12887,95
Arcade Classics (USA).zip,Arcade Classics,us,65246,97
Arch Rivals - The Arcade Game (USA).zip,Arch Rivals,us,13015,
"Arena - Maze of Death ~ Arena (USA, Europe).zip",Arena - Maze of Death,"us,eu",46283,
"Ariel the Little Mermaid (USA, Europe, Brazil).zip",Disney's Ariel The Little Mermaid,,12943,79
Arliel - Crystal Densetsu (Japan).zip,Arliel - Crystal Densetsu,jp,12968,
"Asterix and the Great Rescue (Europe) (En,Fr,De,Es,It).zip",Astérix And The Great Rescue,eu,12890,86
Asterix and the Great Rescue (USA).zip,Astérix And The Great Rescue,us,12890,88
"Asterix and the Secret Mission (Europe) (En,Fr,De).zip",Astérix And The Secret Mission,eu,12936,87
"Ax Battler - A Legend of Golden Axe (USA, Europe, Brazil) (Beta) (1991-08-10).zip",Ax Battler - A Legend of Golden Axe,,12894,
"Ax Battler - A Legend of Golden Axe ~ Golden Axe (USA, Europe, Brazil).zip",Ax Battler - A Legend of Golden Axe,,12894,
Ax Battler - Golden Axe Densetsu (Japan).zip,Ax Battler - Golden Axe Densetsu,jp,12894,98
Ayrton Senna's Super Monaco GP II (Japan).zip,Ayrton Senna's Super Monaco Gp 2,jp,12900,91
"Ayrton Senna's Super Monaco GP II (USA, Europe, Brazil).zip",Ayrton Senna's Super Monaco Gp 2,,12900,91
"Ayrton Senna's Super Monaco GP II (USA, Europe, Brazil) (Beta).zip",Ayrton Senna's Super Monaco Gp 2,,12900,90
Baku Baku Animal (Europe).zip,Baku Baku Animal,eu,12972,
Baku Baku Animal (USA).zip,Baku Baku Animal,us,12972,
