path,ssName,ssRegion,ssId,confidence
3 Choume no Tama - Tama and Friends - 3 Choume Obake Panic!! (Japan).zip,3 Choume No Tama - Tama And Friends - 3 Choume Obake Panic!!,jp,46492,88
3-pun Yosou - Umaban Club (Japan).zip,3-pun Yosou - Umaban Club,jp,46493,81
"4 in 1 (Europe) (4B-001, Sachen-Commin) (Unl).zip",,eu,,
"4 in 1 (Europe) (4B-002, Sachen) (Unl).zip",,eu,,
"4 in 1 (Europe) (4B-004, Sachen-Commin) (Unl).zip",,eu,,
"4 in 1 (Europe) (4B-005, Sachen-Commin) (Unl).zip",,eu,,
"4 in 1 (Europe) (4B-006, Sachen) (Unl).zip",,eu,,
"4 in 1 (Europe) (4B-007, Sachen) (Unl).zip",,eu,,
"4 in 1 (Europe) (4B-008, Sachen) (Unl).zip",,eu,,
"4 in 1 (Europe) (4B-009, Sachen) (Unl).zip",,eu,,
"4 in 1 (Taiwan) (En,Zh) (4B-003, Sachen-Commin) (Unl).zip",,asi,,
"4-in-1 Fun Pak (USA, Europe).zip",4-in-1 Fun Pak,"us,eu",46495,61
"4-in-1 Funpak - Volume II (USA, Europe).zip",4-in-1 Funpak Volume 2,"us,eu",59620,65
[BIOS] Nintendo Game Boy Boot ROM (World) (Rev 1).zip,,wor,,
[BIOS] Nintendo Game Boy Pocket Boot ROM (World).zip,,wor,,
A-mazing Tater (USA).zip,Amazing Tater,us,3494,70
Aa Harimanada (Japan).zip,Aa Harimanada,jp,59623,68
"Addams Family, The (USA).zip","Addams Family, The",us,3187,78
"Addams Family, The - Pugsley's Scavenger Hunt (USA, Europe).zip","Addams Family - Pugsley's Scavenger Hunt, The","us,eu",3278,80
"Adventure Island (USA, Europe).zip",Adventure Island,"us,eu",3125,
"Adventure Island II - Aliens in Paradise (USA, Europe).zip",Adventure Island 2,"us,eu",3254,
Adventures of Lolo (Europe) (SGB Enhanced).zip,Adventures Of Lolo,eu,3304,53
"Adventures of Rocky and Bullwinkle and Friends, The (USA).zip","Adventures Of Rocky And Bullwinkle And Friends, The",us,3636,86
"Adventures of Star Saver, The (USA, Europe).zip","Adventures Of Star Saver, The","us,eu",59624,74
"Aerostar (USA, Europe).zip",Aerostar,"us,eu",59625,47
After Burst (Japan).zip,After Burst,jp,3597,65
Akazukin Chacha (Japan) (SGB Enhanced).zip,Akazukin Chacha,jp,88768,53
Aladdin (USA) (SGB Enhanced).zip,Aladdin,us,3025,
Alfred Chicken (USA).zip,Alfred Chicken,us,59723,74
"Alien 3 (USA, Europe).zip",Alien 3,"us,eu",59724,44
Alien Olympics (Europe).zip,Alien Olympics,eu,59725,68
Alien vs Predator - The Last of His Clan (USA).zip,Aliens Versus Predator - The Last of His Clan,us,3165,82
All-Star Baseball 99 (USA).zip,All-star Baseball 99,us,59626,76
Alleyway (World).zip,Alleyway,wor,3200,57
Altered Space - A 3-D Alien Adventure (USA).zip,Altered Space - A 3-d Alien Adventure,us,59726,86
"Amazing Penguin (USA, Europe).zip",Amazing Penguin,"us,eu",3425,62
"Amazing Spider-Man, The (USA, Europe).zip","Amazing Spider-man, The","us,eu",3147,69
America Oudan Ultra Quiz (Japan).zip,America Oudan Ultra Quiz,jp,59727,80
America Oudan Ultra Quiz Part 2 (Japan) (Rev 1).zip,America Oudan Ultra Quiz Part 2,jp,59728,76
America Oudan Ultra Quiz Part 3 - Champion Taikai (Japan).zip,America Oudan Ultra Quiz Part 3 - Champion Taikai,jp,59729,89
America Oudan Ultra Quiz Part 4 (Japan).zip,America Oudan Ultra Quiz Part 4,jp,59730,84
Amida (Japan).zip,Amida,jp,3507,45
Animal Breeder 2 (Japan) (SGB Enhanced).zip,Animal Breeder 2,jp,59732,54
Animal Breeder (Japan) (SGB Enhanced).zip,Animal Breeder,jp,59731,
Animaniacs (USA) (SGB Enhanced).zip,Animaniacs,us,59733,44
Another Bible (Japan) (SGB Enhanced).zip,Another Bible,jp,3506,49
Aoki Densetsu Shoot! (Japan) (SGB Enhanced).zip,Aoki Densetsu Shoot!,jp,59735,60
"Arcade Classic No. 1 - Asteroids & Missile Command (USA, Europe) (SGB Enhanced).zip",Arcade Classic No. 1 - Asteroids And Missile Command,"us,eu",59736,73
"Arcade Classic No. 2 - Centipede & Millipede (USA, Europe) (SGB Enhanced).zip",Arcade Classic No. 2 - Centipede And Millipede,"us,eu",59737,70
Arcade Classic No. 3 - Galaga & Galaxian (USA) (SGB Enhanced).zip,Arcade Classic No. 3 - Galaga And Galaxian,us,59738,73
"Arcade Classic No. 4 - Defender & Joust (USA, Europe) (SGB Enhanced).zip",Arcade Classic No. 4 - Defender And Joust,"us,eu",59739,67
"Arcade Classics - Super Breakout & Battlezone (USA, Europe) (SGB Enhanced).zip",Arcade Classics - Battlezone And Super Breakout,"us,eu",59740,59
Aretha (Japan).zip,Aretha,jp,59741,
Aretha II (Japan).zip,Aretha 2,jp,59742,48
Aretha III (Japan).zip,Aretha 3,jp,59743,
Asmik-kun World 2 (Japan).zip,Asmik-kun World 2,jp,59744,74
"Asterix & Obelix (Spain) (En,Es) (SGB Enhanced).zip",Astérix And Obélix,eu,3009,38
"Asterix (Europe) (En,Fr,De,Es,It).zip",Asterix,eu,3054,
"Asteroids (USA, Europe).zip",Asteroids,"us,eu",3259,50
Astro Rabby (Japan).zip,Astro Rabby,jp,59745,65
Atomic Punk (USA).zip,Atomic Punk,us,3393,
"Attack of the Killer Tomatoes (USA, Europe).zip",Attack Of The Killer Tomatoes,"us,eu",59746,71
"Avenging Spirit (USA, Europe).zip",Avenging Spirit,"us,eu",3359,62
Ayakashi no Shiro (Japan).zip,Ayakashi No Shiro,jp,59747,70
Bakenou TV '94 (Japan) (SGB Enhanced).zip,Bakenou Tv '94,jp,65200,47
Bakenou V3 (Japan).zip,Bakenou V3,jp,65201,62
Bakuchou Retrieve Master (Japan) (SGB Enhanced).zip,Bakuchou Retrieve Master,jp,65202,64
Bakuchou Retsuden Shou - Hyper Fishing (Japan) (SGB Enhanced).zip,Bakuchou Retsuden Shou - Hyper Fishing,jp,65203,74
"Balloon Kid (USA, Europe).zip",Balloon Kid,"us,eu",3321,55
Banishing Racer (Japan).zip,Banishing Racer,jp,65204,71
"Barbie - Game Girl (USA, Europe).zip",Barbie - Game Girl,"us,eu",3523,67
"Bart Simpson's Escape from Camp Deadly (USA, Europe).zip",Bart Simpson's Escape From Camp Deadly,"us,eu",3170,79
Baseball (World).zip,Baseball,wor,3527,57
Bases Loaded for Game Boy (USA).zip,Bases Loaded,us,65205,51
Bass Fishing Tatsujin Techou (Japan).zip,Bass Fishing Tatsujin Techou,jp,65206,82
"Batman - Return of the Joker (USA, Europe).zip",Batman - Return Of The Joker,"us,eu",3176,70
"Batman - The Animated Series (USA, Europe).zip",Batman - The Animated Series,"us,eu",3218,76
Batman - The Video Game (World).zip,Batman - The Video Game,wor,3035,79
"Batman Forever (USA, Europe).zip",Batman Forever,"us,eu",3093,61
Battle Arena Toshinden (USA) (SGB Enhanced).zip,Battle Arena Toshinden,us,3221,64
Battle Bull (USA).zip,Battle Bull,us,3678,69
Battle Crusher (Japan) (SGB Enhanced).zip,Battle Crusher,jp,65208,51
Battle Dodge Ball (Japan).zip,Battle Dodge Ball,jp,65209,74
Battle of Kingdom (Japan).zip,Battle Of Kingdom,jp,65210,70
"Battle of Olympus, The (Europe) (En,Fr,De,Es,It).zip","Battle Of Olympus, The",eu,3169,57
Battle Pingpong (Japan).zip,Battle Ping Pong,jp,3460,65
Battle Space (Japan).zip,Battle Space,jp,65211,67
"Battle Unit Zeoth (USA, Europe).zip",Battle Unit Zeoth,"us,eu",65212,65
BattleCity (Japan).zip,Battle City,jp,3567,61
"Battleship (USA, Europe).zip",Battleship,"us,eu",3465,53
"Battletoads (USA, Europe).zip",Battletoads,"us,eu",2956,
Battletoads in Ragnarok's World (USA).zip,Battletoads In Ragnarok's World,us,3078,83
Battletoads-Double Dragon (USA).zip,Battletoads Double Dragon,us,2957,80
"Beavis and Butt-Head (USA, Europe).zip",Beavis And Butt-head,"us,eu",3398,62
Beethoven (Europe) (SGB Enhanced).zip,Beethoven,eu,65214,
Beetlejuice (USA).zip,Beetlejuice,us,3490,69
Best of the Best - Championship Karate (USA).zip,Best Of The Best - Championship Karate,us,3378,84
Bikkuri Nekketsu Shin Kiroku! - Dokodemo Kin Medal (Japan).zip,Bikkuri Nekketsu Shin Kiroku! - Dokodemo Kin Medal,jp,65215,89
"Bill & Ted's Excellent Game Boy Adventure - A Bogus Journey! (USA, Europe).zip",Bill And Ted's Excellent Adventure,"us,eu",3568,55
Bill Elliott's NASCAR Fast Tracks (USA).zip,Bill Elliott's Nascar Fast Tracks,us,65216,74
Bionic Battler (USA).zip,Bionic Battler,us,65217,74
Bionic Commando (USA).zip,Bionic Commando,us,3120,75
Bishoujo Senshi Sailor Moon (Japan).zip,Bishoujo Senshi Sailor Moon,jp,65218,82
Bishoujo Senshi Sailor Moon R (Japan).zip,Bishoujo Senshi Sailor Moon R,jp,65219,83
Black Bass - Lure Fishing (USA).zip,"Black Bass - Lure Fishing, The",us,3702,80
Blades of Steel (USA).zip,Blades Of Steel,us,3446,70
Blaster Master Boy (USA).zip,Blast Master Boy,us,3569,73
Block Kuzushi GB (Japan) (SGB Enhanced).zip,Block Kuzushi Gb,jp,65220,51
Blodia (Japan).zip,Blodia,jp,3623,50
"Blues Brothers, The (USA, Europe).zip","Blues Brothers, The","us,eu",3328,68
"Blues Brothers, The - Jukebox Adventure (Europe).zip","Blues Brothers - Jukebox Adventure, The",eu,3521,79
Bo Jackson - Two Games in One (USA).zip,Bo Jackson - Two Games In One,us,65221,82
Boggle Plus (USA).zip,Boggle Plus,us,65222,69
Bomb Jack (Europe).zip,Bomb Jack,eu,3561,58
Bomber Man Collection (Japan) (SGB Enhanced).zip,Bomber Man Collection,jp,65223,61
Bomber Man GB 3 (Japan) (SGB Enhanced).zip,Bomber Man Gb 3,jp,65225,49
