path,ssName,ssRegion,ssId,confidence
"2 Disney Games - Disney Sports - Football + Disney Sports - Skateboarding (Europe) (En,Fr,De,Es,It).zip",2 Disney Games - Disney Sports - Football + Disney Sports - Skateboarding,eu,83011,83
"2 Disney Games - Lilo & Stitch 2 + Peter Pan - Return to Neverland (Europe) (En,Fr,De,Es+En,Fr,De,Es,It,Nl).zip",2 Disney Games - Lilo And Stitch 2 + Peter Pan - Return To Neverland,eu,83012,72
"2 Game Pack! - Hot Wheels - Stunt Track Challenge + Hot Wheels - World Race (USA, Europe).zip",2 Game Pack! - Hot Wheels - Stunt Track Challenge + Hot Wheels - World Race,"us,eu",83013,89
"2 Game Pack! - Matchbox Missions - Emergency Response + Air, Land and Sea Rescue (USA).zip","2 Game Pack! - Matchbox Missions - Emergency Response And Air, Land And Sea Rescue",us,83014,91
2 Game Pack! - Uno + Skip-Bo (USA).zip,2 Game Pack! - Uno + Skip-bo,us,83017,82
"2 Games in 1 - Bionicle + Knights' Kingdom (Europe) (En,Fr,De,Da+En,De).zip",2 Games In 1 - Bionicle + Knights' Kingdom,eu,83020,70
"2 Games in 1 - Brother Bear + The Lion King (Europe) (En,Fr,De,Es,It,Nl,Sv,Da).zip",2 Games In 1 - Brother Bear + The Lion King,eu,83021,67
2 Games in 1 - Cartoon Network Block Party + Cartoon Network Speedway (USA).zip,2 Games In 1 - Cartoon Network Block Party + Cartoon Network Speedway,us,83024,92
"2 Games in 1 - Columns Crown + ChuChu Rocket! (Europe) (En+En,Ja,Fr,De,Es).zip",2 Games In 1 - Columns Crown + Chuchu Rocket!,eu,83026,70
"2 Games in 1 - Disney Princess + Brother Bear (Europe) (En+En,Fr,De,Es,It,Nl,Sv,Da).zip",2 Games In 1 - Disney's Brother Bear + Disney Princess,eu,83034,57
2 Games in 1 - Disney Princess + Lizzie McGuire (Europe).zip,2 Games In 1 - Disney Princess + Lizzie Mcguire,eu,83033,84
2 Games in 1 - Dragon Ball Z - The Legacy of Goku I & II (USA).zip,2 Games In 1 - Dragon Ball Z - The Legacy Of Goku 1 And 2,us,83041,81
"2 Games in 1 - Finding Nemo + Finding Nemo - The Continuing Adventures (Europe) (En+En,Es,It,Sv,Da).zip",2 Games In 1 - Finding Nemo + Finding Nemo - The Continuing Adventures,eu,83044,80
2 Games in 1 - Finding Nemo + The Incredibles (Europe).zip,2 Games In 1 - Finding Nemo + The Incredibles,eu,83045,85
2 Games in 1 - Finding Nemo - The Continuing Adventures + The Incredibles (USA).zip,2 Games In 1 - Finding Nemo - The Continuing Adventures + The Incredibles,us,83046,92
2 Games in 1 - Golden Nugget Casino + Texas Hold 'em Poker (USA).zip,2 Games In 1 - Golden Nugget Casino + Texas Hold 'em Poker,us,83047,90
2 Games in 1 - Hot Wheels - Velocity X + Hot Wheels - World Race (USA).zip,2 Games In 1 - Hot Wheels - Velocity X + Hot Wheels - World Race,us,83049,91
"2 Games in 1 - Monsters, Inc. + Finding Nemo (USA).zip","2 Games In 1 - Monsters, Inc. + Finding Nemo",us,83052,88
"2 Games in 1 - Moto GP + GT Advance 3 - Pro Concept Racing (Europe) (En,Fr,De,Es,It+En).zip",2 Games In 1 - Moto Gp + Gt Advance 3 - Pro Concept Racing,eu,83056,74
"2 Games in 1 - Power Rangers - Ninja Storm + Power Rangers - Time Force (USA) (En,Fr,De+En).zip",2 Games In 1 - Power Rangers - Ninja Storm + Power Rangers - Time Force,us,83058,84
2 Games in 1 - Quad Desert Fury + Monster Trucks (USA).zip,2 Games In 1 - Double Value! - Monster Trucks + Quad Desert Fury,us,83060,57
2 Games in 1 - Rugrats - Go Wild + SpongeBob SquarePants - SuperSponge (Europe).zip,2 Games In 1 - Spongebob Squarepants - Supersponge + Rugrats Go Wild,eu,83061,68
2 Games in 1 - Scooby-Doo + Scooby-Doo 2 - Monsters Unleashed (USA).zip,2 Games In 1 Double Pack - Scooby-doo + Scooby-doo 2 - Monsters Unleashed,us,83063,81
"2 Games in 1 - Scooby-Doo! - Mystery Mayhem + Scooby-Doo and the Cyber Chase (USA) (En,Fr,De+En).zip",2 Games In 1 - Scooby-doo! - Mystery Mayhem + Scooby-doo And The Cyber Chase,us,83065,81
"2 Games in 1 - Sonic Advance + ChuChu Rocket! (Europe) (En,Ja,Fr,De,Es).zip",2 Games In 1 - Sonic Advance + Chuchu Rocket!,eu,83066,72
"2 Games in 1 - Sonic Advance + Sonic Battle (Europe) (En,Ja,Fr,De,Es+En,Ja,Fr,De,Es,It).zip",2 Games In 1 - Sonic Advance + Sonic Battle,eu,83067,63
"2 Games in 1 - Sonic Battle + ChuChu Rocket! (Europe) (En,Ja,Fr,De,Es,It+En,Ja,Fr,De,Es).zip",2 Games In 1 - Sonic Battle + Chuchu Rocket!,eu,83069,62
"2 Games in 1 - Sonic Battle + Sonic Pinball Party (Europe) (En,Ja,Fr,De,Es,It).zip",2 Games In 1 - Sonic Battle + Sonic Pinball Party,eu,83070,73
"2 Games in 1 - Sonic Pinball Party + Columns Crown (Europe) (En,Ja,Fr,De,Es,It+En).zip",2 Games In 1 - Sonic Pinball Party + Columns Crown,eu,83071,72
"2 Games in 1 - SpongeBob SquarePants - Battle for Bikini Bottom + Jimmy Neutron Boy Genius (Europe) (En,Fr,De+En,Fr,De,Es).zip",2 Games In 1 - Spongebob Squarepants - Battle For Bikini Bottom + Jimmy Neutron Boy Genius,eu,83073,80
2 Games in 1 - SpongeBob SquarePants - Battle for Bikini Bottom + Nicktoons - Freeze Frame Frenzy (USA).zip,2 Games In 1 - Spongebob Squarepants - Battle For Bikini Bottom + Nicktoons - Freeze Frame Frenzy,us,83074,91
2 Games in 1 - SpongeBob SquarePants - Battle for Bikini Bottom + The Fairly OddParents! - Breakin' da Rules (USA).zip,2 Games In 1 - Spongebob Squarepants - Battle For Bikini Bottom + The Fairly Oddparents! - Breakin' Da Rules,us,83075,90
2 Games in 1 - SpongeBob SquarePants - Revenge of the Flying Dutchman + SpongeBob SquarePants - SuperSponge (USA).zip,2 Games In 1 - Spongebob Squarepants - Revenge Of The Flying Dutchman + Spongebob Squarepants - Supersponge,us,83076,88
2 Games in 1 - SpongeBob SquarePants - SuperSponge + SpongeBob SquarePants - Battle for Bikini Bottom (Europe).zip,2 Games In 1 - Spongebob Squarepants - Supersponge + Spongebob Squarepants - Battle For Bikini Bottom,eu,83077,87
"2 Games in 1 - The Lion King + Disney Princess (Europe) (En,Fr,De,Es,It,Nl,Sv,Da+En).zip",2 Games In 1 - The Lion King + Disney Princess,eu,83078,67
"2 Games in 1 - The SpongeBob SquarePants Movie + SpongeBob SquarePants and Friends in Freeze Frame Frenzy (Europe) (En,Fr,De,Es,It,Nl+En,Fr,De,Es,Nl).zip",2 Games In 1 - The Spongebob Squarepants Movie + Spongebob Squarepants And Friends In Freeze Frame Frenzy,eu,83079,76
2 Games in 1! - Dragon Ball Z - Buu's Fury + Dragon Ball GT - Transformation (USA).zip,2 Games In 1! - Dragon Ball Z - Buu's Fury + Dragon Ball Gt - Transformation,us,83018,91
2 Games in One! - Dr. Mario + Puzzle League (USA).zip,2 Games In One! - Dr. Mario + Puzzle League,us,83080,88
2 Games in One! - Gauntlet + Rampart (USA).zip,2 Games In One! - Gauntlet + Rampart,us,83081,85
2 Games in One! - Marble Madness + Klax (USA).zip,,us,,
2 Games in One! - Paperboy + Rampage (USA).zip,2 Games In One! - Paperboy + Rampage,us,83083,85
2 Games in One! - Spy Hunter + Super Sprint (USA).zip,2 Games In One! - Spy Hunter + Super Sprint,us,83084,88
2 Great Games! - Pac-Man World + Ms. Pac-Man - Maze Madness (USA).zip,2 Great Games! - Pac-man World + Ms. Pac-man - Maze Madness,us,83085,89
