path,ssName,ssRegion,ssId,confidence
3-D Ultra Pinball - Thrillride (USA) (Rumble Version).zip,3d Ultra Pinball - Thrillride,us,3610,65
"3D Pocket Pool (Europe) (En,Fr,De,Es,It,Nl).zip",3D Pocket Pool,eu,46337,
"4 in 1 + 8 in 1 (World) (4B-001, 4B-009, 8B-001, Sachen) (Unl).zip",4 in 1 + 8 in 1,wor,82995,
"4 in 1 + 8 in 1 (World) (4B-002, 4B-004, 8B-002, Sachen) (Unl).zip",,wor,,
"4 in 1 + 8 in 1 (World) (4B-005, 4B-006, 8B-003, Sachen) (Unl).zip",,wor,,
"4 in 1 + 8 in 1 (World) (4B-007, 4B-008, 8B-004, Sachen) (Unl).zip",,wor,,
"007 - The World Is Not Enough (USA, Europe).zip",007 - The World Is Not Enough,"us,eu",36846,76
10-Pin Bowling (USA) (Rumble Version).zip,10-pin Bowling,us,46335,47
"102 Dalmatians - Puppies to the Rescue (USA, Europe).zip",Disney's 102 Dalmatians - Puppies To The Rescue,"us,eu",37057,70
"720 Degrees (USA, Europe) (GB Compatible).zip",720 Degrees,"us,eu",36848,39
"1942 (USA, Europe).zip",1942,"us,eu",36847,
[BIOS] Nintendo Game Boy Color Boot ROM (World) (Rev 1).zip,,wor,,
"Action Man - Search for Base X (USA, Europe).zip",Action Man - Search For Base X,"us,eu",36849,74
"Adventures of the Smurfs, The (Europe) (En,Fr,De,Es,It,Nl).zip","Adventures Of The Smurfs, The",eu,46342,59
AirForce Delta (USA).zip,AirForce Delta,us,82084,
Aladdin (USA).zip,Disney's Aladdin,us,36903,42
"Alfred's Adventure (Europe) (En,Fr,De,Es,It).zip",Alfred's Adventure,eu,46343,55
Alice in Wonderland (USA).zip,Walt Disney's Alice In Wonderland,us,37226,58
"Aliens - Thanatos Encounter (USA, Europe).zip",Aliens - Thanatos Encounter,"us,eu",46344,75
All Star Tennis 2000 (Europe) (GB Compatible).zip,All Star Tennis 2000,eu,37030,58
"All-Star Baseball 2000 (USA, Europe).zip",All-star Baseball 2000,"us,eu",36852,68
All-Star Baseball 2001 (USA).zip,All-star Baseball 2001,us,37029,78
"Alone in the Dark - The New Nightmare (USA) (En,Fr,Es).zip",Alone In The Dark - The New Nightmare,us,37031,74
Animal Breeder 3 (Japan) (SGB Enhanced) (GB Compatible).zip,Animal Breeder 3,jp,79428,43
Animal Breeder 4 (Japan).zip,Animal Breeder 4,jp,81927,73
Animastar GB (Japan).zip,Animastar Gb,jp,81928,61
Animorphs (USA).zip,Animorphs,us,36853,64
"Antz (USA) (En,Fr,Es) (GB Compatible).zip",Antz,us,36854,
"Antz Racing (USA) (En,Fr,De,Es,It,Nl).zip",Antz Racing,us,37032,
"Antz World Sportz (Europe) (En,Fr,De,Es,It,Nl).zip",Antz World Sportz,eu,37033,51
Aqualife (Japan) (SGB Enhanced) (GB Compatible).zip,Aqualife,jp,81930,
Arle no Bouken - Mahou no Jewel (Japan) (SGB Enhanced) (GB Compatible).zip,Arle No Bouken - Mahou No Jewel,jp,36855,55
Armada - FX Racers (USA).zip,Armada - Fx Racers,us,81937,74
"Armorines - Project S.W.A.R.M. (USA, Europe) (En,De).zip",Armorines - Project S.w.a.r.m.,"us,eu",36856,60
"Army Men 2 (USA, Europe) (En,Fr,De).zip",Army Men 2,"us,eu",37034,
"Army Men (USA, Europe) (En,Fr,De).zip",Army Men,"us,eu",36857,
"Army Men - Air Combat (USA, Europe) (En,Fr,De).zip",Army Men - Air Combat,"us,eu",81940,59
"Army Men - Sarge's Heroes 2 (USA, Europe) (En,Fr,De).zip",Army Men - Sarge's Heroes 2,"us,eu",37035,65
Arthur's Absolutely Fun Day! (USA).zip,Arthur's Absolutely Fun Day!,us,81942,85
"Asterix & Obelix (Europe) (En,Fr,De,Es).zip",Asterix & Obelix,eu,36858,
"Asterix & Obelix Contre Cesar (Europe) (En,Fr,De,Es,Nl) (GB Compatible).zip",Asterix And Obelix Vs Caesar,eu,81943,43
"Asterix - Sur la Trace D'Idefix (Europe) (En,Fr,De,Es,It,Nl).zip",Astérix - Sur La Trace D'idéfix,eu,37036,57
"Asteroids (USA, Europe) (GB Compatible).zip",Asteroids,"us,eu",36859,
"Atlantis - The Lost Empire (USA, Europe).zip",Atlantis - The Lost Empire,"us,eu",81946,74
ATV Racing & Karate Joe (Europe) (Unl).zip,Atv Racing And Karate Joe,eu,81950,60
ATV Racing (Europe) (Unl).zip,ATV Racing,eu,81949,
"Austin Powers - Oh, Behave! (USA).zip",Austin Powers - Oh Behave!,us,36860,83
Austin Powers - Welcome to my Underground Lair! (USA).zip,Austin Powers - Welcome To My Underground Lair,us,37037,85
Azarashi Sentai Inazuma - Dokidoki Daisakusen! (Japan).zip,Azarashi Sentai Inazuma - Dokidoki Daisakusen!,jp,81956,88
Azure Dreams (USA) (SGB Enhanced) (GB Compatible).zip,Azure Dreams,us,36861,37
B-Daman Bakugaiden - Victory e no Michi (Japan) (SGB Enhanced) (GB Compatible).zip,B-daman Bakugaiden - Victory E No Michi,jp,81988,60
B-Daman Bakugaiden V - Final Mega Tune (Japan).zip,B-daman Bakugaiden 5 - Final Mega Tune,jp,81987,82
Babe and Friends (USA) (GB Compatible).zip,Babe And Friends,us,36862,52
"Baby Felix - Halloween (Europe) (En,Fr,De,Es,It,Nl).zip",Baby Felix - Halloween,eu,81957,57
Back to Earth 3D (Europe) (Demo).zip,Back to Earth 3D,eu,200447,62
"Backgammon (Europe) (En,Fr,De,Es) (GB Compatible).zip",Backgammon,eu,81959,
Bad Badtz-Maru Robo Battle (Japan).zip,Bad Badtz-maru Robo Battle,jp,81960,78
Bakukyuu Renpatsu!! Super B-Daman - Gekitan! Rising Valkyrie!! (Japan) (SGB Enhanced) (GB Compatible).zip,Bakukyuu Renpatsu!! Super B-daman - Gekitan! Rising Valkyrie!!,jp,81961,73
