path,ssName,ssRegion,ssId,confidence
"[BIOS] Alex Kidd in Miracle World (USA, Europe).zip",,"us,eu",,
"[BIOS] Hang-On & Safari Hunt (USA, Europe, Brazil) (v2.4).zip",,"us,eu",,
"[BIOS] Hang-On (USA, Europe) (v3.4).zip",,"us,eu",,
"[BIOS] Missile Defense 3-D (USA, Europe) (v4.4).zip",,"us,eu",,
[BIOS] Sega Master System (USA) (Store Display Unit).zip,,us,,
[BIOS] Sonic The Hedgehog (Europe).zip,,eu,,
"Ace of Aces (Europe, Brazil).zip",Ace Of Aces,,914,47
"Action Fighter (USA, Europe, Brazil) (Rev 1).zip",Action Fighter,,799,45
"Addams Family, The (Europe).zip","Addams Family, The",eu,926,73
Aerial Assault (USA).zip,Aerial Assault,us,18464,74
After Burner (World).zip,After Burner,wor,832,67
"Air Rescue (Europe, Brazil).zip",Air Rescue,,900,49
"Aladdin (Europe, Brazil).zip",Aladdin,,765,
"Alex Kidd - High-Tech World (USA, Europe, Brazil).zip",Alex Kidd - High-tech World,,763,65
Alex Kidd - The Lost Stars (World).zip,Alex Kidd - The Lost Stars,wor,808,81
Alex Kidd BMX Trial (Japan).zip,Alex Kidd - Bmx Trial,jp,855,65
"Alex Kidd in Miracle World (USA, Europe, Brazil) (Rev 1).zip",Alex Kidd in Miracle World,,754,
"Alex Kidd in Shinobi World (USA, Europe, Brazil).zip",Alex Kidd In Shinobi World,,778,64
Alf (USA).zip,Alf,us,817,38
"Alien 3 (Europe, Brazil).zip",Alien 3,,797,
"Alien Storm (Europe, Brazil).zip",Alien Storm,,911,51
"Alien Syndrome (USA, Europe, Brazil).zip",Alien Syndrome,,852,52
"Altered Beast (USA, Europe, Brazil).zip",Altered Beast,,772,50
"Andre Agassi Tennis (Europe, Brazil).zip",Andre Agassi Tennis,,853,64
Arcade Smash Hits (Europe).zip,Arcade Smash Hits,eu,18465,72
Argos no Juujiken (Japan).zip,Argos No Juujiken,jp,841,70
"Assault City (USA, Europe, Brazil) (Light Phaser).zip",Assault City,,895,
"Asterix (Europe, Brazil) (En,Fr) (Rev 1).zip",Asterix,,769,
"Asterix and the Great Rescue (Europe, Brazil) (En,Fr,De,Es,It).zip",Astérix And The Great Rescue,,795,53
"Asterix and the Secret Mission (Europe, Brazil) (En,Fr,De).zip",Astérix And The Secret Mission,,812,59
Astro Warrior & Pit Pot (Europe).zip,Astro Warrior and  Pit Pot,eu,64911,71
"Astro Warrior (Japan, USA, Brazil).zip",Astro Warrior,,918,
"Ayrton Senna's Super Monaco GP II (Europe, Brazil).zip",Ayrton Senna's Super Monaco Gp 2,,890,72
Aztec Adventure (World).zip,Aztec Adventure,wor,834,71
"Back to the Future Part II (Europe, Brazil).zip",Back To The Future Part 2,,813,61
Back to the Future Part III (Europe).zip,Back to the Future Part 3,eu,887,
"Bank Panic (Europe, Brazil).zip",Bank Panic,,962,49
"Basketball Nightmare (Europe, Brazil).zip",Basketball Nightmare,,929,66
"Batman Returns (Europe, Brazil).zip",Batman Returns,,789,57
"Battle Out Run (Europe, Brazil).zip",Battle Out Run,,860,
"Black Belt (USA, Europe, Brazil).zip",Black Belt,,821,43
Blade Eagle ~ Blade Eagle 3-D (World).zip,Blade Eagle 3-d,wor,944,54
Bomber Raid (World).zip,Bomber Raid,wor,791,65
