path,ssName,ssRegion,ssId,confidence
3 Ninjas Kick Back (USA).zip,3 Ninjas Kick Back,us,574,78
6-Pak (USA).zip,6-pak,us,18359,40
16t (Japan) (SegaNet).zip,16t,jp,1011,
"688 Attack Sub (USA, Europe).zip",688 Attack Sub,"us,eu",394,61
[BIOS] LaserActive (USA) (v1.04).zip,,us,,
[BIOS] Mega-CD 2 (Europe) (Rev A).zip,,eu,,
[BIOS] Sega CD 2A (USA).zip,,us,,
[BIOS] Sega CD (USA) (Rev B).zip,,us,,
[BIOS] Sega CDX (USA).zip,,us,,
[BIOS] Sega Mega Drive - Genesis Boot ROM (World).zip,,wor,,
[BIOS] WonderMega (Japan) (En) (Sega).zip,,jp,,
[BIOS] X'Eye (USA).zip,,us,,
A Ressha de Ikou MD (Japan).zip,"Ressha De Ikou Md, A",jp,18364,63
Aa Harimanada (Japan).zip,Aa Harimanada,jp,1012,68
Aaahh!!! Real Monsters (USA).zip,Aaahh!!! Real Monsters,us,1013,81
Action 52 (USA) (Unl).zip,Action 52,us,1014,53
Action Replay (Europe) (Program) (Unl).zip,,eu,,
"Addams Family Values (Europe) (En,Fr,De).zip",Addams Family Values,eu,195,62
"Addams Family, The (USA, Europe).zip","Addams Family, The","us,eu",307,67
Advanced Busterhawk Gleylancer (Japan).zip,Advanced Busterhawk Gley Lancer,jp,283,79
Advanced Daisenryaku - Deutsch Dengeki Sakusen (Japan) (Rev A).zip,Advanced Daisenryaku - Deutsch Dengeki Sakusen,jp,38952,82
"Adventures of Batman & Robin, The (USA).zip","Adventures Of Batman And Robin, The",us,52,79
"Adventures of Mighty Max, The (USA).zip","Adventures Of Mighty Max, The",us,303,82
"Adventures of Rocky and Bullwinkle and Friends, The (USA).zip","Adventures Of Rocky And Bullwinkle And Friends, The",us,588,86
Aero the Acro-Bat 2 (USA).zip,Aero The Acro-bat 2,us,556,71
Aero the Acro-Bat (USA).zip,Aero The Acro-bat,us,129,
Aerobiz (USA).zip,Aerobiz,us,501,
Aerobiz Supersonic (USA).zip,Aerobiz Supersonic,us,537,
"After Burner II (USA, Europe).zip",After Burner 2,"us,eu",198,55
Air Buster (USA).zip,Air Buster,us,609,
Air Diver (USA).zip,Air Diver,us,510,64
"Al Michaels Announces HardBall III (USA, Europe).zip",Al Michaels Announces Hardball 3,"us,eu",736,71
Aladdin (USA).zip,Aladdin,us,8,
Alex Kidd in the Enchanted Castle (USA).zip,Alex Kidd In The Enchanted Castle,us,34,82
"Alien 3 (USA, Europe) (Rev A).zip",Alien 3,"us,eu",130,
Alien Soldier (Europe).zip,Alien Soldier,eu,36,67
Alien Storm (World).zip,Alien Storm,wor,106,65
Alisia Dragoon (USA).zip,Alisia Dragoon,us,53,74
"Altered Beast (USA, Europe).zip",Altered Beast,"us,eu",15,59
American Gladiators (USA).zip,American Gladiators,us,512,79
Andre Agassi Tennis (USA).zip,Andre Agassi Tennis,us,422,79
Animaniacs (USA).zip,Animaniacs,us,156,67
"Aquatic Games Starring James Pond and the Aquabats, The (USA, Europe).zip","Aquatic Games Starring James Pond And The Aquabats, The","us,eu",1016,83
"Arcade Classics (USA, Europe).zip",Arcade Classics,"us,eu",289,62
Arcade Legends Sega Mega Drive ~ Arcade Legends Sega Genesis ~ Mega Drive Play TV (World).zip,,wor,,
Arcade Legends Street Fighter II' - Special Champion Edition ~ Mega Drive Play TV 3 (World).zip,Street Fighter 2' - Special Champion Edition,wor,57,62
"Arch Rivals - The Arcade Game (USA, Europe).zip",Arch Rivals - The Arcade Game,"us,eu",493,76
Arcus Odyssey (USA).zip,Arcus Odyssey,us,433,72
"Ariel the Little Mermaid (USA, Europe).zip",Ariel - The Little Mermaid,"us,eu",137,68
"Arnold Palmer Tournament Golf (USA, Europe).zip",Arnold Palmer Tournament Golf,"us,eu",44279,
Arrow Flash (USA).zip,Arrow Flash,us,212,69
Art Alive (World).zip,Art Alive!,wor,503,58
Art of Fighting (USA).zip,Art of Fighting,us,456,
Asterix and the Great Rescue (USA).zip,Astérix And The Great Rescue,us,86,76
"Asterix and the Power of the Gods (Europe) (En,Fr,De,Es).zip",Asterix And The Power Of The Gods,eu,100,62
Atomic Robo-Kid (USA).zip,Atomic Robo-kid,us,363,70
Atomic Runner (USA).zip,Atomic Runner,us,272,
ATP Tour Championship Tennis (USA).zip,Atp Tour Championship Tennis,us,481,79
Australian Rugby League (Europe).zip,Australian Rugby League,eu,1017,78
Awesome Possum... ...Kicks Dr. Machino's Butt (USA).zip,Awesome Possum Kicks Dr. Machino's Butt!,us,528,82
Aworg (Japan) (SegaNet).zip,Aworg - Hero In The Sky,jp,1018,
