path,ssName,ssRegion,ssId,confidence
007 - The World Is Not Enough (USA).zip,007 - The World Is Not Enough,us,5426,85
"40 Winks (Europe) (En,Es,It) (Proto) (1999-10-07).zip",40 Winks,eu,59524,
64 de Hakken!! Tamagotchi - Minna de Tamagotchi World (Japan).zip,64 De Hakken!! Tamagotchi - Minna De Tamagotchi World,jp,59525,86
64 Hanafuda - Tenshi no Yakusoku (Japan).zip,64 Hanafuda - Tenshi No Yakusoku,jp,59526,82
64 Oozumou 2 (Japan).zip,64 Oozumou 2,jp,59528,67
64 Oozumou (Japan).zip,64 Oozumou,jp,59527,
64 Trump Collection - Alice no Wakuwaku Trump World (Japan).zip,64 Trump Collection - Alice No Wakuwaku Trump World,jp,59529,88
"1080 TenEighty Snowboarding (Japan, USA) (En,Ja).zip",1080 - Teneighty Snowboarding,"us,jp",5441,64
AeroFighters Assault (USA).zip,Aero Fighters Assault,us,5548,78
AeroGauge (USA).zip,Aerogauge,us,5597,57
AI Shougi 3 (Japan).zip,Ai Shougi 3,jp,59503,59
Aidyn Chronicles - The First Mage (USA) (Rev 1).zip,Aidyn Chronicles - The First Mage,us,5534,79
Airboarder 64 (Europe).zip,Air Boarder 64,eu,5596,60
All Star Tennis 99 (USA).zip,All Star Tennis '99,us,71656,77
All-Star Baseball 99 (USA).zip,All-star Baseball 99,us,5699,76
All-Star Baseball 2000 (USA).zip,All-star Baseball 2000,us,5656,78
All-Star Baseball 2001 (USA).zip,All-star Baseball 2001,us,5673,78
Armorines - Project S.W.A.R.M. (USA).zip,Armorines - Project S.w.a.r.m.,us,5546,74
Army Men - Air Combat (USA).zip,Army Men - Air Combat,us,5621,81
Army Men - Sarge's Heroes 2 (USA).zip,Army Men - Sarge's Heroes 2,us,5554,84
Army Men - Sarge's Heroes (USA).zip,Army Men - Sarge's Heroes,us,5538,
Asteroids Hyper 64 (USA).zip,Asteroids Hyper 64,us,5671,78
Automobili Lamborghini (USA).zip,Automobili Lamborghini,us,5549,81
Bakuretsu Muteki Bangaioh (Japan).zip,Bakuretsu Muteki Bangaioh,jp,5652,81
Bakushou Jinsei 64 - Mezase! Resort Ou (Japan).zip,Bakushou Jinsei 64 - Mezase! Resort Ou,jp,59549,86
Banjo-Kazooie (USA) (Rev 1).zip,Banjo-kazooie,us,5405,55
Banjo-Tooie (USA).zip,Banjo-tooie,us,5411,62
Bass Rush - ECOGEAR PowerWorm Championship (Japan).zip,Bass Rush - EcoGear PowerWorm Championship,jp,59550,77
Bassmasters 2000 (USA).zip,Bassmasters 2000,us,5677,76
Batman Beyond - Return of the Joker (USA).zip,Batman Beyond - Return of the Joker,us,71667,69
BattleTanx (USA).zip,Battletanx,us,5665,60
BattleTanx - Global Assault (USA).zip,Battletanx - Global Assault,us,5575,81
Battlezone - Rise of the Black Dogs (USA).zip,Battlezone - Rise Of The Black Dogs,us,5640,82
"Beetle Adventure Racing! (USA) (En,Fr,De).zip",Beetle Adventure Racing!,us,5477,70
Big Mountain 2000 (USA).zip,Big Mountain 2000,us,5680,77
Bio F.R.E.A.K.S. (USA).zip,Bio F.r.e.a.k.s.,us,5600,52
Blast Corps (USA) (Rev 1).zip,Blast Corps,us,5523,55
Blues Brothers 2000 (USA).zip,Blues Brothers 2000,us,5601,79
Body Harvest (USA).zip,Body Harvest,us,5478,71
Bomberman 64 (Japan).zip,Bomberman 64,jp,5449,67
Bomberman 64 (USA).zip,Bomberman 64,us,5449,71
Bomberman 64 - The Second Attack! (USA).zip,Bomberman 64 - The Second Attack!,us,5516,87
Bomberman Hero (USA).zip,Bomberman Hero,us,5519,74
Bottom of the 9th (USA).zip,Bottom Of The 9th,us,5694,68
Brunswick Circuit Pro Bowling (USA).zip,Brunswick Circuit Pro Bowling,us,5706,85
Buck Bumble (USA).zip,Buck Bumble,us,5525,69
"Bug's Life, A (USA).zip","Bug's Life, A",us,5511,72
Bust-A-Move 2 - Arcade Edition (USA).zip,Bust-a-move 2 - Arcade Edition,us,5580,80
Bust-A-Move '99 (USA).zip,Bust-A-Move '99,us,5626,
California Speed (USA).zip,California Speed,us,5689,76
Carmageddon 64 (USA).zip,Carmageddon 64,us,5487,74
Castlevania (USA) (Rev 2).zip,Castlevania,us,5414,55
Castlevania - Legacy of Darkness (USA).zip,Castlevania - Legacy Of Darkness,us,5428,84
Centre Court Tennis (Europe).zip,Centre Court Tennis,eu,5558,75
Chameleon Twist 2 (USA).zip,Chameleon Twist 2,us,5629,77
Chameleon Twist (USA) (Rev 1).zip,Chameleon Twist,us,5512,
Charlie Blast's Territory (USA).zip,Charlie Blast's Territory,us,5625,83
Chopper Attack (USA).zip,Chopper Attack,us,5567,74
Choro Q 64 2 - Hacha Mecha Grand Prix Race (Japan).zip,Choro Q 64 2 - Hacha Mecha Grand Prix Race,jp,59763,88
Chou Kuukan Nighter Pro Yakyuu King 2 (Japan).zip,Chou Kuukan Nighter Pro Yakyuu King 2,jp,59764,86
Chou Kuukan Nighter Pro Yakyuu King (Japan).zip,Chou Kuukan Nighter Pro Yakyuu King 2,jp,59764,86
Clay Fighter 63 1-3 (USA).zip,Clay Fighter 63 1/3,us,5522,75
Clay Fighter - Sculptor's Cut (USA).zip,Clay Fighter - Sculptor's Cut,us,5591,85
Command & Conquer (USA).zip,Command And Conquer,us,5447,70
Conker's Bad Fur Day (USA).zip,Conker's Bad Fur Day,us,5402,80
Cruis'n Exotica (USA).zip,Cruis'n Exotica,us,5674,75
Cruis'n USA (USA) (Rev 2).zip,Cruis'n Usa,us,5537,45
Cruis'n World (USA).zip,Cruis'n World,us,5550,72
Custom Robo (Japan).zip,Custom Robo,jp,5647,65
Custom Robo V2 (Japan).zip,Custom Robo V2,jp,5648,70
CyberTiger (USA).zip,Cyber Tiger,us,5672,65
Dance Dance Revolution - Disney Dancing Museum (Japan).zip,Dance Dance Revolution - Disney Dancing Museum,jp,5695,88
Dark Rift (USA).zip,Dark Rift,us,5635,64
Deadly Arts (USA).zip,Deadly Arts,us,5678,
Densha de Go! 64 (Japan).zip,Densha De Go! 64,jp,59765,68
Derby Stallion 64 (Japan).zip,Derby Stallion 64,jp,59766,74
Destruction Derby 64 (USA).zip,Destruction Derby 64,us,5514,80
Dezaemon 3D (Japan).zip,Dezaemon 3d,jp,5696,59
"Diddy Kong Racing (USA) (En,Fr) (Rev 1).zip",Diddy Kong Racing,us,5409,57
Die Hard 64 (USA) (Proto) (Level 1).zip,Die Hard 64,us,199970,44
"Donald Duck - Goin' Quackers (USA) (En,Fr,De,Es,It).zip",Donald Duck - Goin' Quackers,us,5499,
Donkey Kong 64 (USA).zip,Donkey Kong 64,us,5404,74
Doom 64 (USA) (Rev 1).zip,Doom 64,us,5446,44
Doraemon 2 - Nobita to Hikari no Shinden (Japan).zip,Doraemon 2 - Nobita To Hikari No Shinden,jp,59768,83
Doraemon 3 - Nobita no Machi SOS! (Japan).zip,Doraemon 3 - Nobita No Machi Sos!,jp,59769,77
Doraemon - Nobita to 3tsu no Seireiseki (Japan).zip,Doraemon - Nobita To 3tsu No Seireiseki,jp,59767,82
Doubutsu no Mori (Japan).zip,Doubutsu No Mori,jp,59770,68
Dr. Mario 64 (USA).zip,Dr. Mario 64,us,5529,71
Dragon Sword 64 (USA) (Proto) (1999-08-25).zip,Dragon Sword 64,us,59771,49
Dual Heroes (USA).zip,Dual Heroes,us,5569,69
"Duck Dodgers Starring Daffy Duck (USA) (En,Fr,Es).zip",Duck Dodgers Starring Daffy Duck,us,5501,75
Duke Nukem 64 (USA).zip,Duke Nukem 64,us,5430,72
Duke Nukem - Zero Hour (USA).zip,Duke Nukem - Zero Hour,us,5456,81
Earthworm Jim 3D (USA).zip,Earthworm Jim 3d,us,5497,71
ECW Hardcore Revolution (USA).zip,Ecw Hardcore Revolution,us,5681,75
Eikou no Saint Andrews (Japan).zip,Eikou no Saint Andrews,jp,5734,79
Excitebike 64 (USA) (Rev 1).zip,Excitebike 64,us,5472,59
Extreme-G (USA).zip,Extreme-g,us,5448,57
Extreme-G XG2 (USA).zip,Extreme-g Xg2,us,5539,61
"F1 Pole Position 64 (USA) (En,Fr,De).zip",F1 Pole Position 64,us,71702,64
"F1 Racing Championship (Europe) (En,Fr,De,Es,It).zip",F1 Racing Championship,eu,5503,59
F-1 World Grand Prix (USA).zip,F-1 World Grand Prix,us,71703,
"F-1 World Grand Prix II (Europe) (En,Fr,De,Es).zip",F-1 World Grand Prix 2,eu,5520,58
F-Zero X (USA).zip,F-zero X,us,5418,54
Famista 64 (Japan).zip,Famista 64,jp,59860,62
"FIFA 99 (USA) (En,Fr,De,Es,It,Nl,Pt,Sv).zip",FIFA 99,us,5462,
"FIFA - Road to World Cup 98 (USA) (En,Fr,De,Es,It,Nl,Sv).zip",Fifa - Road To World Cup 98,us,71704,53
"FIFA Soccer 64 (USA) (En,Fr,De).zip",Fifa Soccer 64,us,5563,45
Fighter Destiny 2 (USA).zip,Fighter Destiny 2,us,5615,77
Fighters Destiny (USA).zip,Fighters Destiny,us,5565,76
Fighting Force 64 (USA).zip,Fighting Force 64,us,5513,77
Flying Dragon (USA).zip,Flying Dragon,us,5633,72
Forsaken 64 (USA).zip,Forsaken 64,us,71708,69
Fox Sports College Hoops '99 (USA).zip,Fox Sports College Hoops 99,us,5657,83
Frogger 2 (USA) (Proto 2).zip,Frogger 2 - Swampy's Revenge,us,59949,42
Fushigi no Dungeon - Fuurai no Shiren 2 - Oni Shuurai! Shiren Jou! (Japan).zip,Fushigi No Dungeon - Fuurai No Shiren 2 - Oni Shuurai! Shiren Jou!,jp,59861,89
GameBooster 64 (USA) (v1.1) (Unl).zip,,us,,
GameShark Pro (USA) (v3.3) (Unl).zip,,us,,
Gauntlet Legends (USA).zip,Gauntlet Legends,us,5509,76
Getter Love!! - Cho Renai Party Game Tanjou (Japan).zip,Getter Love!! Cho Renai Party Game,jp,59864,76
Gex 3 - Deep Cover Gecko (USA).zip,Gex 3 - Deep Cover Gecko,us,5504,83
Gex 64 - Enter the Gecko (USA).zip,Gex 64 - Enter The Gecko,us,5491,79
Glover 2 (USA) (Proto 2).zip,Glover 2,us,59859,44
Glover (USA).zip,Glover,us,5508,
Goemon - Mononoke Sugoroku (Japan).zip,Goemon - Mononoke Sugoroku,jp,59865,81
Goemon's Great Adventure (USA).zip,Goemon's Great Adventure,us,5467,
Golden Nugget 64 (USA).zip,Golden Nugget 64,us,5660,76
GoldenEye 007 (USA).zip,Goldeneye 007,us,5397,67
GT 64 - Championship Edition (USA).zip,Gt 64 - Championship Edition,us,5634,82
Hamster Monogatari 64 (Japan).zip,Hamster Monogatari 64,jp,59541,78
Harukanaru Augusta - Masters '98 (Japan).zip,Harukanaru Augusta - Masters '98,jp,59542,84
Harvest Moon 64 (USA).zip,Harvest Moon 64,us,5489,75
Heiwa Pachinko World 64 (Japan).zip,Heiwa Pachinko World 64,jp,59543,79
Hercules - The Legendary Journeys (USA).zip,Hercules - The Legendary Journeys,us,5483,87
Hexen (USA).zip,Hexen,us,5498,50
"Hey You, Pikachu! (USA).zip",Hey You Pikachu !,us,5564,73
Hot Wheels - Turbo Racing (USA).zip,Hot Wheels - Turbo Racing,us,5606,83
Hybrid Heaven (USA).zip,Hybrid Heaven,us,5470,72
Hydro Thunder (USA).zip,Hydro Thunder,us,5574,72
Ide Yosuke no Mahjong Juku (Japan).zip,Ide Yosuke No Mahjong Juku,jp,59530,78
Iggy's Reckin' Balls (USA).zip,Iggy's Reckin' Balls,us,5577,80
In-Fisherman - Bass Hunter 64 (USA).zip,Bass Hunter 64,us,5707,53
Indiana Jones and the Infernal Machine (USA).zip,Indiana Jones And The Infernal Machine,us,5463,84
Indy Racing 2000 (USA).zip,Indy Racing 2000,us,5713,76
International Superstar Soccer 64 (USA).zip,International Superstar Soccer 64,us,5517,87
"International Superstar Soccer 2000 (USA) (En,Es) (Rev 1).zip",International Superstar Soccer 2000,us,5490,73
International Superstar Soccer '98 (USA).zip,International Superstar Soccer '98,us,5485,87
International Track & Field 2000 (USA).zip,International Track & Field 2000,us,5602,
Itoi Shigesato no Bass Tsuri No. 1 Kettei Ban! (Japan).zip,Itoi Shigesato No Bass Tsuri No. 1 Kettei Ban!,jp,59531,87
J.League Dynamite Soccer 64 (Japan).zip,J.league Dynamite Soccer 64,jp,59869,79
J.League Eleven Beat 1997 (Japan).zip,J-league Eleven Beat 1997,jp,5663,74
J.League Live 64 (Japan).zip,J.league Live 64,jp,59870,68
J.League Tactics Soccer (Japan) (Rev 1).zip,J.league Tactics Soccer,jp,108712,67
Jangou Simulation Mahjong Dou 64 (Japan).zip,Jangou Simulation Mahjong Dou 64,jp,97419,84
Jeopardy! (USA).zip,Jeopardy!,us,5708,64
Jeremy McGrath Supercross 2000 (USA).zip,Jeremy Mcgrath Supercross 2000,us,5661,83
Jet Force Gemini (USA).zip,Jet Force Gemini,us,5420,76
Jikkyou G1 Stable (Japan) (Rev 1).zip,Jikkyou G1 Stable,jp,59874,63
Jikkyou J.League Perfect Striker (Japan).zip,Jikkyou J.league Perfect Striker,jp,59875,82
Jikkyou Powerful Pro Yakyuu 4 (Japan) (Rev 1).zip,Jikkyou Powerful Pro Yakyuu 4,jp,59877,74
Jikkyou Powerful Pro Yakyuu 5 (Japan) (Rev 2).zip,Jikkyou Powerful Pro Yakyuu 5,jp,59879,74
Jikkyou Powerful Pro Yakyuu 6 (Japan) (Rev 2).zip,Jikkyou Powerful Pro Yakyuu 6,jp,59880,74
Jikkyou Powerful Pro Yakyuu 2000 (Japan) (Rev 1).zip,Jikkyou Powerful Pro Yakyuu 2000,jp,59876,76
Jikkyou Powerful Pro Yakyuu - Basic Ban 2001 (Japan) (Rev 1).zip,Jikkyou Powerful Pro Yakyuu Basic Ban 2001,jp,78381,79
Jinsei Game 64 (Japan).zip,Jinsei Game 64,jp,59882,70
John Romero's Daikatana (USA).zip,Daikatana,us,71746,
Ken Griffey Jr.'s Slugfest (USA).zip,Ken Griffey Jr.'s Slugfest,us,5700,84
Killer Instinct Gold (USA) (Rev 2).zip,Killer Instinct Gold,us,5415,69
Kiratto Kaiketsu! 64 Tanteidan (Japan).zip,Kiratto Kaiketsu! 64 Tanteidan,jp,59522,83
Kirby 64 - The Crystal Shards (USA).zip,Kirby 64 - The Crystal Shards,us,5438,85
Knife Edge - Nose Gunner (USA).zip,Knife Edge,us,5551,45
Knockout Kings 2000 (USA).zip,Knockout Kings 2000,us,5578,79
Kobe Bryant in NBA Courtside (USA).zip,Kobe Bryant In Nba Courtside,us,5622,76
Last Legion UX (Japan).zip,Last Legion Ux,jp,59521,65
"Legend of Zelda, The - Majora's Mask (USA).zip","Legend Of Zelda - Majora's Mask, The",us,5394,76
