path,ssName,ssRegion,ssId,confidence
3-D WorldRunner (USA).zip,3-D WorldRunner,us,18548,75
4 Nin Uchi Mahjong (Japan) (Rev 1).zip,4 Nin Uchi Mahjong,jp,18549,64
8 Eyes (USA).zip,8 Eyes,us,1556,55
"10-Yard Fight (USA, Europe).zip",10-yard Fight,"us,eu",1658,55
720 Degrees (USA).zip,720 Degrees,us,1726,69
"1942 (Japan, USA).zip",1942 Cold Winter,"us,jp",154884,
1943 - The Battle of Midway (USA).zip,1943 - The Battle Of Midway,us,1468,81
"1999 - Hore, Mitakotoka! Seikimatsu (Japan).zip","1999 - Hore, Mita Koto Ka! Seikimatsu",jp,18547,79
'89 Dennou Kyuusei Uranai (Japan).zip,'89 Denn Kysei Uranai,jp,18551,72
A Ressha de Ikou (Japan).zip,"Ressha De Ikou, A",jp,59397,62
Aa Yakyuu Jinsei Icchokusen (Japan).zip,Aa Yaky Jinsei Icchokusen,jp,18552,78
Abadox - The Deadly Inner War (USA).zip,Abadox - The Deadly Inner War,us,18553,85
Action 52 (USA) (Rev A) (Unl).zip,Action 52,us,18554,43
Adan y Eva (Spain) (Gluk Video) (Unl).zip,Adam And Eve,eu,136007,
"Addams Family, The (USA).zip","Addams Family, The",us,1417,78
"Addams Family, The - Pugsley's Scavenger Hunt (USA).zip","Addams Family - Pugsley's Scavenger Hunt, The",us,18555,82
Advanced Dungeons & Dragons - Dragons of Flame (Japan).zip,Advanced Dungeons And Dragons - Dragons Of Flame,jp,1791,83
Advanced Dungeons & Dragons - DragonStrike (USA).zip,Advanced Dungeons And Dragons - Dragon Strike,us,1692,85
Advanced Dungeons & Dragons - Heroes of the Lance (USA).zip,Advanced Dungeons And Dragons - Heroes Of The Lance,us,1576,84
Advanced Dungeons & Dragons - Hillsfar (USA).zip,Advanced Dungeons And Dragons - Hillsfar,us,18705,84
Advanced Dungeons & Dragons - Pool of Radiance (USA).zip,Advanced Dungeons And Dragons - Pool Of Radiance,us,1640,85
Adventure Island 3 (USA).zip,Adventure Island 3,us,1521,78
Adventure Island (USA).zip,Adventure Island,us,1342,
Adventure Island II (USA).zip,Adventure Island 2,us,1436,
Adventures in the Magic Kingdom (USA).zip,Adventures In The Magic Kingdom,us,1384,81
"Adventures of Bayou Billy, The (USA).zip","Adventures Of Bayou Billy, The",us,1355,83
Adventures of Dino Riki (USA).zip,Adventures of Dino Riki,us,1627,82
"Adventures of Dr. Franken, The (USA) (Proto).zip","Adventures Of Dr. Franken, The",us,59411,74
"Adventures of Gilligan's Island, The (USA).zip","Adventures Of Gilligan's Island, The",us,18556,85
Adventures of Lolo 2 (USA).zip,Adventures Of Lolo 2,us,1411,76
Adventures of Lolo 3 (USA).zip,Adventures Of Lolo 3,us,1499,76
