path,ssName,ssRegion,ssId,confidence
"[BIOS] SNK Neo Geo Pocket (Japan, Europe).zip",,,,
"Baseball Stars - Pocket Sports Series (Japan, Europe) (En,Ja).zip",Baseball Stars,eu,47055,42
"King of Fighters R-1 - Pocket Fighting Series (Japan, Europe) (En,Ja).zip",King Of Fighters R-1,eu,47057,43
King of Fighters R-1 - Pocket Kakutou Series & Melon-chan no Seichou Nikki (Japan) (Demo).zip,,,,
megaman2.zip,,,,
Melon-chan no Seichou Nikki (Japan).zip,Melon-chan No Seichou Nikki,jp,47058,79
"Neo Cherry Master - Real Casino Series (Japan) (En,Ja).zip",Neo Cherry Master - Real Casino Series,jp,47059,79
"Neo Geo Cup '98 (Japan, Europe) (En,Ja).zip",Neo Geo Cup '98,,47060,52
"Pocket Tennis - Pocket Sports Series (Japan, Europe) (En,Ja).zip",Pocket Tennis,,47066,24
Renketsu Puzzle Tsunagete Pon! (Japan).zip,Renketsu Puzzle Tsunagete Pon!,jp,47061,83
"Samurai Shodown! - Pocket Fighting Series (Japan, Europe) (En,Ja).zip",Samurai Shodown! - Pocket Fighting Series,,47067,75
Shougi no Tatsujin (Japan).zip,Shougi No Tatsujin,jp,47062,71
