path,ssName,ssRegion,ssId,confidence
"[BIOS] SNK Neo Geo Pocket Color (World) (En,Ja).zip",,wor,,
"Bakumatsu Rouman Tokubetsu Hen - Gekka no Kenshi - Tsuki ni Saku Hana, Chiri Yuku Hana (Japan).zip",Last Blade - Beyond The Destiny,jp,47064,
"Baseball Stars Color - Pocket Sports Series (World) (En,Ja).zip",Baseball Stars Color,wor,47070,
"Big Bang Pro Wrestling (Japan) (En,Ja).zip",Big Bang Pro Wrestling,jp,47071,69
Bikkuriman 2000 - Viva! Pocket Festival! (Japan).zip,Bikkuriman 2000 - Viva! Pocket Festiva!,jp,51150,86
Biomotor Unitron (Japan).zip,Bio Motor Unitron,jp,47025,
Biomotor Unitron (Japan) (Beta).zip,,jp,,
"Biomotor Unitron (USA, Europe).zip",Bio Motor Unitron,"us,eu",47025,
Bust-A-Move Pocket (USA).zip,Bust-A-Move Pocket,us,87588,
Bust-A-Move Pocket (USA) (Beta).zip,,us,,
"Cool Boarders Pocket (Japan, Europe) (En,Ja).zip",Cool Boarders Pocket,eu,51140,59
Cool Cool Jam (Japan).zip,Cool Cool Jam,jp,51139,68
Cool Cool Jam (USA) (Proto).zip,Cool Cool Jam,us,51139,59
"Crush Roller (World) (En,Ja).zip",Crush Roller,wor,47027,55
"Dark Arms - Beast Buster 1999 (World) (En,Ja).zip",Dark Arms - Beast Buster 1999,wor,47028,74
Delta Warp (Japan) (Beta).zip,Delta Warp,jp,51151,51
"Delta Warp (Japan) (En,Ja).zip",Delta Warp,jp,51151,50
Densetsu no Ogre Battle Gaiden - Zenobia no Ouji (Japan).zip,Densetsu No Ogre Battle - Zenobia No Ouji,jp,47029,77
Densha de Go! 2 on Neo Geo Pocket (Japan).zip,Densha De Go! 2,jp,47030,47
Densha de Go! 2 on Neo Geo Pocket (Japan) (Beta).zip,Densha De Go! 2,jp,47030,42
"Dive Alert - Becky's Version (USA, Europe).zip",Dive Alert - Becky's Version,"us,eu",47031,76
Dive Alert - Burn Hen (Japan).zip,Dive Alert - Matt's Version,jp,87554,
Dive Alert - Burn Hen (Japan) (Beta).zip,,jp,,
"Dive Alert - Matt's Version (USA, Europe).zip",Dive Alert - Matt's Version,"us,eu",87554,75
Dive Alert - Rebecca Hen (Japan).zip,Dive Alert - Becky's Version,jp,47031,
Dokodemo Mahjong (Japan).zip,Doko Demo Mahjong,jp,87555,67
"Dynamite Slugger (Japan, Europe) (En,Ja).zip",Dynamite Slugger,eu,87556,53
Evolution - Eternal Dungeons (Europe).zip,Evolution - Eternal Dungeon,eu,47032,79
Fantastic Night Dreams - Cotton (Europe).zip,Fantastic Night Dreams - Cotton,eu,47033,83
Fantastic Night Dreams - Cotton (Japan).zip,Fantastic Night Dreams - Cotton,jp,47033,84
Faselei! (Europe).zip,Faselei!,eu,47034,55
Faselei! (Japan).zip,Faselei!,jp,47034,57
"Fatal Fury F-Contact - Pocket Fighting Series (World) (En,Ja).zip",Fatal Fury - First Contact,wor,47035,46
Ganbare Neo Poke-kun (Kari) (Japan).zip,Ganbare Neo Poke-kun,jp,47036,68
