path,ssName,ssRegion,ssId,confidence
[BIOS] Commodore 232 (Japan) (Proto).zip,,,,
"[BIOS] Commodore 1551 (USA, Europe).zip",,,,
[BIOS] Commodore Plus-4 (Europe) (R3).zip,,,,
[BIOS] Commodore Plus-4 (Europe) (R4).zip,,,,
[BIOS] Commodore Plus-4 (Europe) (R5).zip,,,,
[BIOS] Commodore Plus-4 (USA) (R4).zip,,,,
[BIOS] Commodore Plus-4 (USA) (R5).zip,,,,
[BIOS] Commodore V364 (USA) (Proto).zip,,,,
"Atomic Mission (USA, Europe).zip",Atomic Mission,"us,eu",59002,61
Calc Plus (USA) (Program).zip,Calc Plus,us,59003,47
Commodore 16 Keyboard Tutorial Cartridge (USA) (Program).zip,,,,
Financial Advisor (USA) (Program).zip,Financial Advisor,us,59005,63
"Jack Attack (USA, Europe).zip",Jack Attack,"us,eu",59006,55
LOGO (USA) (Program).zip,,,,
Octasoft BASIC v7.0 (Hungary) (Program).zip,Octasoft Basic V7.0,,59008,45
"Pirate Adventure (USA, Europe).zip",Pirate Adventure,"us,eu",59009,64
"Strange Odyssey (USA, Europe).zip",Strange Odyssey,"us,eu",59010,62
"Viduzzles (USA, Europe).zip",Viduzzles,"us,eu",59011,50
