path,ssName,ssRegion,ssId,confidence
3 Ninjas Kick Back (USA).zip,3 Ninjas Kick Back,us,2742,78
3x3 Eyes - Juuma Houkan (Japan).zip,3x3 Eyes - Juuma Houkan,jp,2773,79
3x3 Eyes - Seima Kourinden (Japan).zip,3x3 Eyes - Seima Kourinden,jp,2643,81
4-nin Shougi (Japan).zip,4 Nin Shogi,jp,38566,
"7th Saga, The (USA).zip","7th Saga, The",us,2323,72
90 Minutes - European Prime Goal (Europe).zip,90 Minutes - European Prime Goal,eu,2678,83
2020 Super Baseball (USA).zip,Super Baseball 2020,us,2652,62
'96 Zenkoku Koukou Soccer Senshuken (Japan).zip,'96 Zenkoku Koukou Soccer Senshuken,jp,38563,85
A.S.P. - Air Strike Patrol (USA).zip,Air Strike Patrol,us,2560,
Aaahh!!! Real Monsters (USA).zip,Aaahh!!! Real Monsters,us,2440,81
ABC Monday Night Football (USA).zip,Abc Monday Night Football,us,18989,77
Accele Brid (Japan).zip,Accele Brid,jp,2777,65
Ace o Nerae! (Japan).zip,Ace Wo Nerae !,jp,2733,63
ACME Animation Factory (USA).zip,Acme Animation Factory,us,18923,70
Acrobat Mission (Japan) (En).zip,Acrobat Mission,jp,18990,64
Action Pachio (Japan).zip,Action Pachio,jp,38567,68
ActRaiser 2 (USA).zip,Actraiser 2,us,2236,62
ActRaiser (USA).zip,Actraiser,us,2212,
"Addams Family Values (USA) (En,Fr,De).zip",Addams Family Values,us,2359,66
"Addams Family, The (USA).zip","Addams Family, The",us,2288,78
"Addams Family, The - Pugsley's Scavenger Hunt (USA).zip","Addams Family - Pugsley's Scavenger Hunt, The",us,2357,82
Advanced Dungeons & Dragons - Eye of the Beholder (USA).zip,Advanced Dungeons And Dragons - Eye Of The Beholder,us,2468,84
"Adventures of Batman & Robin, The (USA).zip","Adventures Of Batman And Robin, The",us,2194,79
"Adventures of Dr. Franken, The (USA).zip","Adventures Of Dr. Franken, The",us,18991,83
"Adventures of Kid Kleets, The (USA) (En,Fr,Es).zip",Adventures of Kid Kleets,us,2588,
"Adventures of Rocky and Bullwinkle and Friends, The (USA).zip","Adventures Of Rocky And Bullwinkle And Friends, The",us,2886,86
Adventures of Yogi Bear (USA).zip,Adventures Of Yogi Bear,us,2534,79
Aero Fighters (USA).zip,Aero Fighters / Sonic Wings,us,2443,
Aero the Acro-Bat 2 (USA).zip,Aero The Acro-bat 2,us,2627,71
Aero the Acro-Bat (USA).zip,Aero The Acro-bat,us,2437,
Aerobiz (USA).zip,Aerobiz,us,2727,58
Aerobiz Supersonic (USA).zip,Aerobiz Supersonic,us,2612,78
Aging Cassette (Japan).zip,,jp,,
AIII S.V. - A Ressha de Ikou 3 - Super Version (Japan).zip,A3 S.v. - A Ressha De Ikou 3 - Super Version,jp,38568,80
Air Cavalry (USA).zip,Air Cavalry,us,18993,69
Akagawa Jirou - Majotachi no Nemuri (Japan) (Rev 1).zip,Akagawa Jirou Majo-tachi No Nemuri,jp,38575,72
Akazukin Chacha (Japan).zip,Akazukin Chacha,jp,38576,71
