path,ssName,ssRegion,ssId,confidence
21 Emon - Mezase Hotel Ou!! (Japan).zip,21 Emon - Mezase Hotel Ou!!,jp,78594,98
1943 Kai (Japan).zip,1943 Kai,jp,78593,94
[BIOS] CD-ROM System (Japan) (v1.0).zip,,jp,,
[BIOS] CD-ROM System (Japan) (v2.0).zip,,jp,,
[BIOS] CD-ROM System (Japan) (v2.1).zip,,jp,,
[BIOS] Games Express CD Card (Japan) (Blue Version).zip,,jp,,
[BIOS] Games Express CD Card (Japan) (Green Version).zip,,jp,,
[BIOS] Super CD-ROM System (Japan) (v3.0).zip,,jp,,
[BIOS] TurboGrafx CD Super System Card (USA) (v3.0).zip,,us,,
[BIOS] TurboGrafx CD System Card (USA) (v2.0).zip,,us,,
Adventure Island (Japan).zip,Adventure Island,jp,14468,
Aero Blasters (Japan).zip,Aero Blasters,jp,59772,96
Aero Blasters (USA).zip,Aero Blasters,us,59772,96
After Burner II (Japan).zip,After Burner 2,jp,14523,87
Air Zonk (USA).zip,Air Zonk,us,14526,
Alien Crush (Japan).zip,Alien Crush,jp,14543,96
Alien Crush (USA).zip,Alien Crush,us,14543,96
All Star Power League (Japan).zip,,jp,,
Andre Panza Kick Boxing (USA).zip,Andre Panza Kick Boxing,us,59818,98
Ankoku Densetsu (Japan).zip,Ankoku Densetsu,jp,14607,
Aoi Blink (Japan).zip,Aoi Blink,jp,78597,95
Appare! Gateball (Japan).zip,Appare Gateball,jp,78598,94
Armed F (Japan).zip,Formation Armed F,jp,78648,56
Artist Tool (Japan).zip,Artist Tool,jp,78599,96
Atomic Robo-Kid Special (Japan).zip,Atomic Robo-kid Special,jp,59773,94
AV Poker - World Gambler (Japan) (Unl).zip,,jp,,
Ballistix (Japan).zip,Ballistix,jp,59774,95
Ballistix (USA).zip,Ballistix,us,59774,95
Bari Bari Densetsu (Japan).zip,Bari Bari Densetsu,jp,78601,97
Barunba (Japan).zip,Barunba,jp,78602,93
Batman (Japan).zip,Batman,jp,78603,92
Battle Lode Runner (Japan).zip,Battle Lode Runner,jp,14566,97
Battle Royale (USA).zip,Battle Royale,us,59775,96
Be Ball (Japan).zip,Be Ball,jp,14556,
Benkei Gaiden (Japan).zip,Benkei Gaiden,jp,78721,96
Bikkuriman World (Japan).zip,,jp,,
Blazing Lazers (USA).zip,Blazing Lazers,us,78606,97
Blodia (Japan).zip,Blodia,jp,125863,92
Bloody Wolf (USA).zip,Bloody Wolf,us,59776,96
Bodycon Quest II (Japan) (Unl).zip,Body Conquest 2,jp,78608,67
Bomberman '93 (Japan).zip,Bomberman '93,jp,14484,96
Bomberman '93 (USA).zip,Bomberman '93,us,14484,96
"Bomberman '93 (USA, Europe) (Virtual Console).zip",Bomberman '93,"us,eu",14484,93
Bomberman '93 - Special Version (Japan).zip,Bomberman '93 Special,jp,190749,79
Bomberman '94 (Japan).zip,Bomberman '94,jp,14481,96
Bomberman (Japan).zip,Bomberman,jp,59777,95
Bomberman (USA).zip,Bomberman,us,59777,95
Bomberman - Users Battle (Japan).zip,Bomberman - Users Battle,jp,78610,98
Bonk 3 - Bonk's Big Adventure (USA).zip,,us,,
Bonk's Adventure (USA).zip,,us,,
Bonk's Revenge (USA).zip,,us,,
"Bonk's Revenge (USA, Europe) (Virtual Console).zip",,"us,eu",,
Bouken Danshaku Don - The Lost Sunheart (Japan).zip,Bouken Danshaku Don - The Lost Sunheart,jp,78609,99
Boxyboy (USA).zip,Boxyboy,us,78612,93
Bravoman (USA).zip,Bravoman,us,78613,94
Break In (Japan).zip,Break In,jp,14598,94
Bubblegum Crash! - Knight Sabers 2034 (Japan).zip,Bubblegum Crash! - Knight Sabers 2034,jp,59781,99
Bull Fight - Ring no Hasha (Japan).zip,Bull Fight - Ring No Haja,jp,59782,88
Burning Angels (Japan).zip,Burning Angels,jp,59783,97
Busou Keiji - Cyber Cross (Japan).zip,Busou Keiji - Cyber Cross,jp,78614,98
Cadash (Japan).zip,Cadash,jp,14511,92
Cadash (USA).zip,Cadash,us,14511,92
Champion Wrestler (Japan).zip,Champion Wrestler,jp,78615,97
Champions Forever Boxing (USA).zip,Champions Forever Boxing,us,78616,98
Chase H.Q. (USA).zip,Chase H.q.,us,14520,86
Chew-Man-Fu (USA).zip,Chew Man Fu,us,14556,78
Chibi Maruko-chan - Quiz de Piihyara (Japan).zip,Chibi Maruko Chan - Quiz De Piihyara,jp,78617,90
Chikudenya Toubei - Kubikiri Yakata Yori (Japan).zip,Chikudenya Toubei - Kubikiri Yakata Yori,jp,78618,99
China Warrior (USA).zip,China Warrior,us,78788,96
Chouzetsurinjin Bravoman (Japan).zip,,jp,,
Circus Lido (Japan).zip,Circus Lido,jp,78620,96
City Hunter (Japan).zip,City Hunter,jp,59789,96
Columns (Japan).zip,Columns,jp,59788,93
Coryoon - Child of Dragon (Japan).zip,Coryoon - Child Of Dragon,jp,78621,94
Cratermaze (USA).zip,Cratermaze,us,14527,95
