path,ssName,ssRegion,ssId,confidence
3D Crazy Coaster (USA).zip,3d Crazy Coaster,us,58798,71
3D Mine Storm (USA).zip,3d Mine Storm,us,58800,67
3D Narrow Escape (USA).zip,3d Narrow Escape,us,58801,71
[BIOS] GCE Vectrex (World).zip,,,,
AnimAction - Advanced Animation (USA).zip,Animaction - Advanced Animation,us,58810,83
Armor..Attack (World).zip,Armor Attack,wor,58812,59
Art Master (USA).zip,Art Master,us,58814,67
"Bedlam (USA, Europe).zip",Bedlam,"us,eu",58823,40
Berzerk (World).zip,Berzerk,wor,58825,54
"Blitz! - Action Football (USA, Europe) (0F11CE0C).zip",Blitz! Action Football,"us,eu",58827,59
"Blitz! - Action Football (USA, Europe) (881B27C5).zip",Blitz! Action Football,"us,eu",58827,59
Clean Sweep (World).zip,Clean Sweep,wor,58831,65
Cosmic Chasm (World).zip,Cosmic Chasm,wor,58834,67
Dark Tower (USA) (Proto).zip,Dark Tower,us,58836,53
Engine Analyzer (USA) (Proto).zip,Engine Analyzer,us,58841,62
"Fortress of Narzod (USA, Europe).zip",Fortress Of Narzod,"us,eu",58844,63
Heads-Up - Action Soccer (USA).zip,Heads Up - Action Soccer,us,58850,79
HyperChase - Auto Race (World).zip,HyperChase - Auto Race,wor,58851,
Mail Plane (USA) (Proto) (05838962).zip,Mail Plane,us,59197,41
Mail Plane (USA) (Proto) (DA1AC0DB).zip,Mail Plane,us,59197,41
Melody Master - Music Composition and Entertainment (USA).zip,Melody Master - Music Composition And Entertainment,us,58862,89
Mine Storm (World).zip,Mine Storm,wor,58864,
Mine Storm II (USA) (Rev 2).zip,Mine Storm 2,us,58865,56
Mr. Boston Clean Sweep (Europe).zip,Mr. Boston Clean Sweep,eu,269012,77
Pitcher's Duel (USA) (Proto).zip,Pitcher's Duel,us,59206,61
Polar Rescue (USA).zip,Polar Rescue,us,58878,71
Polar Rescue (USA) (Beta).zip,,,,
Pole Position (USA) (A00ED3D6).zip,Pole Position,us,58879,55
Pole Position (USA) (C10F37D8).zip,Pole Position,us,58879,55
RA+A Spectrum I+ Stress Tester (USA) (Proto).zip,Ra+a Spectrum I+ Stress Tester,us,58882,72
Rip Off (World).zip,Rip-off,wor,58884,38
"Scramble (USA, Europe).zip",Scramble,"us,eu",58895,47
Sledge 3D (USA) (Sample).zip,Sledge 3d,us,59207,43
Solar Quest (World).zip,Solar Quest,wor,58896,65
Space Wars (World).zip,Space Wars,wor,58943,62
"Spike (USA, Europe).zip",Spike,"us,eu",58945,
Spin ball (USA).zip,Spin Ball,us,58951,57
Star Castle (USA).zip,Star Castle,us,58952,69
Star Ship (Europe).zip,,,,
Star Trek - The Motion Picture (USA).zip,Star Trek - The Motion Picture,us,58956,86
StarHawk (World).zip,Starhawk,wor,58958,50
Test Cartridge (USA) (Rev 4) (Proto).zip,Test Cartridge,us,58962,52
Tour De France (USA) (Proto).zip,Tour De France,us,58966,61
WebWarp (Europe).zip,,,,
WebWars (USA).zip,Web Wars,us,58994,56
