path,ssName,ssRegion,ssId,confidence
[BIOS] Commodore 1540 (World).zip,,wor,,
[BIOS] Commodore VIC-20 (Europe).zip,,eu,,
[BIOS] Commodore VIC-20 (Sweden).zip,,se,,
[BIOS] Commodore VIC-20 (USA).zip,,us,,
[BIOS] Commodore VIC-1001 (Japan).zip,,jp,,
A.E. (World).zip,A.e.,wor,88711,67
Adventureland Adventure (World) (SYS 32592).zip,Adventureland,wor,47972,68
Aggressor (Europe).zip,Aggressor,eu,47975,95
"Aggressor (Japan, USA).zip",Aggressor,"us,jp",47975,95
"Alien (Japan, USA).zip",,"us,jp",,
"Alien Blitz (Japan, USA).zip",Alien Blitz,"us,jp",47978,96
"Alien Sidestep (Japan, USA).zip",Alien Sidestep,"us,jp",47987,97
"Alphabet Zoo (Japan, USA).zip",Alphabet Zoo,"us,jp",47996,96
Amazing Maze (World).zip,Amazing Maze,wor,47998,96
Amazing Maze (World) (Alt 1).zip,Amazing Maze,wor,47998,92
Amidar (Europe).zip,Amidar,eu,47999,92
Amok! (World).zip,Amok,wor,48001,80
Ape Escape (World).zip,Ape Escape,wor,48012,95
Ape Escape (World) (Alt 1).zip,Ape Escape,wor,48012,91
"Apple Panic (Japan, USA).zip",Apple Panic,"us,jp",48014,96
Arachnoid (World).zip,Arachnoid,wor,48016,95
Arcadia (Europe).zip,Arcadia,eu,48018,93
"Artillery Duel (Japan, USA).zip",Artillery Duel,"us,jp",48022,97
Assam (World) (SYS 700) (Program).zip,,wor,,
Astroblitz (Europe).zip,Astroblitz,eu,48033,95
"Astroblitz (Japan, USA).zip",Astroblitz,"us,jp",48033,95
Atlantis (Europe).zip,Atlantis,eu,48037,94
"Atlantis (Japan, USA).zip",Atlantis,"us,jp",48037,94
Attack of the Mutant Camels (World).zip,Attack Of The Mutant Camels,wor,48039,91
"Avenger (Japan, USA).zip",,"us,jp",,
"Bandits (Japan, USA).zip",Bandits,"us,jp",48051,93
Bank Robber (World).zip,Bank Robber,wor,48053,96
BASIC 4.0 (World) (Program).zip,,wor,,
BASIC V5 (World) (Program).zip,,wor,,
"Battlezone (Japan, USA).zip",Battle Zone,"us,jp",48057,82
Black Hole (Europe).zip,Black Hole,eu,48068,95
"Black Hole (Japan, USA).zip",Black Hole,"us,jp",48068,95
Buck Rogers - Planet of Zoom (World).zip,Buck Rogers - Planet Of Zoom,wor,48107,95
Bug Crusher (World).zip,Bug Crusher,wor,48108,96
Buti Toolkit (World) (Program).zip,,wor,,
"Cannonball Blitz (Japan, USA).zip",Cannonball Blitz,"us,jp",48117,97
"Capture the Flag (Japan, USA).zip",Capture The Flag,"us,jp",48118,91
"Capture the Flag (Japan, USA) (Alt 1).zip",Capture The Flag,"us,jp",48118,88
Cassette Turbo (World) (Program).zip,Castle Dungeon,wor,183759,53
Catch-a-Snatch (Europe).zip,Catcha Snatcha,eu,48131,83
Cave-in (World).zip,Cave-in,wor,48138,93
Cave-in (World) (Alt 1).zip,Cave-in,wor,48138,88
"Centipede (Japan, USA).zip",Centipede,"us,jp",48144,95
Choplifter (Europe).zip,Choplifter,eu,48158,95
"Choplifter (Japan, USA).zip",Choplifter,"us,jp",48158,95
"Choplifter (Japan, USA) (Alt 1).zip",Choplifter,"us,jp",48158,91
Chuck Norris Superkicks (World).zip,Chuck Norris Superkicks,wor,48162,98
Cloudburst (Europe).zip,Cloudburst,eu,48168,95
"Clowns (Japan, USA) (Joystick).zip",Clowns,"us,jp",48169,86
"Clowns (Japan, USA) (Paddle).zip",Clowns,"us,jp",48169,86
Combasic (World) (SYS 45056) (Program).zip,,wor,,
"Commodore Artist (Japan, USA) (Program).zip",,"us,jp",,
Computer War (World).zip,Computer War,wor,48180,96
"Congo Bongo (Japan, USA).zip",Congo Bongo,"us,jp",48181,96
Cosmic Cruncher (World).zip,Cosmic Cruncher,wor,48190,97
Cosmic Cruncher (World) (Alt 1).zip,Cosmic Cruncher,wor,48190,94
Cosmic Cruncher (World) (Alt 2).zip,Cosmic Cruncher,wor,48190,94
"Cosmic Jailbreak (Japan, USA).zip",Cosmic Jailbreak,"us,jp",48193,97
"Count Adventure, The (World) (SYS 32592).zip",,wor,,
"Creepy Corridors (Japan, USA).zip",Creepy Corridors,"us,jp",48207,97
Crossfire (Europe).zip,Crossfire,eu,48212,95
"Crossfire (Japan, USA).zip",Crossfire,"us,jp",48212,95
Cyclon (World).zip,Cyclon,wor,48220,92
"Dancing Bear, The (Japan, USA).zip","Dancing Bear, The","us,jp",48227,97
Deadly Duck (Europe).zip,Deadly Duck,eu,48231,96
Deadly Skies (Europe).zip,Deadly Skies,eu,48232,96
Defender (World) (v1.1).zip,Defender,wor,48240,89
Demon Attack (Europe).zip,Demon Attack,eu,48249,96
"Demon Attack (Japan, USA).zip",Demon Attack,"us,jp",48249,96
"Dig Dug (Japan, USA).zip",Dig Dug,"us,jp",48259,93
"Donkey Kong (Japan, USA).zip",Donkey Kong,"us,jp",48267,96
"Dot Gobbler (Japan, USA).zip",Dot Gobbler,"us,jp",48270,96
"Dot Gobbler (Japan, USA) (Alt 1).zip",,"us,jp",,
Dragonfire (World).zip,Dragonfire,wor,48277,95
Droids (World).zip,Droids,wor,48282,92
E.T. - The Extra-Terrestrial (Europe).zip,E.t. - The Extra Terrestrial,eu,48290,91
E.T. - The Extra-Terrestrial (Europe) (Alt 1).zip,,,,
ExBASIC Level II (World) (Program).zip,,wor,,
Face Maker (World).zip,Face Maker,wor,48308,95
Face Maker (World) (Alt 1).zip,Face Maker,wor,48308,91
"Fast Eddie (Japan, USA).zip",Fast Eddie,"us,jp",48312,95
"Final Orbit + Bumper Bash (Japan, USA).zip",Final Orbit And Bumper Bash,"us,jp",48318,91
"Final Orbit + Bumper Bash (Japan, USA) (Alt 1).zip",,"us,jp",,
"Flipper 1.0 (Japan, USA).zip",Flipper 1.0,"us,jp",88721,96
"Fourth Encounter, The (World).zip","Fourth Encounter, The",wor,48335,98
"Frogger (Japan, USA).zip",Frogger,"us,jp",48342,93
Fun with Music (World).zip,Fun With Music,wor,48348,90
Galaxian (World).zip,Galaxian,wor,48355,94
"Garden Wars (Japan, USA).zip",Garden Wars,"us,jp",48364,96
"Garden Wars (Japan, USA) (Alt 1).zip",Garden Wars,"us,jp",48364,92
"Ghost Manor (Japan, USA).zip",Ghost Manor,"us,jp",48369,96
Gold Fever (World).zip,Gold Fever,wor,48375,95
"Gorf (Japan, USA).zip",Gorf,"us,jp",48381,89
Gridrunner (Europe).zip,Gridrunner,eu,48393,95
"Gridrunner (Japan, USA).zip",Gridrunner,"us,jp",48393,95
Handy Toolkit (Netherlands) (Program).zip,,eu,,
HesMon (World) (v1.1) (Alt 1) (Program).zip,,wor,,
HesMon (World) (v1.1) (Program).zip,,wor,,
HesWriter (World) (v1.1) (Program).zip,,wor,,
Hires Toolkit (World) (SYS 45056) (Program).zip,,wor,,
Home Babysitter (World).zip,Home Babysitter,wor,48414,97
Household Finance (World) (Program).zip,,wor,,
IFR (Flight Simulator) (World).zip,,wor,,
IFR (Flight Simulator) (World) (Alt 1).zip,,wor,,
"In the Chips (Japan, USA).zip",In The Chips,"us,jp",48432,88
