path,ssName,ssRegion,ssId,confidence
3-D Tetris (USA).zip,3d Tetris,us,4731,55
Bound High (Japan) (En) (Proto).zip,Bound High,jp,44479,44
"Galactic Pinball (Japan, USA).zip",Galactic Pinball,"us,jp",4740,65
Golf (USA).zip,Golf,us,4741,44
Innsmouth no Yakata (Japan).zip,Insmouse No Yakata,jp,4732,61
Jack Bros. (USA).zip,Jack Bros,us,4730,62
Jack Bros. no Meiro de Hiihoo! (Japan).zip,Jack Bros,jp,4730,35
"Mario Clash (Japan, USA).zip",Mario Clash,"us,jp",4725,56
"Mario's Tennis (Japan, USA).zip",Mario's Tennis,"us,jp",4727,62
Nester's Funky Bowling (USA).zip,Nester's Funky Bowling,us,4737,81
Niko-chan Battle (Japan) (Proto).zip,Nikochan Battle,jp,44480,59
Panic Bomber (USA).zip,Panic Bomber,us,4738,71
Red Alarm (Japan).zip,Red Alarm,jp,4734,60
Red Alarm (USA).zip,Red Alarm,us,4734,64
SD Gundam - Dimension War (Japan).zip,Sd Gundam - Dimension War,jp,4735,77
Space Invaders - Virtual Collection (Japan).zip,Space Invaders Virtual Collection,jp,4728,82
Space Pinball (Japan) (En) (Proto).zip,,,,
Space Squash (Japan).zip,Space Squash,jp,4742,67
T&E Virtual Golf (Japan).zip,T&E Virtual Golf,jp,4741,
"Teleroboxer (Japan, USA).zip",Teleroboxer,"us,jp",4744,56
Tobidase! Panibon (Japan).zip,Tobidase! Panibon,jp,4738,39
V-Tetris (Japan).zip,V-tetris,jp,4733,50
Vertical Force (Japan).zip,Vertical Force,jp,4736,70
Vertical Force (USA).zip,Vertical Force,us,4736,74
Virtual Bowling (Japan).zip,Virtual Bowling,jp,3726,71
"Virtual Boy Wario Land (Japan, USA).zip",Virtual Boy Wario Land,"us,jp",4726,72
Virtual Fishing (Japan).zip,Virtual Fishing,jp,3727,71
Virtual Lab (Japan).zip,Virtual Lab,jp,4739,65
Virtual League Baseball (USA).zip,Virtual League Baseball,us,4743,82
Virtual Pro Yakyuu '95 (Japan).zip,Virtual Pro Yakyuu '95,jp,4743,
Waterworld (USA).zip,Waterworld,us,4729,67
