path,ssName,ssRegion,ssId,confidence
[BIOS] WonderSwan Boot ROM (Japan) (En).zip,,,,
Anchorz Field (Japan).zip,Anchorz Field,jp,46248,68
Armored Unit (Japan).zip,Armored Unit,jp,46249,67
Bakusou Dekotora Densetsu for WonderSwan (Japan).zip,Bakus Dekotora Densetsu,jp,38474,61
beat mania for WonderSwan (Japan).zip,,,,
Buffers Evolution (Japan).zip,Buffers Evolution,jp,38476,74
Cardcaptor Sakura - Sakura to Fushigi na Clow Card (Japan).zip,Cardcaptor Sakura - Sakura To Fushigi Na Clow Card,jp,46250,86
Chaos Gear - Michibikareshi Mono (Japan).zip,Chaos Gear - Michibikareshi Mono,jp,46251,84
Chocobo no Fushigi na Dungeon for WonderSwan (Japan) (Rev 3).zip,Chocobo No Fushigi Na Dungeon,jp,38479,58
Chou Aniki - Otoko no Tamafuda (Japan) (Rev 4).zip,Ch Aniki - Otoko No Tamafuda,jp,38478,69
Chou Denki Card Battle - Youfu Makai (Japan) (Rev 3).zip,Chou Denki Card Battle - Youfu Makai,jp,46252,78
Clock Tower for WonderSwan (Japan) (Rev 1).zip,Clock Tower,jp,38480,
Crazy Climber (Japan).zip,Crazy Climber,jp,38481,68
D's Garage 21 Koubo Game - Tane o Maku Tori (Japan).zip,D's Garage 21 - Koubo Game - Tane Wo Maku Tori,jp,38488,85
Densha de Go! 2 (Japan).zip,Densha De Go! 2,jp,38483,67
Densha de Go! (Japan) (Rev 1).zip,Densha De Go!,jp,38482,
Digimon - Ver. WonderSwan (Asia).zip,Digimon - Ver. Wonderswan,asi,46253,79
Digimon Adventure 02 - Tag Tamers (Japan) (Rev 1).zip,Digimon Adventure 02 - Tag Tamers,jp,38484,77
Digimon Adventure - Anode Tamer (Japan) (Rev 1).zip,Digimon Adventure - Anode Tamer,jp,38485,76
Digimon Adventure - Cathode Tamer (Japan).zip,Digimon Adventure - Cathode Tamer,jp,38486,85
Digital Partner (Japan).zip,Digital Partner,jp,46254,71
Dokodemo Hamster (Japan).zip,Dokodemo Hamster,jp,38487,73
Engacho! for WonderSwan (Japan).zip,Engacho! for Wonderswan,jp,38489,76
Fever - Sankyo Koushiki Pachinko Simulation for WonderSwan (Japan).zip,Fever - Sankyo Koushiki Pachinko Simulation,jp,38490,76
Final Lap 2000 (Japan).zip,Final Lap 2000,jp,38491,70
Fire Pro Wrestling for WonderSwan (Japan) (Rev 5).zip,Fire Pro Wrestling for WonderSwan,jp,38492,77
Fishing Freaks - Bass Rise for WonderSwan (Japan).zip,Fishing Freaks - Bassrise For Wonderswan,jp,38493,80
From TV Animation One Piece - Mezase Kaizoku Ou! (Japan).zip,From Tv Animation One Piece - Mezase Kaizoku Ou!,jp,46255,87
Ganso Jajamaru-kun (Japan).zip,Ganso Jajamaru-kun,jp,38494,75
Glocal Hexcite (Japan).zip,Glocal Hexcite,jp,46256,70
Gomoku Narabe & Reversi - Touryuumon (Japan).zip,Gomoku Narabe And Reversi Touryuumon,jp,38496,79
Goraku Ou Tango! (Japan) (Rev 2).zip,Goraku Ou Tango!,jp,38497,62
GunPey (Japan).zip,Gunpey,jp,38499,42
Hanafuda Shiyouyo (Japan).zip,Hanafuda Shiyouyo,jp,46257,74
Harobots (Japan).zip,Harobots,jp,46258,57
Hunter X Hunter - Ishi o Tsugu Mono (Japan) (Rev 2).zip,Hunter X Hunter - Ishi O Tsugu Mono,jp,46259,76
Kakutou Ryouri Densetsu Bistro Recipe - Wonder Battle Hen (Japan).zip,Kakutou Ryouri Densetsu Bistro Recipe - Wonder Battle Hen,jp,46260,90
Kaze no Klonoa - Moonlight Museum (Japan).zip,Kaze No Klonoa - Moonlight Museum,jp,38501,82
Keiba Yosou Shien Soft - Yosou Shinkaron (Japan).zip,Keiba Yosou Shien Soft - Yosou Shinkaron,jp,46261,87
Kiss Yori... - Seaside Serenade (Japan) (Rev 2).zip,Kiss Yori... - Seaside Serenade,jp,46262,76
Kosodate Quiz Dokodemo - My Angel (Japan).zip,Kosodate Quiz Dokodemo - My Angel,jp,46263,85
Kyousouba Ikusei Simulation - Keiba (Japan) (Rev 1).zip,Kyousouba Ikusei Simulation - Keiba,jp,38502,78
Langrisser Millennium WS - The Last Century (Japan) (Rev 1).zip,Langrisser Millennium,jp,38503,50
Last Stand (Japan).zip,Last Stand,jp,46264,62
Lode Runner for WonderSwan (Japan).zip,Lode Runner for WonderSwan,jp,38504,
Macross - True Love Song (Japan).zip,Macross - True Love Song,jp,46265,80
Magical Drop for WonderSwan (Japan).zip,Magical Drop for WonderSwan,jp,38505,
Mahjong Touryuumon (Japan) (Rev 3).zip,Mahjong Touryuumon,jp,46266,64
Makaimura for WonderSwan (Japan).zip,Makai Mura For Wonderswan,jp,46267,69
Medarot Perfect Edition - Kabuto Version (Japan).zip,Medarot Perfect Edition - Kabuto Version,jp,46268,87
Medarot Perfect Edition - Kuwagata Version (Japan).zip,Medarot Perfect Edition - Kuwagata Version,jp,133958,88
Meitantei Conan - Majutsushi no Chousenjou! (Japan).zip,Meitantei Conan - Majutsushi No Chsenj!,jp,38507,81
Meitantei Conan - Nishi no Meitantei Saidai no Kiki! (Japan).zip,Meitantei Conan - Nishi No Meitantei Saidai No Kiki !?,jp,38508,85
Metakomi Theraphy - Nee Kiite! (Japan).zip,Metakomi Theraphy - Nee Kiite!,jp,46269,83
"Mingle Magnet (Japan) (En,Ja) (Rev 1).zip",Mingle Magnet,jp,38509,48
Mobile Suit Gundam MSVS (Japan).zip,Mobile Suit Gundam Msvs,jp,46270,69
MobileWonderGate (Japan) (Rev 1).zip,Mobilewondergate,jp,46271,54
Moero!! Pro Yakyuu Rookies (Japan).zip,Moero!! Pro Yakyuu Rookies,jp,46272,81
Morita Shougi for WonderSwan (Japan).zip,Morita Shougi For Wonderswan,jp,46273,76
Nazo Ou Pocket (Japan).zip,Nazo Ou Pocket,jp,65787,70
Neon Genesis Evangelion - Shito Ikusei (Japan).zip,Neon Genesis Evangelion - Shito Ikusei,jp,99357,86
