path,ssName,ssRegion,ssId,confidence
[BIOS] WonderSwan Color Boot ROM (Japan) (En).zip,,,,
Alchemist Marie & Elie - Futari no Atelier (Japan).zip,Alchemist Marie And Elie - Futari No Atelier,jp,38532,82
Another Heaven - Memory of those Days (Japan).zip,Another Heaven - Memory Of Those Days,jp,46274,81
Arc the Lad - Kishin Fukkatsu (Japan).zip,Arc The Lad - Kijin Fukkatsu,jp,38533,75
Battle Spirit - Digimon Frontier (Japan) (Rev 1).zip,Battle Spirit - Digimon Frontier,jp,38538,
Blue Wing Blitz (Japan).zip,Blue Wing Blitz,jp,38534,71
Dark Eyes - Battle Gate (Japan).zip,Dark Eyes - Battle Gate,jp,46275,79
Dicing Knight. (Japan).zip,Dicing Knight.,jp,38535,70
Digimon - Anode Tamer & Cathode Tamer - Veedramon Version (Asia).zip,Digimon Anode And Cathode Tamer,asi,38537,57
Digimon Adventure 02 - D1 Tamers (Japan) (Rev 1).zip,Digimon Adventure 02 - D1 Tamers,jp,38536,76
"Digimon Tamers - Battle Spirit (Japan) (En,Ja).zip",Digimon Tamers - Battle Spirit,jp,87632,75
Digimon Tamers - Battle Spirit Ver. 1.5 (Japan).zip,Digimon Tamers - Battle Spirit Ver. 1.5,jp,87633,87
Digimon Tamers - Brave Tamer (Japan) (Rev 1).zip,Digimon Tamers - Brave Tamer,jp,38539,74
Digimon Tamers - Digimon Medley (Japan).zip,Digimon Tamers - Digimon Medley,jp,38540,84
Digital Monster - D-Project (Japan) (Rev 1).zip,Digital Monster - D-project,jp,46276,70
Digital Monster Card Game - Ver. WonderSwan Color (Japan).zip,Digital Monster Card Game - Ver. Wonderswan Color,jp,46277,87
Dokodemo Hamster 3 - Odekake Saffron (Japan) (Rev 2).zip,Dokodemo Hamster 3 - O-dekake Safuran,jp,38541,75
Dragon Ball (Japan).zip,Dragon Ball,jp,46278,65
Final Fantasy (Japan).zip,Final Fantasy,jp,38543,
Final Fantasy II (Japan).zip,Final Fantasy 2,jp,38544,65
Final Fantasy IV (Japan).zip,Final Fantasy 4,jp,87635,
Final Lap Special - GT & Formula Machine (Japan).zip,Final Lap Special - Gt And Formula Machine,jp,87637,81
Flash Koibito-kun (Japan).zip,Flash Koibito-kun,jp,87638,74
From TV Animation One Piece - Chopper no Daibouken (Japan).zip,From Tv Animation One Piece - Chopper No Daibouken,jp,87665,86
From TV Animation One Piece - Grand Battle Swan Colosseum (Japan).zip,From Tv Animation One Piece - Grand Battle Swan Colosseum,jp,87666,89
From TV Animation One Piece - Niji no Shima Densetsu (Japan).zip,From Tv Animation One Piece - Niji No Shima Densetsu,jp,87667,86
From TV Animation One Piece - Treasure Wars 2 - Buggy Land e Youkoso (Japan).zip,From Tv Animation One Piece - Treasure Wars 2 - Buggy Land He Youkoso,jp,87669,90
From TV Animation One Piece - Treasure Wars (Japan) (Rev 1).zip,From Tv Animation One Piece - Treasure Wars,jp,87668,79
Front Mission (Japan).zip,Front Mission,jp,38546,68
Gekitou! Crash Gear Turbo - Gear Champion League (Japan).zip,Gekitou! Crash Gear Turbo - Gear Champion League,jp,87639,89
Gensou Maden Saiyuuki Retribution - Hi no Ataru Basho de (Japan) (Rev 2).zip,Gensou Maden Saiyuuki Retribution - Hi No Ataru Basho De,jp,87640,82
Golden Axe (Japan).zip,Golden Axe,jp,38547,62
Gransta Chronicle (Japan).zip,Gransta Chronicle,jp,87641,74
Guilty Gear Petit 2 (Japan).zip,Guilty Gear Petit 2,jp,38549,76
Guilty Gear Petit (Japan).zip,Guilty Gear Petit,jp,38548,
GunPey EX (Japan).zip,Gunpey Ex,jp,38550,47
"Hanjuku Hero - Ah, Sekai yo Hanjuku Nare...!! (Japan) (Rev 1).zip",Hanjuku Eiy - Aa Sekai Yo Hanjuku Nare,jp,38551,64
Hataraku Chocobo (Japan).zip,Hataraku Chocobo,jp,87643,73
Hunter X Hunter - Greed Island (Japan).zip,Hunter X Hunter - Greed Island,jp,87644,83
Hunter X Hunter - Michibikareshi Mono (Japan).zip,Hunter X Hunter - Michibikareshi Mono,jp,87645,86
Hunter X Hunter - Sorezore no Ketsui (Japan).zip,Hunter X Hunter - Sorezore No Ketsui,jp,87646,83
Inuyasha - Fuuun Emaki (Japan).zip,Inuyasha - Fuuun Emaki,jp,87648,79
Inuyasha - Kagome no Sengoku Nikki (Japan).zip,Inuyasha - Kagome No Sengoku Nikki,jp,87649,82
Inuyasha - Kagome no Yume Nikki (Japan).zip,Inuyasha - Kagome No Yume Nikki,jp,87650,81
Judgement Silversword - Rebirth Edition (Japan) (Rev 5C21).zip,Judgement Silversword - Rebirth Edition,jp,87651,77
Kidou Senshi Gundam - Giren no Yabou - Tokubetsu Hen - Aoki Hoshi no Hasha (Japan).zip,Kidou Senshi Gundam - Giren No Yabou - Tokubetsu Hen - Aoki Hoshi No Hasha,jp,87658,90
Kidou Senshi Gundam Seed (Japan).zip,Kidou Senshi Gundam Seed,jp,87659,80
Kidou Senshi Gundam Vol. 1 - Side 7 (Japan).zip,Kidou Senshi Gundam Vol. 1 - Side 7,jp,87660,85
Kidou Senshi Gundam Vol. 2 - Jaburo (Japan).zip,Kidou Senshi Gundam Vol. 2 - Jaburo,jp,87661,85
Kidou Senshi Gundam Vol. 3 - A Baoa Qu (Japan).zip,Kidou Senshi Gundam Vol. 3 - A Baoa Qu,jp,87662,86
Kinnikuman II-Sei - Choujin Seisenshi (Japan).zip,Kinnikuman 2sei - Choujin Seisenshi,jp,87652,79
Kinnikuman II-Sei - Dream Tag Match (Japan).zip,Kinnikuman 2sei - Dream Tag Match,jp,87653,78
Kurupara! (Japan) (Rev 1).zip,Kurupara!,jp,87654,47
Last Alive (Japan).zip,Last Alive,jp,87655,62
Makai Toushi Sa-Ga (Japan).zip,Makai Toushi Sa-ga,jp,87636,71
Meitantei Conan - Yuugure no Oujo (Japan).zip,Meitantei Conan : Yuugure no Oujo ,jp,87630,
Memories Off - Festa (Japan).zip,Memories Off - Festa,jp,87656,77
Mikeneko Holmes - Ghost Panic (Japan).zip,Mikeneko Holmes - Ghost Panic,jp,87657,83
Mr. Driller (Japan).zip,Mr. Driller,jp,38554,65
Namco Super Wars (Japan).zip,Namco Super Wars,jp,87663,73
Naruto - Konoha Ninpouchou (Japan).zip,Naruto - Konoha Ninpouchou,jp,87664,81
Pocket no Naka no Doraemon (Japan).zip,Pocket No Naka No Doraemon,jp,87634,75
Raku Jongg (Japan).zip,Raku Jongg,jp,87670,62
Rhyme Rider Kerorican (Japan).zip,Rhyme Rider Kerorican,jp,38555,78
Riviera - Yakusoku no Chi Riviera (Japan).zip,Riviera - Yakusoku No Chi Riviera,jp,87671,82
Rockman EXE - N1 Battle (Japan) (Rev 1).zip,Rockman Exe - N1 Battle,jp,87672,64
Rockman EXE WS (Japan).zip,Rockman Exe Ws,jp,87673,55
Romancing Sa-Ga (Japan).zip,Romancing Saga,jp,38557,63
RUN=DIM - Return to Earth (Japan).zip,Run=dim - Return To Earth,jp,87675,61
Saint Seiya - Ougon Densetsu Hen - Perfect Edition (Japan).zip,Saint Seiya - Ougon Densetsu Hen - Perfect Edition,jp,87676,89
SD Gundam - Operation U.C. (Japan).zip,Sd Gundam - Operation U.c.,jp,87680,75
SD Gundam Eiyuu Den - Kishi Densetsu (Japan).zip,Sd Gundam Eiyuuden - Kishi Densetsu,jp,87679,80
SD Gundam Eiyuu Den - Musha Densetsu (Japan).zip,Sd Gundam Eiyuuden - Musha Densetsu,jp,87681,80
SD Gundam G Generation - Gather Beat 2 (Japan).zip,Sd Gundam G-generation - Gather Beat 2,jp,87677,80
SD Gundam G Generation - Mono-Eye Gundams (Japan).zip,Sd Gundam G-generation - Mono-eye Gundams,jp,87678,79
Senkaiden Ni - TV Animation Senkaiden Houshin Engi Yori (Japan).zip,Senkaiden Ni - Tv Animation Senkaiden Houshin Engi Yori,jp,87684,89
Shaman King - Asu e no Ishi (Japan) (Rev 1).zip,Shaman King - Asu Heno Ishi,jp,87682,70
Sorobang (Japan) (Rev 1).zip,Soroban Gu,jp,87683,42
Star Hearts - Hoshi to Daichi no Shisha (Japan).zip,Star Hearts - Hoshi To Daichi No Shisha,jp,87686,82
Super Robot Taisen Compact 3 (Japan) (v1.6).zip,Super Robot Taisen Compact 3,jp,87689,75
Super Robot Taisen Compact for WonderSwan Color (Japan).zip,Super Robot Taisen Compact For Wonderswan Color,jp,87688,85
Terrors 2 (Japan).zip,Terrors 2,jp,38558,60
Tetris (Japan).zip,Tetris,jp,87690,50
Tonpuusou (Japan).zip,Tonpusou,jp,87691,55
Uchuu Senkan Yamato (Japan).zip,Uchuu Senkan Yamato,jp,87685,76
Ultraman - Hikari no Kuni no Shisha (Japan).zip,Ultraman - Hikari No Kuni No Shisha,jp,87692,80
Wild Card (Japan).zip,Wild Card,jp,38559,60
With You - Mitsumete Itai (Japan).zip,With You - Mitsumete Itai,jp,38560,81
Wizardry Scenario 1 - Proving Grounds of the Mad Overlord (Japan).zip,Wizardry Scenario 1 - Proving Grounds Of The Mad Overlord,jp,87694,87
Wonder Classic (Japan).zip,Wonder Classic,jp,38562,70
X - Card of Fate (Japan).zip,X - Card Of Fate,jp,87695,68
XI Little (Japan).zip,Xi [sai] Little,jp,87696,44
