system,path,name,ssId,region,desc,rating,releasedate,developer,publisher,genre,players,3dboxes,physicalmedia,marquees,videos,screenshots,titlescreens,fanarts
atari2600,3-D Genesis (USA) (Proto).zip,Yes,123512,us,Yes,,Yes,,,Yes,,Yes,Yes,Yes,Yes,,,
atari2600,3-D Ghost Attack (USA) (Proto).zip,Yes,123513,us,Yes,,Yes,,,Yes,,Yes,Yes,Yes,Yes,,,
atari2600,3-D Havoc (USA) (Proto).zip,Yes,123514,us,Yes,,Yes,,,,Yes,Yes,Yes,Yes,Yes,,,
atari2600,3-D Tic-Tac-Toe (Europe).zip,Yes,14001,eu,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,,,
atari2600,3-D Tic-Tac-Toe (USA).zip,Yes,14001,us,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,,,
atari2600,3-D Zapper (USA) (Proto) (1982-12-15).zip,Yes,126645,us,Yes,,Yes,,,Yes,Yes,Yes,Yes,,Yes,,,
atari2600,3-D Zapper (USA) (Proto) (Earlier).zip,Yes,126645,us,Yes,,Yes,,,Yes,Yes,Yes,Yes,,Yes,,,
atari2600,4 Game in One (Europe) (Bit Corporation).zip,,,,,,,,,,,,,,,,,
atari2600,32 in 1 Game Cartridge (Europe).zip,Yes,37908,eu,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,,,
atari2600,"Abre-te, Sesamo! (Brazil) (Unl).zip",,,,,,,,,,,,,,,,,
atari2600,Acid Drop (Europe).zip,Yes,13997,eu,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,,,
atari2600,Action Man - Action Force (Europe).zip,,,,,,,,,,,,,,,,,
atari2600,Actionauts (USA) (Proto) (1984-06-22).zip,Yes,37663,us,Yes,,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,,,
atari2600,"Activision Decathlon, The (Europe).zip",Yes,14008,eu,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,,,
atari2600,"Activision Decathlon, The (France).zip",Yes,14008,fr,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,,,
atari2600,"Activision Decathlon, The (USA).zip",Yes,14008,us,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,,,
atari2600,Adventure (Europe).zip,Yes,13992,eu,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,,,
atari2600,Adventure (USA).zip,Yes,13992,us,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,,,
atari2600,Adventures of TRON (USA).zip,,,,,,,,,,,,,,,,,
atari2600,Air Raid (USA).zip,Yes,14000,us,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,,,
atari2600,Air Raiders (Europe).zip,,,,,,,,,,,,,,,,,
atari2600,Air Raiders (USA).zip,,,,,,,,,,,,,,,,,
atari2600,Air-Sea Battle (Europe).zip,Yes,13999,eu,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,,,
atari2600,"Air-Sea Battle ~ Target Fun (Japan, USA).zip",Yes,13999,"us,jp",Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,,,
atari2600,Airlock (Europe).zip,Yes,37665,eu,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,,,
atari2600,Airlock (USA).zip,Yes,37665,us,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,,,
atari2600,Airlock (USA) (Proto).zip,Yes,37665,us,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,,,
atari2600,Alien (Brazil) (Unl).zip,Yes,37667,br,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,,,
atari2600,Alien (USA).zip,Yes,37667,us,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,,,
atari2600,Aliens Return (Europe).zip,,,eu,,,,,,,,,,,,,,
atari2600,Alligator People (USA) (Proto).zip,Yes,37668,us,Yes,,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,,,
atari2600,Alpha Beam (Europe) (Beta) (1983-06-03).zip,,,,,,,,,,,,,,,,,
atari2600,"Alpha Beam (Japan, USA) (Beta) (1982-12-22).zip",,,,,,,,,,,,,,,,,
atari2600,Alpha Beam with Ernie (Europe).zip,Yes,51138,eu,Yes,,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,,,
atari2600,"Alpha Beam with Ernie (Japan, USA).zip",Yes,51138,"us,jp",Yes,,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,,,
atari2600,Amidar (Europe).zip,Yes,37669,eu,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,,,
atari2600,Amidar (USA).zip,Yes,37669,us,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,,,
atari2600,AndroMan on the Moon (USA) (Proto).zip,Yes,87699,us,Yes,,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,,,
atari2600,Apples and Dolls (Brazil) (Unl).zip,,,,,,,,,,,,,,,,,
atari2600,Aquaventure (Brazil) (Proto) (Unl).zip,Yes,51182,br,Yes,,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,,,
atari2600,Aquaventure (USA) (Proto) (1983-08-12).zip,Yes,51182,us,Yes,,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,,,
atari2600,Armor Ambush (Europe).zip,Yes,58688,eu,Yes,,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,,,
atari2600,Armor Ambush (USA).zip,Yes,58688,us,Yes,,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,,,
atari2600,Artillery Duel (Europe).zip,Yes,58689,eu,Yes,,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,,,
atari2600,Artillery Duel (USA).zip,Yes,58689,us,Yes,,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,,,
atari2600,Assault (USA).zip,Yes,37670,us,Yes,,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,,,
atari2600,Asteroids (Europe).zip,Yes,13987,eu,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,,,
atari2600,"Asteroids (Japan, USA).zip",Yes,13987,"us,jp",Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,,,
atari2600,Astroblast (Europe).zip,Yes,51184,eu,Yes,,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,,,
atari2600,Astroblast (USA).zip,Yes,51184,us,Yes,,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,,,
atari2600,Astroblast (USA) (v1.1).zip,Yes,51184,us,Yes,,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,,,
atari2600,Astrowar (Brazil) (Unl).zip,Yes,51185,br,Yes,,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,,,
atari2600,Atari Video Cube (USA).zip,Yes,58692,us,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,,,
atari2600,Atlantis (Europe).zip,Yes,37677,eu,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,,,
atari2600,Atlantis (USA).zip,Yes,37677,us,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,,,
atari2600,Atlantis II (USA).zip,Yes,51186,us,Yes,,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,,,
atari2600,Atom Smasher (USA) (Proto).zip,Yes,51187,us,Yes,,Yes,,,Yes,,Yes,Yes,Yes,Yes,,,
atari2600,Bachelor Party (USA).zip,Yes,110929,us,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,,,
